"","counts","sample","condition"
"Ctrl_1",2210.14280419656,"Ctrl_1","Ctrl"
"Ctrl_2",2046.19861956607,"Ctrl_2","Ctrl"
"W4_OE_1",2476.31607909082,"W4_OE_1","W4_OE"
"W4_OE_2",2233.63260785392,"W4_OE_2","W4_OE"
"O1_OE_1",1732.36230307065,"O1_OE_1","O1_OE"
"O1_OE_2",1682.30213707328,"O1_OE_2","O1_OE"
"O1W4_OE_1",2566.07229918012,"O1W4_OE_1","O1W4_OE"
"O1W4_OE_2",2676.94762865691,"O1W4_OE_2","O1W4_OE"
"O2_KO_1",935.711816538075,"O2_KO_1","O2_KO"
"O2_KO_2",793.649545627067,"O2_KO_2","O2_KO"
"W4_KO_1",1659.05405849185,"W4_KO_1","W4_KO"
"W4_KO_2",1461.06725652344,"W4_KO_2","W4_KO"
"O1_KO_1",1692.83221528911,"O1_KO_1","O1_KO"
"O1_KO_2",1584.969703309,"O1_KO_2","O1_KO"
"O1W4_KO_1",1223.83078477912,"O1W4_KO_1","O1W4_KO"
"O1W4_KO_2",1633.32208664151,"O1W4_KO_2","O1W4_KO"
"O2W4_KO_1",862.347744056855,"O2W4_KO_1","O2W4_KO"
"O2W4_KO_2",826.82642999478,"O2W4_KO_2","O2W4_KO"
"O1O2_KO_1",719.499593578539,"O1O2_KO_1","O1O2_KO"
"O1O2_KO_2",629.207325512761,"O1O2_KO_2","O1O2_KO"
