"","counts","sample","condition"
"Ctrl_1",4133.90346798921,"Ctrl_1","Ctrl"
"Ctrl_2",3547.12425508807,"Ctrl_2","Ctrl"
"W4_OE_1",98209.5394402068,"W4_OE_1","W4_OE"
"W4_OE_2",81649.0050768524,"W4_OE_2","W4_OE"
"O1_OE_1",2809.72191402929,"O1_OE_1","O1_OE"
"O1_OE_2",2719.37806045295,"O1_OE_2","O1_OE"
"O1W4_OE_1",92813.3030778829,"O1W4_OE_1","O1W4_OE"
"O1W4_OE_2",85158.73990965,"O1W4_OE_2","O1W4_OE"
"O2_KO_1",2786.66675362745,"O2_KO_1","O2_KO"
"O2_KO_2",2111.29164840559,"O2_KO_2","O2_KO"
"W4_KO_1",5284.60143833624,"W4_KO_1","W4_KO"
"W4_KO_2",4715.40911487256,"W4_KO_2","W4_KO"
"O1_KO_1",3015.8555097241,"O1_KO_1","O1_KO"
"O1_KO_2",3001.11431290715,"O1_KO_2","O1_KO"
"O1W4_KO_1",2503.6465093926,"O1W4_KO_1","O1W4_KO"
"O1W4_KO_2",2967.77574929666,"O1W4_KO_2","O1W4_KO"
"O2W4_KO_1",2478.56608466236,"O2W4_KO_1","O2W4_KO"
"O2W4_KO_2",2700.90635782843,"O2W4_KO_2","O2W4_KO"
"O1O2_KO_1",2617.23298906749,"O1O2_KO_1","O1O2_KO"
"O1O2_KO_2",2215.31531823288,"O1O2_KO_2","O1O2_KO"
