"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","GO:0040003","chitin-based cuticle development","107/3366","147/8880",5.17399979578006e-18,1.48131614153183e-14,1.44327362724391e-14,"amd/ck/dib/ecd/Gld/kkv/knk/l(2)gl/Lcp4/Pu/Ccp84Ag/Ccp84Ae/Ccp84Ad/Ccp84Ac/Ccp84Ab/Ccp84Aa/Acp1/fz2/Idgf1/pio/Lcp65Ag2/Lcp65Ag2/Lcp65Af/Lcp65Ac/Lcp65Ab2/Alas/Cht2/Gasp/Axn/Vajk3/Cpr35B/Vajk1/gammaCOP/Chs2/Cpr11A/obst-A/obst-E/TwdlE/Vajk2/Hakai/Cpr47Ef/Twdlbeta/Cpr49Ac/Cpr49Ae/Cpr49Ag/Cpr50Cb/Cpr51A/Cpr56F/Cpr62Bb/Cpr62Bc/Cht7/Cpr64Ab/Cpr64Ad/Cpr65Ea/Cpr65Ec/Cpr66Cb/Cpr67B/Cpr67Fa1/Cpr67Fa2/Cpr76Bc/Cpr78Cb/Cpr78Cc/TwdlG/Cht5/TwdlW/Cpr92F/TwdlM/TwdlP/TwdlB/TwdlL/TwdlN/TwdlD/TwdlQ/TwdlC/Cpr97Ea/Cpr97Eb/Cpr100A/Cpr65Ax2/Vajk4/TwdlH/fred/Cpr66D/Cpr65Av/TwdlY/TwdlX/Twdlalpha/dpy/Cpr31A/Idgf5/pan/Cpr47Eg/Lcp65Ag3/puc/Tb/CG34461/pot/mmy/drd/serp/wol/mgl/verm/dsx-c73A/sdt/Sec24CD/Eogt/stw",107
"2","GO:0042335","cuticle development","126/3366","185/8880",4.1420743675368e-17,5.92937945712893e-14,5.77710372314344e-14,"amd/ck/Ddc/dib/ect/ecd/Gld/kkv/knk/l(2)gl/Lcp4/m/Pu/sha/Ser/Ccp84Ag/Ccp84Ae/Ccp84Ad/Ccp84Ac/Ccp84Ab/Ccp84Aa/ple/Cyp4g1/fng/Acp1/p38a/fz2/Idgf1/pio/Lcp65Ag2/Lcp65Ag2/Lcp65Af/Lcp65Ac/Lcp65Ab2/Alas/Cht2/WASp/Mkk4/Gasp/gus/Axn/Vajk3/Cpr35B/Vajk1/gammaCOP/Chs2/Cpr11A/obst-A/snsl/obst-E/TwdlE/Vajk2/Hakai/Cpr47Ef/Twdlbeta/Cpr49Ac/Cpr49Ae/Cpr49Ag/Cpr50Cb/Cpr51A/Cpr56F/Cpr62Bb/Cpr62Bc/Cht7/Cpr64Ab/Cpr64Ad/Cpr65Ea/Cpr65Ec/Cpr66Cb/Cpr67B/Cpr67Fa1/Cpr67Fa2/wls/Cpr76Bc/Cpr78Cb/Cpr78Cc/TwdlG/Cht5/TwdlW/Cpr92F/TwdlM/TwdlP/TwdlB/TwdlL/TwdlN/TwdlD/TwdlQ/TwdlC/Cpr97Ea/Cpr97Eb/snu/Cpr100A/boi/Cpr65Ax2/FASN2/Vajk4/TwdlH/fred/Cpr66D/Cpr65Av/TwdlY/TwdlX/Twdlalpha/dpy/Cpr31A/Idgf5/pan/Cpr47Eg/Lcp65Ag3/Desat1/puc/Tb/CG34461/pot/mmy/drd/serp/wol/mgl/verm/dsx-c73A/sdt/f/Sec24CD/Eogt/stw",126
"3","GO:0008045","motor neuron axon guidance","51/3366","75/8880",1.11053806377717e-07,0.000105982349219802,0.000103260556807351,"dsh/Fas2/for/Glt/grn/Lim3/spz/tup/Ten-m/zfh1/robo1/Sdc/Wnt4/fra/beat-Ia/Cdk5/Ptp69D/Rac2/Rho1/cher/NetA/NetB/side/fz2/ko/caps/Cdk5alpha/beat-Ic/fend/CG6867/beat-IIIc/Oli/Mmp2/Drl-2/unc-5/spz5/beat-Va/beat-IIb/beat-IIa/beat-VI/beat-IIIb/vvl/Mp/CG42637/haf/NT1/dally/Nrg/beat-IIIa/CG42637/trol",51
"4","GO:0099536","synaptic signaling","155/3366","296/8880",1.93930163053941e-07,0.000111681211425656,0.000108813063322605,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/boss/Cat/ChAT/comt/dnc/Fas2/Galphas/mr/na/Atpalpha/pum/rt/rut/sesB/Sh/slo/svp/nAChRbeta2/5-HT1A/Csp/Syt1/Rdl/Ten-m/5-HT7/Rop/Syn/Cbp53E/TkR99D/Rap1/Rab3/CanB/Lcch3/Nmdar1/Dcp-1/Snap25/Dop1R1/nSyb/stnB/mGluR/dtr/wit/b6/Oamb/GluClalpha/Srpk79D/X11L/Rep/Eaat1/Rab3-GAP/GABA-B-R2/Syt4/GluRIID/nAChRalpha5/NtR/Vap33/Pink1/BTBD9/hiw/Rab3-GEF/Frq1/wgn/VGlut/Nlg2/CG7781/CG14275/nAChRalpha6/atilla/CG9336/CG9338/Dyb/CG6329/VGAT/Dg/DAT/P32/CG10339/spz5/unc-13-4A/PGRP-LC/Smn/rogdi/Neurochondrin/mAChR-B/Kcmf1/DCAF12/KaiR1D/Nrx-1/spas/Tusp/CDase/kek6/Syt7/Ekar/CG11155/Scamp/Alk/cpx/Fsn/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31475/CG31675/CG31676/scramb1/Csas/CG32447/be/X11Lbeta/Rim/Cadps/Frq2/Nlg3/Nlg4/stmA/beta-Spec/alpha-Spec/Pka-R1/brp/Ca-beta/Hip14/Dys/qvr/Atg1/stj/Syt12/Sytalpha/Sytbeta/NT1/Exn/nemy/Ank2/Rbp/Shab/cac/5-HT1B/Acsl/Ih/nwk/cpo/dysc/Slob/Fife/Neto/nAChRalpha4/Sec8/Esyt2/VAChT/cv-c",155
"5","GO:0099537","trans-synaptic signaling","153/3366","292/8880",2.21200015556227e-07,0.000111681211425656,0.000108813063322605,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/boss/Cat/ChAT/comt/dnc/Fas2/Galphas/mr/na/Atpalpha/pum/rt/rut/sesB/Sh/slo/svp/nAChRbeta2/5-HT1A/Csp/Syt1/Rdl/Ten-m/5-HT7/Rop/Syn/Cbp53E/TkR99D/Rap1/Rab3/CanB/Lcch3/Nmdar1/Dcp-1/Snap25/Dop1R1/nSyb/stnB/mGluR/dtr/wit/b6/Oamb/GluClalpha/Srpk79D/X11L/Rep/Eaat1/Rab3-GAP/GABA-B-R2/Syt4/GluRIID/nAChRalpha5/NtR/Vap33/Pink1/BTBD9/hiw/Rab3-GEF/Frq1/wgn/VGlut/Nlg2/CG7781/CG14275/nAChRalpha6/atilla/CG9336/CG9338/Dyb/CG6329/VGAT/Dg/DAT/P32/CG10339/spz5/unc-13-4A/PGRP-LC/Smn/rogdi/Neurochondrin/mAChR-B/DCAF12/KaiR1D/Nrx-1/spas/CDase/kek6/Syt7/Ekar/CG11155/Scamp/Alk/cpx/Fsn/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31475/CG31675/CG31676/scramb1/Csas/CG32447/be/X11Lbeta/Rim/Cadps/Frq2/Nlg3/Nlg4/stmA/beta-Spec/alpha-Spec/Pka-R1/brp/Ca-beta/Hip14/Dys/qvr/Atg1/stj/Syt12/Sytalpha/Sytbeta/NT1/Exn/nemy/Ank2/Rbp/Shab/cac/5-HT1B/Acsl/Ih/nwk/cpo/dysc/Slob/Fife/Neto/nAChRalpha4/Sec8/Esyt2/VAChT/cv-c",153
"6","GO:0003012","muscle system process","27/3366","33/8880",2.92109758534728e-07,0.000111681211425656,0.000108813063322605,"Ca-alpha1D/Mlc1/Mlc2/Tm2/up/RyR/Ms/CG3078/Eaat1/Amph/CG4928/slmo/KCNQ/Chd64/Neurochondrin/CG6972/robo3/Unc-89/Lasp/Nox/Mp/Mhc/tn/Fhos/SclA/SclB/wupA",27
"7","GO:0007268","chemical synaptic transmission","152/3366","291/8880",3.12067653302566e-07,0.000111681211425656,0.000108813063322605,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/boss/Cat/ChAT/comt/dnc/Fas2/Galphas/mr/na/Atpalpha/pum/rt/rut/sesB/Sh/slo/svp/nAChRbeta2/5-HT1A/Csp/Syt1/Rdl/Ten-m/5-HT7/Rop/Syn/Cbp53E/TkR99D/Rap1/Rab3/CanB/Lcch3/Nmdar1/Dcp-1/Snap25/Dop1R1/nSyb/stnB/mGluR/dtr/wit/b6/Oamb/GluClalpha/Srpk79D/X11L/Rep/Eaat1/Rab3-GAP/GABA-B-R2/Syt4/GluRIID/nAChRalpha5/NtR/Vap33/Pink1/BTBD9/hiw/Rab3-GEF/Frq1/wgn/VGlut/Nlg2/CG7781/CG14275/nAChRalpha6/atilla/CG9336/CG9338/Dyb/CG6329/VGAT/Dg/DAT/P32/CG10339/spz5/unc-13-4A/PGRP-LC/Smn/rogdi/Neurochondrin/mAChR-B/DCAF12/KaiR1D/Nrx-1/spas/CDase/kek6/Syt7/Ekar/CG11155/Scamp/Alk/cpx/Fsn/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31675/CG31676/scramb1/Csas/CG32447/be/X11Lbeta/Rim/Cadps/Frq2/Nlg3/Nlg4/stmA/beta-Spec/alpha-Spec/Pka-R1/brp/Ca-beta/Hip14/Dys/qvr/Atg1/stj/Syt12/Sytalpha/Sytbeta/NT1/Exn/nemy/Ank2/Rbp/Shab/cac/5-HT1B/Acsl/Ih/nwk/cpo/dysc/Slob/Fife/Neto/nAChRalpha4/Sec8/Esyt2/VAChT/cv-c",152
"8","GO:0098916","anterograde trans-synaptic signaling","152/3366","291/8880",3.12067653302566e-07,0.000111681211425656,0.000108813063322605,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/boss/Cat/ChAT/comt/dnc/Fas2/Galphas/mr/na/Atpalpha/pum/rt/rut/sesB/Sh/slo/svp/nAChRbeta2/5-HT1A/Csp/Syt1/Rdl/Ten-m/5-HT7/Rop/Syn/Cbp53E/TkR99D/Rap1/Rab3/CanB/Lcch3/Nmdar1/Dcp-1/Snap25/Dop1R1/nSyb/stnB/mGluR/dtr/wit/b6/Oamb/GluClalpha/Srpk79D/X11L/Rep/Eaat1/Rab3-GAP/GABA-B-R2/Syt4/GluRIID/nAChRalpha5/NtR/Vap33/Pink1/BTBD9/hiw/Rab3-GEF/Frq1/wgn/VGlut/Nlg2/CG7781/CG14275/nAChRalpha6/atilla/CG9336/CG9338/Dyb/CG6329/VGAT/Dg/DAT/P32/CG10339/spz5/unc-13-4A/PGRP-LC/Smn/rogdi/Neurochondrin/mAChR-B/DCAF12/KaiR1D/Nrx-1/spas/CDase/kek6/Syt7/Ekar/CG11155/Scamp/Alk/cpx/Fsn/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31675/CG31676/scramb1/Csas/CG32447/be/X11Lbeta/Rim/Cadps/Frq2/Nlg3/Nlg4/stmA/beta-Spec/alpha-Spec/Pka-R1/brp/Ca-beta/Hip14/Dys/qvr/Atg1/stj/Syt12/Sytalpha/Sytbeta/NT1/Exn/nemy/Ank2/Rbp/Shab/cac/5-HT1B/Acsl/Ih/nwk/cpo/dysc/Slob/Fife/Neto/nAChRalpha4/Sec8/Esyt2/VAChT/cv-c",152
"9","GO:0050804","modulation of chemical synaptic transmission","82/3366","140/8880",4.76512417865863e-07,0.000136425505234997,0.000132921884983636,"boss/Cat/comt/Fas2/mr/na/pum/rt/Sh/slo/Csp/Syt1/Rdl/Cbp53E/TkR99D/Rap1/Rab3/Dcp-1/Snap25/mGluR/b6/Eaat1/Rab3-GAP/GABA-B-R2/Syt4/GluRIID/BTBD9/hiw/Frq1/wgn/VGlut/Nlg2/CG7781/CG14275/atilla/CG9336/CG9338/Dyb/CG6329/Dg/CG10339/spz5/PGRP-LC/Smn/Neurochondrin/KaiR1D/Nrx-1/spas/kek6/Ekar/CG11155/Alk/cpx/GluRIIC/Nlg1/GluRIIE/CG31675/CG31676/CG32447/Rim/Frq2/Nlg3/Nlg4/beta-Spec/alpha-Spec/brp/Dys/qvr/Atg1/Syt12/NT1/Exn/nemy/Ank2/Shab/cac/Ih/dysc/Slob/Fife/Neto/cv-c",82
"10","GO:0099177","regulation of trans-synaptic signaling","82/3366","140/8880",4.76512417865863e-07,0.000136425505234997,0.000132921884983636,"boss/Cat/comt/Fas2/mr/na/pum/rt/Sh/slo/Csp/Syt1/Rdl/Cbp53E/TkR99D/Rap1/Rab3/Dcp-1/Snap25/mGluR/b6/Eaat1/Rab3-GAP/GABA-B-R2/Syt4/GluRIID/BTBD9/hiw/Frq1/wgn/VGlut/Nlg2/CG7781/CG14275/atilla/CG9336/CG9338/Dyb/CG6329/Dg/CG10339/spz5/PGRP-LC/Smn/Neurochondrin/KaiR1D/Nrx-1/spas/kek6/Ekar/CG11155/Alk/cpx/GluRIIC/Nlg1/GluRIIE/CG31675/CG31676/CG32447/Rim/Frq2/Nlg3/Nlg4/beta-Spec/alpha-Spec/brp/Dys/qvr/Atg1/Syt12/NT1/Exn/nemy/Ank2/Shab/cac/Ih/dysc/Slob/Fife/Neto/cv-c",82
