"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme03460","dme03460","Fanconi anemia pathway - Drosophila melanogaster (fruit fly)","13/294","26/3488",3.19653317605664e-08,3.42029049838061e-06,3.09559002312854e-06,"mei-9/DNApol-zeta/spn-D/Mlh1/Pms2/Ercc1/Usp1/mms4/CG9062/Fancl/Fancd2/Top3alpha/mus81",13
"dme03050","dme03050","Proteasome - Drosophila melanogaster (fruit fly)","18/294","53/3488",1.17853851309861e-07,6.30518104507756e-06,5.70660753710906e-06,"Prosbeta6/Prosalpha4/Prosbeta1/Prosalpha5/Prosalpha7/Prosbeta3/Rpn12/Prosbeta5/Prosbeta4/Pomp/Rpt3R/Rpt6R/CG30382/Prosalpha2/Prosbeta7/Prosalpha6/Prosalpha3/Prosalpha1",18
"dme03440","dme03440","Homologous recombination - Drosophila melanogaster (fruit fly)","9/294","23/3488",5.38564366087863e-05,0.00192087957238005,0.00173852356772223,"mus101/spn-B/spn-D/mre11/mms4/rad50/Top3alpha/mus81/tefu",9
"dme03430","dme03430","Mismatch repair - Drosophila melanogaster (fruit fly)","8/294","19/3488",7.680937550925e-05,0.00205465079487244,0.00185959540706605,"PCNA/Mlh1/Pms2/spel1/tos/RfC3/Msh6/RfC4",8
"dme03013","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","19/294","99/3488",0.000458110656484886,0.00980356804877655,0.00887288008349673,"mago/RanGAP/Ref1/Ran/Cse1/Nup35/Tnpo-SR/Nup50/Nup54/Rae1/Pym/thoc6/Ranbp9/Nup133/Ndc1/Nup37/Apl/Nxf3/smt3",19
"dme00240","dme00240","Pyrimidine metabolism - Drosophila melanogaster (fruit fly)","10/294","38/3488",0.000869283634298453,0.0155022248116557,0.0140305428693785,"awd/Dhod/RnrL/dnk/Ts/nmdyn-D6/CG5757/CG3788/cN-IIIB/dUTPase",10
"dme04320","dme04320","Dorso-ventral axis formation - Drosophila melanogaster (fruit fly)","8/294","28/3488",0.00161004512536389,0.0246106897734195,0.0222743085012749,"bru1/aub/brn/Ras85D/piwi/orb/Dsor1/AGO3",8
"dme03410","dme03410","Base excision repair - Drosophila melanogaster (fruit fly)","8/294","30/3488",0.00261246640193651,0.0334882485485404,0.0303090887010892,"tam/PCNA/RfC3/Mes4/CG9601/Chrac-14/gkt/RfC4",8
"dme03420","dme03420","Nucleotide excision repair - Drosophila melanogaster (fruit fly)","11/294","51/3488",0.0028167685695034,0.0334882485485404,0.0303090887010892,"hay/mei-9/PCNA/Ercc1/RfC3/Mes4/Chrac-14/RfC4/Xpd/Rpb12/Cdk7",11
"dme03022","dme03022","Basal transcription factors - Drosophila melanogaster (fruit fly)","9/294","40/3488",0.0050007419518843,0.053507938885162,0.0484282378498269,"hay/TfIIFalpha/TfIIFbeta/TfIIA-S/Taf8/Taf10b/Taf12L/Xpd/Cdk7",9
"dme03030","dme03030","DNA replication - Drosophila melanogaster (fruit fly)","8/294","34/3488",0.00602299389595912,0.0585873042606932,0.05302540080653,"PCNA/rnh1/CG13690/RfC3/Mes4/Chrac-14/CG30105/RfC4",8
"dme01232","dme01232","Nucleotide metabolism - Drosophila melanogaster (fruit fly)","11/294","60/3488",0.010240518011448,0.0913112856020776,0.0826427769344923,"awd/bur/RnrL/dnk/Ts/nmdyn-D6/CG5757/CG3788/cN-IIIB/AOX3/dUTPase",11
