"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","GO:0040003","chitin-based cuticle development","105/3316","147/8880",2.88307690572902e-17,8.25136610419645e-14,7.6780890226257e-14,"amd/arm/ck/ecd/Gld/kkv/knk/l(2)gl/ttk/CrebA/Ccp84Ag/Ccp84Ae/Ccp84Ad/Ccp84Ac/Ccp84Ab/Ccp84Aa/jar/Acp1/fz2/Idgf1/pio/Lcp65Ag2/Lcp65Ag2/Lcp65Af/Lcp65Ac/Lcp65Ab2/Alas/Gasp/Axn/Vajk3/Cpr35B/Vajk1/SoxN/TwdlT/Cpr11A/obst-A/Cpr23B/obst-E/TwdlE/Vajk2/Hakai/Twdlbeta/Cpr49Ac/Cpr49Ae/Cpr49Ag/Cpr50Cb/Cpr51A/resilin/Cpr56F/Cpr62Bb/Cpr62Bc/Cht7/Cpr64Ab/Cpr64Ad/Cpr65Ea/Cpr65Eb/Cpr65Ec/Cpr66Cb/Cpr67Fa1/Cpr67Fa2/Cpr76Bc/Cpr78Cc/TwdlF/TwdlG/TwdlV/Cht5/TwdlW/Cpr92F/TwdlM/TwdlP/TwdlL/TwdlN/TwdlD/TwdlQ/TwdlC/Cpr97Ea/Cpr97Eb/Cpr100A/Cpr65Ax2/Vajk4/TwdlH/fred/Cpr66D/Cpr65Av/TwdlY/TwdlX/dpy/Cpr31A/Idgf5/pan/Cpr47Eg/puc/Tb/CG34461/pot/mmy/drd/serp/wol/verm/dsx-c73A/sdt/Sec24CD/wg/stw",105
"2","GO:0042335","cuticle development","122/3316","185/8880",1.58225310623111e-15,2.26420419501673e-12,2.10689492566564e-12,"amd/arm/ck/Ddc/ect/ecd/Gld/kkv/knk/l(2)gl/sha/ttk/Ser/CrebA/Ccp84Ag/Ccp84Ae/Ccp84Ad/Ccp84Ac/Ccp84Ab/Ccp84Aa/ple/Cyp4g1/jar/fng/Acp1/p38a/fz2/Idgf1/pio/Lcp65Ag2/Lcp65Ag2/Lcp65Af/Lcp65Ac/Lcp65Ab2/Alas/WASp/Mkk4/Gasp/gus/Axn/Vajk3/Cpr35B/Vajk1/SoxN/TwdlT/Cpr11A/obst-A/Cpr23B/snsl/obst-E/TwdlE/Vajk2/Hakai/Twdlbeta/Cpr49Ac/Cpr49Ae/Cpr49Ag/Cpr50Cb/Cpr51A/resilin/Cpr56F/Cpr62Bb/Cpr62Bc/Cht7/Cpr64Ab/Cpr64Ad/Cpr65Ea/Cpr65Eb/Cpr65Ec/Cpr66Cb/Cpr67Fa1/Cpr67Fa2/Cpr76Bc/Cpr78Cc/TwdlF/TwdlG/TwdlV/Cht5/TwdlW/Cpr92F/TwdlM/TwdlP/TwdlL/TwdlN/TwdlD/TwdlQ/TwdlC/Cpr97Ea/Cpr97Eb/snu/Cpr100A/boi/Cpr65Ax2/FASN2/Vajk4/TwdlH/fred/Cpr66D/Cpr65Av/TwdlY/TwdlX/dpy/Cpr31A/Idgf5/pan/Cpr47Eg/Desat1/puc/Tb/CG34461/pot/mmy/drd/serp/wol/verm/dsx-c73A/sdt/f/Sec24CD/wg/stw",122
"3","GO:0003008","system process","241/3316","472/8880",3.1471810464772e-10,3.00241071833924e-07,2.79381335003063e-07,"nAChRalpha1/nAChRbeta1/nAChRalpha2/Appl/arm/boss/bsk/bw/Cam/salr/Col4a1/ck/Ddc/dnc/eag/for/Galphas/Hn/if/inaD/Ca-alpha1D/dco/Mlc1/Mlc2/na/Atpalpha/Pkc98E/pnr/pum/ru/rut/Sh/ss/tko/Egfr/vn/w/Tm2/nAChRbeta2/up/ct/Rdl/Klp64D/mew/Mdr65/Gad1/Syn/pros/TkR99D/Su(H)/hop/14-3-3zeta/Orc3/Itpr/Galphaf/Lcch3/Nmdar1/cora/sinu/dia/Obp28a/Ms/Dop1R1/ine/Nos/cher/tim/drl/nAChRalpha3/Drip/nompA/vri/H15/Dyrk2/klg/mGluR/ppk/geko/CRMP/Clk/teq/CG3078/b6/Oamb/GluClalpha/Scgdelta/cry/Nipped-B/Eaat1/Inx7/Amph/CG4928/Rh50/nAChRalpha5/aru/NtR/CG5921/Pink1/CG5541/dpr18/Mec2/meng/Nha1/MICU1/CG8086/nAChRalpha6/dpr19/AstC/nrv3/Dscam1/Obp44a/KCNQ/CAP/ClC-b/Sans/dpr13/Obp56d/CG9313/Oatp58Dc/Eglp2/Eglp4/ITP/mri/dpr20/Chd64/DopEcR/CG10226/ppk26/TrpA1/Or71a/ClC-c/SecCl/Ir76b/SLC22A/CG14636/NPFR/Neurochondrin/mura/Desi/dpr5/Tk/ATP8B/dpr15/dpr9/subdued/Nrx-1/CG6972/Root/sosie/PQBP1/Obp99a/Obp99d/Cad99C/CG15537/Scamp/G9a/Alk/dpr1/robo3/Socs36E/Atx2/HDAC4/MCU/prt/dome/Proc/Obp83g/Obp83ef/Obp83cd/ClC-a/HEATR2/dpr17/Gba1b/wry/CG31935/dpr10/Rbfox1/Krn/be/dpr8/dpr11/dpr4/Nmdar2/dpr3/Dop2R/Unc-89/pain/Ctr1A/dpr12/Nox/NaCP60E/sif/mbm/kra/gish/DCX-EMAP/futsch/mnb/Pka-R1/brp/drd/qvr/Mp/2mit/rempA/Atg1/stj/pdm3/salm/Npc1b/Ank2/aPKC/mid/f/Shab/Tmhs/cac/spoon/dysc/orb2/CG43778/Ca-alpha1T/Mhc/Rgk1/pHCl-1/tn/rad/CrebB/rdgC/Fhos/rg/nAChRalpha4/SclA/SclB/Ggamma30A/Tmc/wupA/Phm/wg/Psn/para",241
"4","GO:0006811","ion transport","231/3316","454/8880",1.13718257259538e-09,8.13654130691998e-07,7.57124186491138e-07,"nAChRalpha1/nAChRbeta1/nAChRalpha2/Cam/eag/Ca-alpha1D/na/Atpalpha/sesB/Sh/Shaw/slo/tipE/w/nAChRbeta2/Syt1/Rdl/GluRIA/GluRIIA/Vha55/Itpr/Lcch3/Nmdar1/SerT/l(2)03659/ATPsynG/Elk/ine/Fer2LCH/nAChRalpha3/tty/nrv1/ATPsynCF6/ATPsynO/ppk/dve/Tsf1/CG3078/Picot/GluClalpha/homer/Mpcp2/Eaat2/Eaat1/CG4928/CG1688/Dic1/blot/GluRIID/JhI-21/VhaPPA1-1/Vha100-2/Vha100-1/Rh50/Nckx30C/CG4587/nAChRalpha5/CG15270/CG15279/NtR/SK/NAAT1/CG9657/CG10353/MFS10/Clic/CG11655/CG4239/CG9903/ppk23/CG7536/CG8034/CG8051/Usp2/MFS3/VGlut/OtopLb/CG10019/Nha1/MME1/MICU1/CG7781/CG14275/Mco1/nAChRalpha6/CG4995/Vha100-5/atilla/Oatp33Eb/spict/CG9336/CG9338/tadr/nrv3/CG8726/sand/Tmem63/CG8026/CG1698/KCNQ/Zip48C/CG8850/ClC-b/CG6329/VGAT/CG8468/DAT/CG9864/Mpcp1/Oatp58Dc/Tpc2/galene/CG5687/ZnT63C/Teh2/CG10483/Best2/ppk26/TrpA1/Ae2/CG6938/CG6928/Ncc69/Zip71B/CG7255/ClC-c/Papst2/SecCl/Oatp74D/CG5535/Sfxn2/SLC22A/CG1090/elm/CD98hc/Task7/Teh1/CG6723/sea/Task6/Zip88E/CG5404/Zip89B/ChT/CG7720/subdued/MFS9/KaiR1D/CG17119/Irk2/Mco3/gb/CG14507/Zip99C/CG9702/CG9717/ATPsynC/salt/Gat/CG11155/Best1/Vha36-3/olf186-F/MCU/Stim/GluRIIC/CG31030/ClC-a/GluRIIE/NKCC/Oatp26F/CG31668/CG31676/CG31935/Ndfip/CG32669/CG33181/ppk13/Nmdar2/dpr3/Mid1/pain/Ctr1A/EMRE/Rgk2/CG34396/Rgk3/NaCP60E/NKAIN/Orct2/CG42235/CG42237/CG42260/OtopLc/CG42340/Ca-beta/OtopLa/CG42496/qvr/CG42542/CG42594/stj/Syt12/Sytalpha/Sytbeta/CngA/Ca-Ma2d/Shab/CG43155/cac/Hk/Cngl/Ih/Vha68-2/Stacl/GluRIB/dysc/Slob/Ca-alpha1T/PsGEF/Rgk1/pHCl-1/Piezo/Trpm/Vha68-1/Neto/CngB/nAChRalpha4/Vha13/Psn/para",231
"5","GO:0006812","cation transport","168/3316","319/8880",1.03997825508948e-08,5.95283553213216e-06,5.53925260079237e-06,"nAChRalpha1/nAChRalpha2/Cam/eag/Ca-alpha1D/Atpalpha/Sh/Shaw/slo/tipE/w/Syt1/GluRIA/GluRIIA/Vha55/Itpr/SerT/ATPsynG/Elk/ine/Fer2LCH/nAChRalpha3/nrv1/ATPsynCF6/ATPsynO/ppk/dve/Tsf1/CG3078/homer/CG4928/CG1688/blot/GluRIID/JhI-21/VhaPPA1-1/Vha100-2/Vha100-1/Rh50/Nckx30C/CG4587/nAChRalpha5/CG15270/CG15279/SK/NAAT1/CG9657/CG4239/ppk23/Usp2/VGlut/OtopLb/Nha1/MME1/MICU1/CG7781/CG14275/Mco1/nAChRalpha6/CG4995/Vha100-5/atilla/spict/CG9336/CG9338/nrv3/sand/Tmem63/CG1698/KCNQ/Zip48C/CG8850/CG6329/VGAT/DAT/Tpc2/galene/CG5687/ZnT63C/Teh2/ppk26/TrpA1/Ncc69/Zip71B/CG7255/CG5535/Sfxn2/SLC22A/CG1090/elm/CD98hc/Task7/Teh1/CG6723/Task6/Zip88E/Zip89B/ChT/CG7720/subdued/KaiR1D/Irk2/Mco3/Zip99C/ATPsynC/salt/Gat/Vha36-3/olf186-F/MCU/Stim/GluRIIC/CG31030/GluRIIE/NKCC/CG31668/CG31676/Ndfip/CG32669/CG33181/ppk13/dpr3/Mid1/pain/Ctr1A/EMRE/Rgk2/CG34396/Rgk3/NaCP60E/NKAIN/Orct2/CG42235/CG42260/OtopLc/CG42340/Ca-beta/OtopLa/CG42496/qvr/CG42542/CG42594/stj/Syt12/Sytalpha/Sytbeta/CngA/Ca-Ma2d/Shab/CG43155/cac/Hk/Cngl/Ih/Vha68-2/Stacl/GluRIB/Ca-alpha1T/PsGEF/Rgk1/Piezo/Trpm/Vha68-1/Neto/CngB/Vha13/Psn/para",168
"6","GO:0007610","behavior","238/3316","489/8880",9.60952281756801e-08,4.51770868566882e-05,4.20383352633128e-05,"Abd-B/Appl/arm/b/ben/bsk/cin/clt/Ddc/disco/dnc/eag/for/Gld/Galphas/Gpdh1/Hn/kay/egh/dco/na/Atpalpha/Pkc98E/Poxn/pum/rut/Sh/slo/sm/ss/tipE/tko/Egfr/vn/w/oc/Syt1/Rdl/Gad1/5-HT7/Syn/pros/TkR99D/ogre/fru/Su(H)/hop/14-3-3zeta/ey/ple/Orc3/Itpr/Nmdar1/tutl/bol/Ms/Dop1R1/Mef2/EbpIII/Dh44/klu/Cdk5/Rac2/Rho1/cher/tim/Fer2LCH/dod/drl/Drip/vri/Pino/Dyrk2/klg/mGluR/ppk/lig/geko/Gpo1/Tsf1/Pka-R2/CRMP/Clk/aay/amon/Ac3/teq/Oamb/moody/cry/homer/tyf/Nipped-B/Eaat1/SPARC/Inx7/Cdk5alpha/Nep2/GABA-B-R2/qtc/Spn27A/aru/Surf1/SPR/Shmt/Pink1/BTBD9/CG5541/ppk23/CG6123/CCKLR-17D3/fipi/meng/Nlg2/MICU1/Dh31/AstC/sNPF/sand/trsn/CG13192/VGAT/Hr51/DAT/Obp56d/CG10433/ITP/MsR1/FMRFaR/DopEcR/ppk26/Pura/TrpA1/Tat/Prps/CrzR/Mip/Gem2/Gabat/sNPF-R/SLC22A/NPFR/mura/Tk/dpr9/CG8907/unc79/Ktl/SIFaR/Nrx-1/spas/Root/PQBP1/gb/unc80/jus/Obp99a/CDase/tara/krz/Scamp/G9a/Alk/dpr1/Socs36E/Atx2/HDAC4/rho-5/MCU/prt/dome/Ilp4/mtt/Tdc2/HEATR2/Gba1b/Trim9/Rbfox1/Krn/shep/be/Nmdar2/Dop2R/Mid1/pain/shakB/NaCP60E/Desat1/mbm/kra/gish/DCX-EMAP/futsch/mnb/Pka-R1/brp/Tdc1/qvr/Pdfr/2mit/verm/Ank2/aPKC/TfAP-2/Shab/dati/cac/Hk/Ih/Hmgcr/spoon/MsR2/dysc/orb2/Rgk1/Pde1c/Piezo/Nrg/tn/Neto/mbl/rad/CrebB/rg/lov/Dop1R2/wake/lncRNA:yar/unc-104/Tmc/Phm/Pal1/muc/wg/Sema5c/Psn/para/caz",238
"7","GO:0042391","regulation of membrane potential","49/3316","72/8880",1.10496019565625e-07,4.51770868566882e-05,4.20383352633128e-05,"nAChRalpha1/nAChRbeta1/nAChRalpha2/eag/Hsc70-5/sesB/Sh/nAChRbeta2/Rdl/Itpr/Lcch3/Nmdar1/Elk/nAChRalpha3/Rab6/GluClalpha/Eaat1/CG1688/nAChRalpha5/NtR/SK/Pink1/VGlut/nAChRalpha6/sand/galene/SecCl/Task7/Task6/Irk2/jus/CG31935/shakB/CG34396/NaCP60E/CG42340/qvr/CG42594/Shab/CG43155/cac/Ih/Slob/Ca-alpha1T/Fife/pHCl-1/Piezo/nAChRalpha4/para",49
"8","GO:0099536","synaptic signaling","152/3316","296/8880",4.19914970353541e-07,0.00013924661446105,0.000129572229426038,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/Arl1/BicD/boss/Cat/ChAT/comt/dnc/DCTN1-p150/Galphas/mr/na/Atpalpha/pum/rt/rut/sesB/Sh/slo/svp/nAChRbeta2/Csp/Syt1/Rdl/Ten-m/5-HT7/Rop/Syn/Cbp53E/GluRIIA/TkR99D/Rap1/Gdi/Rab3/CanB/Lcch3/Nmdar1/Snap25/Dop1R1/nSyb/nAChRalpha3/stnB/mGluR/wit/b6/Oamb/GluClalpha/Srpk79D/X11L/Eaat1/Rab3-GAP/GABA-B-R2/GluRIID/nAChRalpha5/NtR/Vap33/Pink1/BTBD9/CG5541/Rab3-GEF/stas/Frq1/wgn/VGlut/Nlg2/CG7781/CG14275/nAChRalpha6/atilla/twit/CG9336/CG9338/Dyb/CG6329/Syngr/VGAT/Dg/DAT/CG10339/spz5/FMRFaR/unc-13-4A/PGRP-LC/SecCl/SLC22A/Neurochondrin/mAChR-B/Kcmf1/DCAF12/KaiR1D/Nrx-1/spas/Tusp/CDase/kek6/CG11155/Scamp/Alk/cpx/Fsn/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31475/CG31676/CG31935/scramb1/CG32447/be/X11Lbeta/Rim/Cadps/Frq2/Nlg3/Nlg4/Pka-R1/brp/Ca-beta/Dys/qvr/Atg1/stj/Syt12/Sytalpha/Sytbeta/NT1/Exn/Ank2/Rbp/Shab/cac/5-HT1B/Acsl/Ih/nwk/cpo/dysc/Slob/Fife/pHCl-1/Neto/nAChRalpha4/Sec6/Sec8/Esyt2/VAChT/cv-c",152
"9","GO:0007517","muscle organ development","55/3316","86/8880",4.5405454044144e-07,0.00013924661446105,0.000129572229426038,"abd-A/Abd-B/cv/Dr/if/klar/kn/nau/slou/rt/sr/Ubx/up/Wnt2/mew/fru/bap/Wnt5/htl/LamC/Mef2/Rac2/drl/mbc/Dad/SmD3/WASp/Grip/raptor/Him/CG11617/Tsp/jp/kon/CAP/pyr/ths/Dg/slow/Alk/tw/sls/wech/Dys/rhea/salm/Msp300/Sec24CD/ab/Mhc/mbl/wap/ap/wupA/wg",55
"10","GO:0099537","trans-synaptic signaling","150/3316","292/8880",4.86536039346784e-07,0.00013924661446105,0.000129572229426038,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/Arl1/BicD/boss/Cat/ChAT/comt/dnc/DCTN1-p150/Galphas/mr/na/Atpalpha/pum/rt/rut/sesB/Sh/slo/svp/nAChRbeta2/Csp/Syt1/Rdl/Ten-m/5-HT7/Rop/Syn/Cbp53E/GluRIIA/TkR99D/Rap1/Gdi/Rab3/CanB/Lcch3/Nmdar1/Snap25/Dop1R1/nSyb/nAChRalpha3/stnB/mGluR/wit/b6/Oamb/GluClalpha/Srpk79D/X11L/Eaat1/Rab3-GAP/GABA-B-R2/GluRIID/nAChRalpha5/NtR/Vap33/Pink1/BTBD9/CG5541/Rab3-GEF/stas/Frq1/wgn/VGlut/Nlg2/CG7781/CG14275/nAChRalpha6/atilla/twit/CG9336/CG9338/Dyb/CG6329/Syngr/VGAT/Dg/DAT/CG10339/spz5/FMRFaR/unc-13-4A/PGRP-LC/SecCl/SLC22A/Neurochondrin/mAChR-B/DCAF12/KaiR1D/Nrx-1/spas/CDase/kek6/CG11155/Scamp/Alk/cpx/Fsn/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31475/CG31676/CG31935/scramb1/CG32447/be/X11Lbeta/Rim/Cadps/Frq2/Nlg3/Nlg4/Pka-R1/brp/Ca-beta/Dys/qvr/Atg1/stj/Syt12/Sytalpha/Sytbeta/NT1/Exn/Ank2/Rbp/Shab/cac/5-HT1B/Acsl/Ih/nwk/cpo/dysc/Slob/Fife/pHCl-1/Neto/nAChRalpha4/Sec6/Sec8/Esyt2/VAChT/cv-c",150
