"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_biotype","external_gene_name"
"FBgn0000003",277.72069203445,-0.0448076065165012,0.200837684571828,0.589775643600325,0.723821577404932,"ncRNA","7SLRNA:CR32864"
"FBgn0000008",2202.63720917539,-0.11298130169517,0.114793181593183,0.249208897068299,0.428199361383257,"protein_coding","a"
"FBgn0000014",4638.175740528,-0.140997912664902,0.15382235445528,0.210741231274059,0.390853755484989,"protein_coding","abd-A"
"FBgn0000015",2851.40104427926,-0.181862869139861,0.14720840012716,0.127457388473943,0.295420302945962,"protein_coding","Abd-B"
"FBgn0000017",8384.11009326937,0.135711137125613,0.127482595722009,0.194752013366042,0.372827146161889,"protein_coding","Abl"
"FBgn0000018",264.930393463149,0.127330423251959,0.155651946791255,0.267951334017216,0.447130505513779,"protein_coding","abo"
"FBgn0000022",279.100063742667,0.0854190181305073,0.182553186559034,0.435449394617009,0.601735023610733,"protein_coding","ac"
"FBgn0000024",405.300217967979,-0.259153530222172,0.267839405200491,0.0652899491063703,0.207134717689045,"protein_coding","Ace"
"FBgn0000028",192.872646850781,-0.184924686197721,0.22663856799869,0.122452486279171,0.288402626457295,"protein_coding","acj6"
"FBgn0000032",2340.05958465238,0.494380019837975,0.262034942597311,0.00568725537825272,0.0696736549138688,"protein_coding","Acph-1"
"FBgn0000036",338.237629687516,-0.132286827859384,0.20581104975788,0.244332576532503,0.42374736640228,"protein_coding","nAChRalpha1"
"FBgn0000037",124.297545575265,-0.674372561757736,0.343982908857827,0.00292107400923062,0.052026681848318,"protein_coding","mAChR-A"
"FBgn0000038",785.997514315507,-0.530215335403649,0.237512409635571,0.00237597459851665,0.0476938754271049,"protein_coding","nAChRbeta1"
"FBgn0000039",123.490932680534,-0.147585925455489,0.231835341039177,0.179697490338157,0.356527120837766,"protein_coding","nAChRalpha2"
"FBgn0000042",116373.965221308,0.104447673676563,0.12373576316266,0.286149990086184,0.464756630711904,"protein_coding","Act5C"
"FBgn0000043",23408.2238713627,-0.0665807039343519,0.115275469062096,0.493811655497262,0.647680075667191,"protein_coding","Act42A"
"FBgn0000044",69634.8488013525,-0.308820734805326,0.280726797048639,0.0422775583525686,0.170418750323176,"protein_coding","Act57B"
"FBgn0000045",25.9141966258263,-0.052175427302069,0.207470833470352,0.488784060949585,0.64347745208044,"protein_coding","Act79B"
"FBgn0000046",5910.79712332717,-0.282647671290573,0.224580169536967,0.0468849727607675,0.179657303678738,"protein_coding","Act87E"
"FBgn0000052",1251.49301922614,0.11625641632419,0.152187989372869,0.309513477441414,0.48741578281403,"protein_coding","Pfas"
"FBgn0000053",2007.06328476575,-0.0539034580424074,0.121955206339749,0.594076366323582,0.727135940233016,"protein_coding","Gart"
"FBgn0000055",2930.26643268492,-0.283849151708642,0.233977278634106,0.048371055033154,0.181796317379617,"protein_coding","Adh"
"FBgn0000056",137.637162748111,-0.167351050395041,0.250629902877184,0.137696779328854,0.308246933877156,"protein_coding","Adhr"
"FBgn0000057",1347.12858173531,0.177680031891664,0.133102578946467,0.095825409758143,0.252918792088675,"protein_coding","adp"
"FBgn0000061",568.221667375039,-0.109927275859116,0.196264090795559,0.317615697656749,0.494503334660521,"protein_coding","al"
"FBgn0000063",494.864427215128,0.388277145541859,0.330169029230554,0.0243920549350022,0.134676861531597,"protein_coding","Mps1"
"FBgn0000064",19161.0122632584,-0.107120335789865,0.124730185955102,0.294994628232484,0.473123328868353,"protein_coding","Ald1"
"FBgn0000071",17784.6043349295,0.0244005107422314,0.119500178447995,0.851152944709395,0.911205912038436,"protein_coding","Ama"
"FBgn0000075",2365.5531932976,-0.153825482902365,0.212555643133375,0.222577346381614,0.402345698845812,"protein_coding","amd"
"FBgn0000077",493.74203535128,0.195625768152019,0.199606911111359,0.123486757605941,0.289821117596567,"protein_coding","amx"
"FBgn0000078",26.9216073701764,-0.0561519711690973,0.218868961981738,0.297144327083921,0.474979388997385,"protein_coding","Amy-d"
"FBgn0000079",85.4380024455848,-0.149310799004611,0.27160537102826,0.07724902652021,0.226643122594541,"protein_coding","Amy-p"
"FBgn0000083",9631.63596031118,-0.0754917956976616,0.147007731838571,0.487045612784067,0.642116052525631,"protein_coding","AnxB9"
"FBgn0000084",328.319284741995,0.686225039299602,0.451196355091393,0.00573185133929824,0.0697825359184176,"protein_coding","AnxB10"
"FBgn0000092",15.2958948726844,0.0339648673875396,0.203717901233193,0.656558794553007,0.774225719111186,"protein_coding","dyw"
"FBgn0000097",11493.6702588107,-0.00521459816527562,0.145093562155073,0.958590010199475,0.977077677404478,"protein_coding","aop"
"FBgn0000100",60386.6601456485,0.0185464106480312,0.0836974369427177,0.851504160806061,0.911377557543534,"protein_coding","RpLP0"
