"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_biotype","external_gene_name"
"FBgn0000037",124.297545575265,-0.674372561757736,0.343982908857827,0.00292107400923062,0.052026681848318,"protein_coding","mAChR-A"
"FBgn0000084",328.319284741995,0.686225039299602,0.451196355091393,0.00573185133929824,0.0697825359184176,"protein_coding","AnxB10"
"FBgn0000114",5070.37929524735,1.39022772277148,0.58585579096307,0.000597192144286897,0.023501014598916,"protein_coding","bru1"
"FBgn0000146",1386.42079416387,0.694110902433868,0.30985469883858,0.00158281928934521,0.0412286738700872,"protein_coding","aub"
"FBgn0000152",327.351930283227,0.682718668361326,0.328871188699477,0.00229166498586753,0.0471331246127978,"protein_coding","Axs"
"FBgn0000153",27.651992577417,-1.10778793040565,0.61294557705518,0.00233083618885839,0.0473407534164383,"protein_coding","b"
"FBgn0000158",891.623149890024,0.842988751760735,0.446892827976375,0.00249135571043636,0.0488448592691286,"protein_coding","bam"
"FBgn0000166",2778.02277948783,0.613988166667802,0.488440859111031,0.00903703587412946,0.0863451287886255,"protein_coding","bcd"
"FBgn0000251",3546.57304071108,0.81578047776851,0.341990914843719,0.000914027100282437,0.0300283978290987,"protein_coding","cad"
"FBgn0000351",211.308868353844,0.76921054757209,0.440725902491462,0.00357593240427937,0.0569442510958025,"protein_coding","cort"
"FBgn0000392",3583.56840916096,1.03239988930928,0.707106086879808,0.00373874828074936,0.0579792404724571,"protein_coding","cup"
"FBgn0000404",35311.2757839705,0.60657140785648,0.262520585908914,0.00182249006463216,0.0435490159143457,"protein_coding","CycA"
"FBgn0000405",59589.911313051,0.59991545265518,0.352431182022094,0.0055701633246587,0.069583875751262,"protein_coding","CycB"
"FBgn0000588",1027.34067120998,0.644592856565959,0.291927962642774,0.00184608168357087,0.0436201590027328,"protein_coding","esc"
"FBgn0000615",1263.87069052401,1.41078495082352,0.677652431986849,0.00110282097014999,0.0332365328193963,"protein_coding","exu"
"FBgn0000808",160.028778933523,1.71353353063136,0.568263332468405,9.31479510593177e-05,0.00916380119964465,"protein_coding","gd"
"FBgn0000826",249.756053194067,1.51382607847139,0.457262954681975,3.8829082357693e-05,0.00477292315722653,"protein_coding","png"
"FBgn0000927",723.193359203308,1.53107179557316,1.05563674664561,0.00271621569997113,0.0507955551413404,"protein_coding","fs(1)Ya"
"FBgn0001120",1459.72480754733,1.52481297984933,0.883276707407957,0.0019064935562401,0.0437350572709832,"protein_coding","gnu"
"FBgn0001226",6075.27153054459,0.844526515451412,0.451554205912642,0.00240916535386859,0.0480953813345299,"protein_coding","Hsp27"
"FBgn0001612",1348.28229268769,0.610839017011622,0.303118831179498,0.0031045569539041,0.052985730227318,"protein_coding","Grip91"
"FBgn0002564",38.2623916942006,-1.64300905628517,0.728809689408727,0.000692500560481145,0.025385097471475,"protein_coding","Lsp1gamma"
"FBgn0002878",979.076428722537,0.779213714678911,0.430153532073783,0.00305084827471077,0.0526439749610974,"protein_coding","mus101"
"FBgn0002899",493.583890869202,0.889862349306268,0.311431873604878,0.000247370157596553,0.0153763041142403,"protein_coding","mus301"
"FBgn0002922",217.480045177436,-0.587081229694593,0.226536291721756,0.00071264005346827,0.0254041331594159,"protein_coding","nau"
"FBgn0002939",345.408843350195,-0.829897078605771,0.284863379409355,0.000204604878171877,0.0140351176913359,"protein_coding","ninaD"
"FBgn0002962",1536.27443592665,1.62048845156272,0.789854745782399,0.00107110047764598,0.0330079978181608,"protein_coding","nos"
"FBgn0003089",4134.46601480001,-0.678931062917026,0.165159264209917,3.37414348153924e-06,0.000723786856628222,"protein_coding","pip"
"FBgn0003270",142.634497610987,0.89178755226979,0.68625150408141,0.00520900320159099,0.06743963908332,"protein_coding","amos"
"FBgn0003328",2954.40685373372,-0.749979057275806,0.143764665586421,1.37886705885677e-08,7.29399208654243e-06,NA,NA
"FBgn0003401",157.335511203938,1.23754783456792,0.536881124879679,0.000759104310238849,0.0264382879067795,"protein_coding","shu"
"FBgn0003483",1729.50414246103,0.725230669934371,0.513070619981257,0.00563652089298961,0.0696043387411246,"protein_coding","spn-E"
"FBgn0003486",1072.93493021125,0.818103551592088,0.326755875330228,0.000681099635660287,0.0253443197759304,"protein_coding","spo"
"FBgn0003527",97.4278285356678,1.78059686336879,0.458761609080935,4.58338167163702e-06,0.000895396347994804,"protein_coding","stil"
