"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","GO:0034330","cell junction organization","209/3508","371/8880",1.67782558483294e-11,4.80697030054637e-08,4.32172548009074e-08,"Act57B/Appl/arm/awd/baz/Lar/Fas2/Galphai/Galphas/kay/dlg1/Gli/LanA/mr/Atpalpha/put/rut/sax/shi/slo/stau/kst/Ten-m/Fur1/Gad1/Syn/pros/Rap1/gig/ewg/Rab3/comm/brat/Rac1/Cdc42/htl/Sdc/cora/sinu/jar/Nos/repo/nmo/pck/Cdk5/Nrx-IV/Rac2/Rho1/drl/Rab11/RtGEF/lbm/fz2/klg/mGluR/Pdk1/Dad/caps/wit/sns/WASp/trio/Tsp2A/stan/Syx4/moody/SkpA/Srpk79D/unc-13/TBPH/wrapper/Top3beta/Tip60/Rok/drpr/cindr/Ulp1/kirre/Rich/Vap33/Grip/raptor/pod1/dpr14/hiw/Lrp4/Frq1/shv/bark/DIP-eta/Nlg2/dpr19/PICK1/spict/Cul2/kune/Mmp2/Dyb/Syn2/dpr13/Magi/Liprin-gamma/CG13506/PIP5K59B/CG10339/Mmp1/CG13704/crim/RhoGAP68F/Tsf2/CG9628/sff/Ssk/cmpy/M6/CG7166/Syn1/Ada2b/beag/ATP6AP2/dpr5/dpr15/Octbeta2R/dpr9/Sra-1/Lrrk/Nrx-1/Octbeta1R/spas/BOD1/DIP-gamma/Cul5/RhoGAP100F/mav/Cals/Vav/Kat60/Aplip1/dpr1/Prosap/dpr6/Atx2/dlp/cpx/bchs/metro/mesh/Nlg1/CG31475/DIP-theta/DIP-zeta/DIP-kappa/dpr10/dpr8/Synd/dpr11/Mical/dpr4/dpr3/Frq2/Nlg3/Nlg4/shakB/dpr12/DIP-delta/jeb/beta-Spec/futsch/DIP-beta/brp/Mob2/DIP-epsilon/Ca-beta/mtg/Atg1/dpr21/wol/stj/bou/CG42673/Ank2/CG42748/sdt/Tl/Rbp/Rab8/Arp3/Src64B/cac/scrib/nwk/dysc/Fife/CaMKII/Nrg/l(3)neo38/CG44325/Neto/CrebB/ringer/Nsf2/GckIII/stai/kis/btsz/Ten-a/Sac1/wg/Rab1",209
"2","GO:0040011","locomotion","234/3508","429/8880",7.78310658476035e-11,1.11493001826692e-07,1.0023822006794e-07,"brm/bsk/chic/Dab/Lar/E(Pc)/Fas2/Fas3/FER/Glt/grk/grn/if/kay/egh/dlg1/Gli/Ca-alpha1D/Catsup/Lim3/sas/LanA/sens/Mlc2/peb/pk/put/sm/spz/svp/Egfr/ttk/tup/vir/vn/w/uzip/Pp1-87B/ct/Ptp99A/Ten-m/mew/pros/hh/fru/Hrb27C/otk/eIF2beta/ple/robo1/nvy/slbo/Orc3/dac/Con/comm/Tbh/Rac1/Cdc42/htl/Nmdar1/Sdc/Wnt4/tutl/kermit/msn/Dop1R1/Moe/Tig/nmo/beat-Ia/shot/Cdk5/Gycalpha99B/Ptp69D/Rac2/Rho1/Tie/bnl/cher/mirr/tim/drl/tap/CadN/NetA/NetB/Rab6/Vang/fz2/14-3-3epsilon/ko/dom/Nrk/Dad/CG7179/chb/Pka-R2/caps/Pdf/CG3857/trio/stan/DAAM/PlexA/homer/TBPH/Timp/Stam/Cdk5alpha/jbug/Rich/nerfin-1/raptor/pod1/Clic/hiw/CG9784/CG6867/wgn/Nup205/daw/Pvf2/Pvr/Bug22/CG17118/Oli/Dscam1/Mmp2/ths/Drl-2/ckn/Hr51/unc-5/Syn2/CG6805/Toll-7/Lrt/spz5/RhoGEF64C/atk/M6/Syn1/laza/ATP6AP2/beat-Vc/beat-Va/beat-Vb/Sra-1/beat-IIb/beat-IIa/Lrrk/Ktl/RhoGAP93B/Nrx-1/AP-1sigma/XNP/CG6330/beat-VI/DIP-gamma/RhoGAP100F/Vav/Kat60/boi/tai/robo3/dlp/SCAR/Proc/CG30456/Unc-115a/Trim9/Krn/gogo/shep/dpr11/Mical/pain/CG34353/Pvf3/spri/jeb/vvl/l(3)L1231/sls/puc/kra/beta-Spec/meigo/mmy/kuz/flr/Diap1/Mp/Pdfr/Dscam3/conv/haf/NT1/wb/Msp300/mid/Ptpmeg/CadN2/Tl/Src64B/Evi5/Acsl/hts/Hmgcr/dally/Stacl/dysc/sli/Sema2b/ab/Mhc/Nrg/CG44153/Neto/beat-IIIa/rdgC/ttv/lov/kis/Sec15/Ten-a/ap/br/Sac1/Sema5c/trol/sbb/Rab1",234
"3","GO:0099537","trans-synaptic signaling","168/3508","292/8880",1.91877757173122e-10,1.36226724597399e-07,1.22475170419707e-07,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/boss/Cat/Pka-C1/ChAT/comt/dnc/Fas2/Galphas/dlg1/mr/na/Atpalpha/rt/rut/Sh/shi/slo/svp/nAChRbeta2/5-HT1A/Csp/Syt1/Rdl/Ten-m/5-HT7/Rop/Syn/Cbp53E/Plc21C/TkR99D/Rap1/Shal/Rab3/CanB/Lcch3/Cdc42/Nmdar1/Dcp-1/Snap25/Dop1R1/nSyb/Syx1A/Arf51F/Ipp/stnB/mGluR/dtr/wit/b6/Oamb/GluClalpha/Syx4/Srpk79D/unc-13/TBPH/Tip60/X11L/Rep/Rab3-GAP/GABA-B-R2/GluRIID/nAChRalpha5/NtR/Vap33/hiw/Rab3-GEF/Frq1/wgn/VGlut/Snapin/Nlg2/CG7781/CG14275/nAChRalpha6/atilla/twit/CG9336/CG9338/Dyb/CG6329/Syngr/VGAT/DAT/P32/CG13531/CG10339/spz5/FMRFaR/unc-13-4A/PGRP-LC/crim/rogdi/SecCl/SLC22A/Neurochondrin/beag/ohgt/DCAF12/KaiR1D/Nrx-1/spas/CDase/kek6/Syt7/Ekar/CG11155/Cals/cpx/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31475/CG31675/CG31676/CG31935/Csas/CG32447/X11Lbeta/Rim/Cadps/Frq2/Nlg3/Nlg4/jeb/beta-Spec/alphaSnap/brp/Ca-beta/qvr/Atg1/stj/Syt12/Sytbeta/rtv/NT1/Exn/nemy/Ank2/Rbp/Shab/Src64B/SERCA/cac/5-HT1B/Acsl/Ih/nwk/cpo/dysc/Slob/Fife/CaMKII/Neto/nAChRalpha4/Nsf2/Sec5/Sec6/Snap24/Esyt2/Ten-a/VAChT/cv-c",168
"4","GO:0003008","system process","252/3508","472/8880",2.53162562043722e-10,1.36226724597399e-07,1.22475170419707e-07,"nAChRalpha1/nAChRbeta1/nAChRalpha2/Appl/arm/boss/bsk/bw/Pka-C1/salr/Col4a1/dnc/eag/EcR/Fas2/Galphas/Hn/if/Ca-alpha1D/Mlc1/Mlc2/na/Atpalpha/Pkc98E/pnr/Rh4/rut/Sh/shi/Btk29A/ss/stau/sws/Egfr/vn/w/Pp1-87B/Tm2/nAChRbeta2/5-HT1A/up/ct/Rdl/Klp64D/mew/Mdr65/Oct-TyrR/Gad1/Syn/pros/TkR99D/svr/hop/14-3-3zeta/Shal/Orc3/Galphaf/Lcch3/Tbh/Rac1/Cdc42/Nmdar1/cora/sinu/dia/Obp28a/RyR/Ms/Dop1R1/ine/Mvl/Nos/Fdh/Nrx-IV/cher/tim/drl/Drip/nompA/vri/H15/Dyrk2/klg/mGluR/ppk/geko/Rfx/CRMP/Clk/teq/CG3078/sns/b6/Oamb/GluClalpha/Scgdelta/Amnionless/Eb1/Inx7/Amph/CG4928/kirre/Kap3/Rh50/nAChRalpha5/aru/NtR/Fkbp59/CG5921/dpr14/fh/Uba5/Sclp/hiw/Mec2/CG8028/Ir25a/meng/Nha1/PrBP/nAChRalpha6/dpr19/AstC/MRP/nrv3/Dscam1/Obp44a/KCNQ/CAP/ClC-b/Sans/dpr13/Oatp58Dc/Eglp2/Eglp4/ITP/mri/Chd64/DopEcR/ppk26/Bmcp/INPP5E/Or71a/SecCl/SLC22A/CG14636/NPFR/Neurochondrin/ATP6AP2/mura/dpr5/ATP8B/dpr15/dpr9/Sdhaf3/Nrx-1/CG6972/Root/sosie/PQBP1/BOD1/Obp99a/Obp99c/Obp99d/Obp99b/Cad99C/CG15537/G9a/dpr1/dpr6/robo3/lilli/Atx2/HDAC4/prt/Proc/Obp83g/Obp83ef/Obp83cd/SKIP/Gba1b/wry/CG31935/dpr10/Rbfox1/Krn/dpr8/Cubn/dpr11/dpr4/Nmdar2/dpr3/Dop2R/Unc-89/pain/Ctr1A/Or19b/dbr/dpr12/Nox/NaCP60E/sif/kra/DCX-EMAP/futsch/brp/Mob2/drd/qvr/Mp/2mit/Atg1/stj/salm/nemy/Npc1b/Ank2/dikar/mid/f/Shab/Src64B/AGO1/Ptr/SERCA/cac/Fic/scrib/Nha2/spoon/dysc/orb2/CG43778/Ca-alpha1T/CaMKII/Mhc/Rgk1/tn/rad/CrebB/rdgC/nAChRalpha4/SclA/SclB/kis/ebo/Ggamma30A/Tmc/wupA/Phm/wg/para",252
"5","GO:0007268","chemical synaptic transmission","167/3508","291/8880",2.85291569837486e-10,1.36226724597399e-07,1.22475170419707e-07,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/boss/Cat/Pka-C1/ChAT/comt/dnc/Fas2/Galphas/dlg1/mr/na/Atpalpha/rt/rut/Sh/shi/slo/svp/nAChRbeta2/5-HT1A/Csp/Syt1/Rdl/Ten-m/5-HT7/Rop/Syn/Cbp53E/Plc21C/TkR99D/Rap1/Shal/Rab3/CanB/Lcch3/Cdc42/Nmdar1/Dcp-1/Snap25/Dop1R1/nSyb/Syx1A/Arf51F/Ipp/stnB/mGluR/dtr/wit/b6/Oamb/GluClalpha/Syx4/Srpk79D/unc-13/TBPH/Tip60/X11L/Rep/Rab3-GAP/GABA-B-R2/GluRIID/nAChRalpha5/NtR/Vap33/hiw/Rab3-GEF/Frq1/wgn/VGlut/Snapin/Nlg2/CG7781/CG14275/nAChRalpha6/atilla/twit/CG9336/CG9338/Dyb/CG6329/Syngr/VGAT/DAT/P32/CG13531/CG10339/spz5/FMRFaR/unc-13-4A/PGRP-LC/crim/rogdi/SecCl/SLC22A/Neurochondrin/beag/ohgt/DCAF12/KaiR1D/Nrx-1/spas/CDase/kek6/Syt7/Ekar/CG11155/Cals/cpx/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31675/CG31676/CG31935/Csas/CG32447/X11Lbeta/Rim/Cadps/Frq2/Nlg3/Nlg4/jeb/beta-Spec/alphaSnap/brp/Ca-beta/qvr/Atg1/stj/Syt12/Sytbeta/rtv/NT1/Exn/nemy/Ank2/Rbp/Shab/Src64B/SERCA/cac/5-HT1B/Acsl/Ih/nwk/cpo/dysc/Slob/Fife/CaMKII/Neto/nAChRalpha4/Nsf2/Sec5/Sec6/Snap24/Esyt2/Ten-a/VAChT/cv-c",167
"6","GO:0098916","anterograde trans-synaptic signaling","167/3508","291/8880",2.85291569837486e-10,1.36226724597399e-07,1.22475170419707e-07,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/boss/Cat/Pka-C1/ChAT/comt/dnc/Fas2/Galphas/dlg1/mr/na/Atpalpha/rt/rut/Sh/shi/slo/svp/nAChRbeta2/5-HT1A/Csp/Syt1/Rdl/Ten-m/5-HT7/Rop/Syn/Cbp53E/Plc21C/TkR99D/Rap1/Shal/Rab3/CanB/Lcch3/Cdc42/Nmdar1/Dcp-1/Snap25/Dop1R1/nSyb/Syx1A/Arf51F/Ipp/stnB/mGluR/dtr/wit/b6/Oamb/GluClalpha/Syx4/Srpk79D/unc-13/TBPH/Tip60/X11L/Rep/Rab3-GAP/GABA-B-R2/GluRIID/nAChRalpha5/NtR/Vap33/hiw/Rab3-GEF/Frq1/wgn/VGlut/Snapin/Nlg2/CG7781/CG14275/nAChRalpha6/atilla/twit/CG9336/CG9338/Dyb/CG6329/Syngr/VGAT/DAT/P32/CG13531/CG10339/spz5/FMRFaR/unc-13-4A/PGRP-LC/crim/rogdi/SecCl/SLC22A/Neurochondrin/beag/ohgt/DCAF12/KaiR1D/Nrx-1/spas/CDase/kek6/Syt7/Ekar/CG11155/Cals/cpx/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31675/CG31676/CG31935/Csas/CG32447/X11Lbeta/Rim/Cadps/Frq2/Nlg3/Nlg4/jeb/beta-Spec/alphaSnap/brp/Ca-beta/qvr/Atg1/stj/Syt12/Sytbeta/rtv/NT1/Exn/nemy/Ank2/Rbp/Shab/Src64B/SERCA/cac/5-HT1B/Acsl/Ih/nwk/cpo/dysc/Slob/Fife/CaMKII/Neto/nAChRalpha4/Nsf2/Sec5/Sec6/Snap24/Esyt2/Ten-a/VAChT/cv-c",167
"7","GO:0099536","synaptic signaling","169/3508","296/8880",3.84974054403019e-10,1.57564380837807e-07,1.41658873853261e-07,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/boss/Cat/Pka-C1/ChAT/comt/dnc/Fas2/Galphas/dlg1/mr/na/Atpalpha/rt/rut/Sh/shi/slo/svp/nAChRbeta2/5-HT1A/Csp/Syt1/Rdl/Ten-m/5-HT7/Rop/Syn/Cbp53E/Plc21C/TkR99D/Rap1/Shal/Rab3/CanB/Lcch3/Cdc42/Nmdar1/Dcp-1/Snap25/Dop1R1/nSyb/Syx1A/Arf51F/Ipp/stnB/mGluR/dtr/wit/b6/Oamb/GluClalpha/Syx4/Srpk79D/unc-13/TBPH/Tip60/X11L/Rep/Rab3-GAP/GABA-B-R2/GluRIID/nAChRalpha5/NtR/Vap33/hiw/Rab3-GEF/Frq1/wgn/VGlut/Snapin/Nlg2/CG7781/CG14275/nAChRalpha6/atilla/twit/CG9336/CG9338/Dyb/CG6329/Syngr/VGAT/DAT/P32/CG13531/CG10339/spz5/FMRFaR/unc-13-4A/PGRP-LC/crim/rogdi/SecCl/SLC22A/Neurochondrin/beag/ohgt/DCAF12/KaiR1D/Nrx-1/spas/Tusp/CDase/kek6/Syt7/Ekar/CG11155/Cals/cpx/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31475/CG31675/CG31676/CG31935/Csas/CG32447/X11Lbeta/Rim/Cadps/Frq2/Nlg3/Nlg4/jeb/beta-Spec/alphaSnap/brp/Ca-beta/qvr/Atg1/stj/Syt12/Sytbeta/rtv/NT1/Exn/nemy/Ank2/Rbp/Shab/Src64B/SERCA/cac/5-HT1B/Acsl/Ih/nwk/cpo/dysc/Slob/Fife/CaMKII/Neto/nAChRalpha4/Nsf2/Sec5/Sec6/Snap24/Esyt2/Ten-a/VAChT/cv-c",169
"8","GO:0007267","cell-cell signaling","252/3508","475/8880",5.76410984801292e-10,2.06427183931963e-07,1.8558916839589e-07,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/nAChRalpha2/arm/boss/Cat/Pka-C1/ChAT/comt/Dl/dnc/Fas2/flw/Galphas/kn/dlg1/hyd/mam/mr/na/Atpalpha/nau/rt/rut/Sh/shi/slo/svp/Pp1-87B/nAChRbeta2/5-HT1A/mts/Csp/Ser/Syt1/Rdl/Wnt2/Klp64D/Ten-m/5-HT7/Rop/Syn/Cbp53E/Plc21C/TkR99D/Rap1/hh/otk/tws/por/gig/ewg/Shal/Rab3/Eip63E/CanB/Lcch3/Cdc42/Nmdar1/Wnt4/Dcp-1/Snap25/Dop1R1/pav/wts/nmo/nSyb/Syx1A/Arf51F/Rho1/drl/Ipp/fz2/Dyrk2/stnB/mGluR/crol/CtBP/dtr/dimm/teq/wit/b6/Oamb/GluClalpha/Syx4/SkpA/Roc1a/Srpk79D/unc-13/TBPH/Tip60/X11L/Rep/fz3/Rab3-GAP/botv/GABA-B-R2/Kap3/GluRIID/nAChRalpha5/NtR/Vap33/Grip/CG9650/p24-1/hiw/Rab3-GEF/Frq1/wgn/GABA-B-R3/VGlut/Snapin/Nlg2/Wnt6/CG7781/CG14275/nAChRalpha6/atilla/PICK1/twit/CG9336/CG9338/Mmp2/Dyb/Drl-2/CG6329/Syngr/VGAT/DAT/P32/Gint3/Vps35/Swim/CG13531/sona/CG10339/ebd1/Oseg4/spz5/FMRFaR/unc-13-4A/PGRP-LC/FoxK/crim/rogdi/SecCl/Rnf146/cmpy/SLC22A/NPFR/Neurochondrin/beag/ATP6AP2/ohgt/DCAF12/Snx3/wntD/KaiR1D/Nrx-1/Cow/RanBP3/spas/TBC1d7/Bili/Tusp/CG15537/CDase/kek6/Syt7/Ekar/CG11155/Cals/Prosap/dlp/cpx/7B2/Notum/GluRIIC/RIC-3/Nlg1/GluRIIE/CG31475/CG31675/CG31676/lncRNA:CR31781/CG31935/Csas/CG32447/X11Lbeta/CG32850/Rim/Cadps/Frq2/Nlg3/Nlg4/pan/jeb/beta-Spec/alphaSnap/brp/Ca-beta/GABA-B-R1/qvr/Diap1/Sec22/Atg1/stj/Syt12/Sytbeta/rtv/NT1/Exn/nemy/Ank2/osa/Rbp/Shab/Src64B/SERCA/cac/5-HT1B/Acsl/Ih/nwk/mib1/dally/cpo/dysc/Slob/opm/Glut1/PsGEF/Fife/CaMKII/Oseg1/Neto/ttv/nAChRalpha4/Nsf2/Sec5/Sec6/Snap24/Esyt2/Ten-a/otk2/VAChT/wg/Rab1/cv-c",252
"9","GO:0050804","modulation of chemical synaptic transmission","90/3508","140/8880",2.1017931605763e-09,6.02163740505109e-07,5.41377669887389e-07,"boss/Cat/Pka-C1/comt/Fas2/mr/na/rt/Sh/shi/slo/Csp/Syt1/Rdl/Cbp53E/Plc21C/TkR99D/Rap1/Rab3/Cdc42/Dcp-1/Snap25/mGluR/b6/Tip60/Rab3-GAP/GABA-B-R2/GluRIID/hiw/Frq1/wgn/VGlut/Snapin/Nlg2/CG7781/CG14275/atilla/twit/CG9336/CG9338/Dyb/CG6329/CG10339/spz5/FMRFaR/PGRP-LC/crim/SLC22A/Neurochondrin/ohgt/KaiR1D/Nrx-1/spas/kek6/Ekar/CG11155/Cals/cpx/GluRIIC/Nlg1/GluRIIE/CG31675/CG31676/CG31935/CG32447/Rim/Frq2/Nlg3/Nlg4/jeb/beta-Spec/brp/qvr/Atg1/Syt12/rtv/NT1/Exn/nemy/Ank2/Shab/Src64B/cac/Ih/dysc/Slob/Fife/CaMKII/Neto/cv-c",90
"10","GO:0099177","regulation of trans-synaptic signaling","90/3508","140/8880",2.1017931605763e-09,6.02163740505109e-07,5.41377669887389e-07,"boss/Cat/Pka-C1/comt/Fas2/mr/na/rt/Sh/shi/slo/Csp/Syt1/Rdl/Cbp53E/Plc21C/TkR99D/Rap1/Rab3/Cdc42/Dcp-1/Snap25/mGluR/b6/Tip60/Rab3-GAP/GABA-B-R2/GluRIID/hiw/Frq1/wgn/VGlut/Snapin/Nlg2/CG7781/CG14275/atilla/twit/CG9336/CG9338/Dyb/CG6329/CG10339/spz5/FMRFaR/PGRP-LC/crim/SLC22A/Neurochondrin/ohgt/KaiR1D/Nrx-1/spas/kek6/Ekar/CG11155/Cals/cpx/GluRIIC/Nlg1/GluRIIE/CG31675/CG31676/CG31935/CG32447/Rim/Frq2/Nlg3/Nlg4/jeb/beta-Spec/brp/qvr/Atg1/Syt12/rtv/NT1/Exn/nemy/Ank2/Shab/Src64B/cac/Ih/dysc/Slob/Fife/CaMKII/Neto/cv-c",90
