"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","GO:0040011","locomotion","251/3620","429/8880",2.45851914262874e-14,7.04119882448871e-11,6.0479570908667e-11,"Arl1/brm/bsk/chic/eya/Dab/Lar/E(Pc)/Fas2/Fas3/FER/Glt/grn/if/kay/dlg1/Sos/Gli/Ca-alpha1D/Catsup/Lim3/sas/LanA/robo2/sens/Mlc2/peb/pk/Pu/sm/svp/Egfr/ttk/tup/vir/vn/w/Pp1-87B/ct/Ptp99A/Ptp10D/Ten-m/mew/pros/zfh1/hh/fru/sim/Hrb27C/otk/tok/eIF2beta/ple/robo1/nvy/slbo/Orc3/dac/Con/comm/Tbh/Rac1/Cdc42/htl/Nmdar1/Sdc/trn/Wnt4/tutl/kermit/msn/fbl/Sema1a/Dop1R1/Moe/Tig/nmo/beat-Ia/shot/Cdk5/Gycalpha99B/Rac2/Rho1/Tie/bnl/cher/gcm/mirr/tim/drl/mbc/tap/CadN/Lis-1/NetA/NetB/Rab6/Vang/side/wun/fz2/14-3-3epsilon/ko/dom/Nrk/Dad/CG7179/Pka-R2/caps/Pdf/CG3857/trio/stan/DAAM/Bap55/TBPH/Timp/Cdk5alpha/jbug/bdl/Rich/beat-Ic/beat-Ib/nerfin-1/SoxN/raptor/pod1/Clic/hiw/CG9784/CG6867/wgn/Nup205/daw/Pvr/Bug22/Oli/CarT/Dscam1/Mmp2/ths/Drl-2/ckn/Hr51/unc-5/Syn2/Toll-7/Lrt/spz5/RhoGEF64C/CCDC151/atk/M6/Syn1/laza/ATP6AP2/beat-Va/beat-Vb/Sra-1/beat-IIb/beat-IIa/Lrrk/Ktl/RhoGAP93B/Nrx-1/AP-1sigma/XNP/CG6330/beat-VI/DIP-gamma/RhoGAP100F/Vav/Ephrin/Alk/tai/robo3/comm2/dlp/SCAR/mask/Proc/CG30456/Unc-115a/Trim9/CG32100/Krn/gogo/shep/beat-IIIb/dpr11/Mical/pain/CG34353/Pvf3/spri/lap/stl/vvl/l(3)L1231/iav/sls/psidin/puc/kra/beta-Spec/meigo/mmy/kuz/flr/Diap1/Mp/Pdfr/Dscam3/conv/haf/NT1/wb/pdm3/Bsg/Msp300/mid/Ptpmeg/CadN2/Src64B/Evi5/Acsl/hts/Hmgcr/dally/Stacl/dysc/sli/Sema2b/ab/Mhc/Nrg/CG44153/Neto/beat-IIIa/rdgC/lov/Sec15/Ten-a/unc-104/SelR/ap/br/InR/Sac1/Sema5c/trol",251
"2","GO:0034330","cell junction organization","220/3620","371/8880",1.57486806974023e-13,1.80253849729751e-10,1.54826979865638e-10,"Act57B/Appl/arm/baz/Lar/Fas2/Galphas/Gs2/Jra/kay/dlg1/Gli/l(2)gl/LanA/Atpalpha/rut/sax/shi/slo/stau/kst/Ten-m/Fur1/Gad1/Syn/pros/Rap1/gig/Rab3/comm/Rac1/Cdc42/htl/Itgbn/Sdc/cora/sinu/jar/Sema1a/cpb/Nos/repo/Hem/nmo/Cdk5/Nrx-IV/Rab2/Rac2/Rho1/drl/nrv2/Rab11/RtGEF/lbm/wun/fz2/klg/mGluR/Pdk1/Dad/caps/wit/sns/WASp/trio/Tsp2A/Flo1/stan/Syx4/moody/SkpA/Srpk79D/TBPH/wrapper/Top3beta/Tip60/drpr/cindr/kirre/Rich/Vap33/Grip/raptor/pod1/dpr14/Upf2/hiw/Lrp4/dpr18/Frq1/shv/bark/DIP-eta/Nlg2/dpr19/PICK1/Cul2/kune/Tbce/Mmp2/Dyb/Syn2/dpr13/Magi/Liprin-gamma/CG13506/PIP5K59B/CG10339/Mmp1/Eps-15/dpr20/CG13704/crim/Tsf2/CG9628/sff/Dysb/Ssk/cmpy/M6/CG7166/Syn1/beag/ATP6AP2/dpr5/dpr15/Octbeta2R/dpr9/Sra-1/Lrrk/Nrx-1/Octbeta1R/spas/BOD1/DIP-gamma/Cul5/ppk30/RhoGAP100F/mav/Cals/Vav/dbo/Aplip1/dpr1/Prosap/Atx2/dlp/cpx/Fsn/bchs/metro/mesh/Nlg1/dpr17/CG31475/DIP-theta/DIP-zeta/DIP-kappa/dpr10/dpr8/DIP-alpha/Synd/dpr11/Mical/dpr4/dpr3/Frq2/Nlg3/Nlg4/shakB/dpr12/DIP-delta/beta-Spec/futsch/DIP-beta/brp/Mob2/DIP-epsilon/Ca-beta/mtg/p120ctn/Atg1/dpr21/wol/stj/bou/CG42673/Thor/Ank2/CG42748/dpr2/sdt/Rbp/Rab8/Arp3/Src64B/cac/scrib/nwk/dysc/Fife/CaMKII/Nrg/l(3)neo38/CG44325/Neto/CrebB/rg/ringer/Nsf2/GckIII/btsz/Ten-a/unc-104/Mcr/Sac1/wg/Adf1/btl/Imp",220
"3","GO:0003008","system process","269/3620","472/8880",2.12173962261742e-13,1.80253849729751e-10,1.54826979865638e-10,"nAChRalpha1/nAChRbeta1/nAChRalpha2/Appl/arm/boss/bsk/bw/salr/Col4a1/eag/eas/EcR/Fas2/Galphas/Hn/if/inaD/Jra/Ca-alpha1D/Mlc1/Mlc2/na/Atpalpha/neur/Pkc98E/ru/rut/Sh/shi/Btk29A/ss/stau/sws/Egfr/vn/w/Pp1-87B/Tm2/5-HT1A/up/ct/Rdl/Ptp10D/Klp64D/Klp68D/mew/Mdr65/Oct-TyrR/Gad1/Syn/pros/gl/TkR99D/drk/svr/hop/14-3-3zeta/Shal/Orc3/Itpr/Galphaf/Lcch3/Tbh/Rac1/Cdc42/Nmdar1/cora/sinu/Obp28a/RyR/Ms/Dop1R1/ine/Mvl/Nos/Fdh/Nrx-IV/cher/tim/drl/ktub/nrv2/Drip/nompA/vri/H15/nompB/Dyrk2/klg/mGluR/ppk/geko/Rfx/CRMP/Clk/btv/teq/CG3078/sns/b6/Oamb/GluClalpha/Scgdelta/Amnionless/Eb1/Inx7/Amph/CG4928/kirre/Kap3/nAChRalpha5/aru/NtR/CG5921/dpr14/Uba5/Tomosyn/hiw/dpr18/Mec2/nAChRbeta3/Ir25a/meng/Nha1/PrBP/nAChRalpha6/dpr19/AstC/MRP/CarT/nrv3/Dscam1/Obp44a/CG2121/KCNQ/CAP/Sans/dpr13/Eglp2/Eglp4/ITP/mri/dpr20/Chd64/DopEcR/Fitm/CG10226/ppk26/Bmcp/Or71a/SecCl/Dysb/Ir76b/SLC22A/CG14636/NPFR/Neurochondrin/ATP6AP2/mura/dpr5/ATP8B/dpr15/dpr9/Nrx-1/CCAP/CG6972/Root/sosie/PQBP1/BOD1/Obp99a/Obp99c/Obp99b/Cad99C/CG15537/G9a/Alk/dpr1/robo3/Socs36E/Atx2/HDAC4/prt/Proc/Obp83g/Obp83ef/Obp83cd/ClC-a/SKIP/dpr17/Gba1b/wry/dpr10/Rbfox1/Krn/dpr8/Cubn/dpr11/pxb/dpr4/Nmdar2/dpr3/Dop2R/Unc-89/pain/Ctr1A/Or19b/Lasp/dbr/dpr12/Nox/sif/Tpi/iav/kra/DCX-EMAP/futsch/brp/Mob2/drd/qvr/Mp/2mit/Atg1/stj/Atg13/pdm3/salm/nemy/Npc1b/Ank2/dpr2/dikar/mid/f/Shab/Tmhs/Src64B/AGO1/Ptr/SERCA/cac/Fic/scrib/Nha2/spoon/dysc/orb2/CG43778/Ca-alpha1T/CaMKII/Mhc/Rgk1/tn/rad/CrebB/rdgC/rg/nAChRalpha4/SclA/SclB/Ggamma30A/Tmc/wupA/Phm/wg/Adf1/para",269
"4","GO:0042330","taxis","200/3620","332/8880",2.51751186773395e-13,1.80253849729751e-10,1.54826979865638e-10,"brm/bsk/chic/eya/Dab/Lar/E(Pc)/Fas2/Fas3/FER/Glt/grn/if/dlg1/Sos/Lim3/sas/LanA/robo2/sens/peb/pk/sm/svp/tup/w/Pp1-87B/ct/Ptp99A/Ptp10D/Ten-m/mew/pros/zfh1/hh/fru/otk/tok/eIF2beta/ple/robo1/nvy/dac/Con/comm/Rac1/Cdc42/Nmdar1/Sdc/trn/Wnt4/tutl/kermit/Sema1a/Dop1R1/Moe/Tig/nmo/beat-Ia/shot/Cdk5/Gycalpha99B/Rac2/Rho1/cher/gcm/mirr/tim/drl/tap/CadN/Lis-1/NetA/NetB/Rab6/Vang/side/wun/fz2/14-3-3epsilon/ko/dom/Nrk/Dad/Pka-R2/caps/Pdf/CG3857/trio/stan/DAAM/Bap55/Timp/Cdk5alpha/jbug/bdl/Rich/beat-Ic/beat-Ib/nerfin-1/SoxN/raptor/pod1/Clic/hiw/CG6867/wgn/Nup205/daw/Oli/CarT/Dscam1/Mmp2/Drl-2/ckn/Hr51/unc-5/Toll-7/Lrt/spz5/RhoGEF64C/CCDC151/M6/laza/ATP6AP2/beat-Va/beat-Vb/Sra-1/beat-IIb/beat-IIa/RhoGAP93B/AP-1sigma/XNP/CG6330/beat-VI/DIP-gamma/RhoGAP100F/Vav/Ephrin/Alk/robo3/comm2/dlp/SCAR/CG30456/Unc-115a/Trim9/CG32100/gogo/shep/beat-IIIb/dpr11/Mical/pain/CG34353/lap/vvl/l(3)L1231/iav/psidin/kra/beta-Spec/meigo/mmy/kuz/Mp/Pdfr/Dscam3/conv/haf/NT1/wb/pdm3/Bsg/mid/Ptpmeg/CadN2/Src64B/Acsl/hts/Hmgcr/dally/dysc/sli/Sema2b/ab/Nrg/CG44153/beat-IIIa/rdgC/lov/Sec15/Ten-a/SelR/ap/br/InR/Sac1/Sema5c/trol",200
"5","GO:0006935","chemotaxis","169/3620","279/8880",1.0010042899131e-11,5.73375257262225e-09,4.92494110637246e-09,"brm/bsk/chic/eya/Dab/Lar/E(Pc)/Fas2/Fas3/FER/Glt/grn/if/Sos/Lim3/sas/LanA/robo2/sens/peb/pk/sm/tup/Pp1-87B/ct/Ptp99A/Ptp10D/Ten-m/mew/pros/zfh1/hh/fru/otk/tok/eIF2beta/robo1/nvy/dac/Con/comm/Rac1/Cdc42/Sdc/trn/Wnt4/tutl/kermit/Sema1a/Moe/Tig/beat-Ia/shot/Cdk5/Rac2/Rho1/cher/gcm/mirr/drl/tap/CadN/Lis-1/NetA/NetB/Rab6/Vang/side/wun/fz2/14-3-3epsilon/ko/dom/Nrk/Dad/Pka-R2/caps/trio/stan/DAAM/Bap55/Cdk5alpha/jbug/bdl/Rich/beat-Ic/beat-Ib/nerfin-1/SoxN/raptor/pod1/hiw/CG6867/wgn/daw/Oli/Dscam1/Mmp2/Drl-2/ckn/Hr51/unc-5/Toll-7/Lrt/spz5/RhoGEF64C/beat-Va/beat-Vb/Sra-1/beat-IIb/beat-IIa/RhoGAP93B/AP-1sigma/XNP/beat-VI/DIP-gamma/RhoGAP100F/Vav/Ephrin/Alk/robo3/comm2/dlp/SCAR/CG30456/Unc-115a/Trim9/gogo/beat-IIIb/dpr11/Mical/vvl/psidin/kra/beta-Spec/meigo/mmy/kuz/Mp/Dscam3/conv/haf/NT1/wb/pdm3/Bsg/mid/Ptpmeg/CadN2/Src64B/Acsl/hts/Hmgcr/dally/dysc/sli/Sema2b/ab/Nrg/CG44153/beat-IIIa/Sec15/Ten-a/SelR/ap/InR/Sac1/Sema5c/trol",169
"6","GO:0097485","neuron projection guidance","164/3620","270/8880",1.48965550483833e-11,7.1106222764283e-09,6.10758756983716e-09,"brm/bsk/chic/eya/Dab/Lar/E(Pc)/Fas2/Fas3/FER/Glt/grn/if/Sos/Lim3/sas/LanA/robo2/sens/peb/pk/sm/tup/Pp1-87B/ct/Ptp99A/Ptp10D/Ten-m/mew/pros/zfh1/fru/otk/tok/eIF2beta/robo1/nvy/dac/comm/Rac1/Cdc42/Sdc/trn/Wnt4/tutl/kermit/Sema1a/Moe/Tig/beat-Ia/shot/Cdk5/Rac2/Rho1/cher/gcm/mirr/drl/tap/CadN/Lis-1/NetA/NetB/Rab6/Vang/side/fz2/14-3-3epsilon/ko/dom/Nrk/Dad/Pka-R2/caps/trio/stan/DAAM/Bap55/Cdk5alpha/jbug/bdl/Rich/beat-Ic/beat-Ib/nerfin-1/SoxN/raptor/pod1/hiw/CG6867/wgn/daw/Oli/Dscam1/Mmp2/Drl-2/ckn/Hr51/unc-5/Toll-7/spz5/RhoGEF64C/beat-Va/beat-Vb/Sra-1/beat-IIb/beat-IIa/RhoGAP93B/AP-1sigma/XNP/beat-VI/DIP-gamma/RhoGAP100F/Vav/Ephrin/Alk/robo3/comm2/dlp/SCAR/CG30456/Unc-115a/Trim9/gogo/beat-IIIb/dpr11/Mical/vvl/psidin/kra/beta-Spec/meigo/mmy/kuz/Mp/Dscam3/conv/haf/NT1/wb/pdm3/Bsg/mid/Ptpmeg/CadN2/Src64B/Acsl/hts/dally/dysc/sli/Sema2b/ab/Nrg/CG44153/beat-IIIa/Sec15/Ten-a/SelR/ap/InR/Sac1/Sema5c/trol",164
"7","GO:0007155","cell adhesion","135/3620","214/8880",2.27284332907624e-11,9.29917613496335e-09,7.9874208421822e-09,"arm/baz/by/Lar/EcR/CG17716/Fas2/Fas3/ft/fw/if/dlg1/Arpc1/Gli/sas/LanA/robo2/m/peb/rk/rst/Vinc/Ten-m/mew/aos/Rap1/hh/otk/robo1/Con/Rac1/Itgbn/cora/trn/tutl/sinu/Tig/Hem/Ret/beat-Ia/Nrx-IV/RhoL/CadN/nrv2/klg/mspo/crol/sdk/Cad96Ca/caps/sns/Flo1/stan/wrapper/Timp/Ndg/SPARC/fat-spondin/kirre/bdl/prc/beat-Ic/beat-Ib/hbs/alpha-Catr/Grip/CG9095/bves/Tsp/Nlg2/Hakai/CG17739/CG15080/CG13506/CG10339/Mmp1/p130CAS/Fit2/zye/CG7166/Cad87A/NijC/beat-Va/beat-Vb/Lkb1/Cad88C/Sra-1/Cad89D/beat-IIb/beat-IIa/beat-IV/Cad96Cb/beat-VI/Cad99C/Cals/SCAR/mesh/Nlg1/fred/Ccn/parvin/beat-IIIb/dyl/Nlg3/Nlg4/Mer/beat-VII/mfas/p120ctn/Dscam3/Cad86C/plx/LanB1/Bsg/CadN2/Sec24CD/nrm/Src64B/CG43333/tx/scrib/sli/Sema2b/Nrg/CG44153/beat-IIIa/Zasp52/CG45263/Ten-a/LanB2/otk2/Girdin/ds/tyn/disco-r",135
"8","GO:0050808","synapse organization","178/3620","300/8880",3.36070046331605e-11,9.69621702039872e-09,8.32845456361063e-09,"Act57B/Appl/baz/Lar/Fas2/Galphas/Gs2/Jra/kay/dlg1/LanA/Atpalpha/rut/sax/slo/stau/Ten-m/Fur1/Gad1/Syn/pros/gig/Rab3/comm/Rac1/Cdc42/htl/Itgbn/Sdc/Sema1a/cpb/Nos/repo/Hem/nmo/Cdk5/Nrx-IV/Rab2/drl/Rab11/RtGEF/lbm/fz2/klg/mGluR/Pdk1/Dad/caps/wit/WASp/trio/stan/Syx4/SkpA/Srpk79D/TBPH/wrapper/Top3beta/Tip60/drpr/Rich/Vap33/Grip/raptor/pod1/dpr14/Upf2/hiw/Lrp4/dpr18/Frq1/shv/DIP-eta/Nlg2/dpr19/PICK1/Cul2/Tbce/Dyb/Syn2/dpr13/Liprin-gamma/CG13506/PIP5K59B/CG10339/Eps-15/dpr20/sff/Dysb/cmpy/CG7166/Syn1/beag/ATP6AP2/dpr5/dpr15/Octbeta2R/dpr9/Sra-1/Lrrk/Nrx-1/Octbeta1R/spas/BOD1/DIP-gamma/Cul5/ppk30/RhoGAP100F/mav/Cals/dbo/Aplip1/dpr1/Prosap/Atx2/dlp/cpx/Fsn/bchs/metro/Nlg1/dpr17/CG31475/DIP-theta/DIP-zeta/DIP-kappa/dpr10/dpr8/DIP-alpha/Synd/dpr11/Mical/dpr4/dpr3/Frq2/Nlg3/Nlg4/dpr12/DIP-delta/beta-Spec/futsch/DIP-beta/brp/Mob2/DIP-epsilon/Ca-beta/mtg/p120ctn/Atg1/dpr21/stj/CG42673/Thor/Ank2/dpr2/Rbp/Rab8/Arp3/Src64B/cac/nwk/dysc/Fife/CaMKII/Nrg/l(3)neo38/Neto/CrebB/rg/ringer/Nsf2/Ten-a/unc-104/Sac1/wg/Adf1/btl/Imp",178
"9","GO:0061061","muscle structure development","132/3620","209/8880",3.37690871279033e-11,9.69621702039872e-09,8.32845456361063e-09,"abd-A/Abd-B/Col4a1/eya/cv/Pkg21D/Dr/exd/Actn/hth/if/kn/crp/Mlc2/Mp20/nau/slou/pnt/Poxm/Prm/rst/rt/sd/sr/ttk/tup/Ubx/vg/Tm2/blow/up/Wnt2/mew/zfh1/fru/bap/bt/Rac1/htl/LamC/cora/Sply/Gug/l(2)efl/mas/Mef2/insc/Hem/Arf51F/Rac2/Rho1/cher/sty/Mlp84B/chn/drl/mbc/ara/caup/vkg/mspo/Dad/org-1/HLH54F/SmD3/sns/WASp/Crk/Scgdelta/DAAM/siz/CG8878/kirre/Grip/raptor/CG8578/Him/CG11617/Tsp/jp/Ced-12/kon/CAP/Git/pyr/ths/pcs/CG9849/ebd1/CG14964/slow/Zasp66/Kdm2/Whamy/Scgbeta/lmd/Vav/Alk/rols/SCAR/mask/sals/parvin/Mical/Unc-89/Lasp/akirin/tw/sls/CG42319/C3G/flr/Antp/salm/LanB1/Bsg/Msp300/Sec24CD/Arp3/tx/hts/ab/CG43897/Mhc/tn/mbl/Zasp52/SelR/ap/br/wupA/wg",132
"10","GO:0007411","axon guidance","159/3620","262/8880",3.38555063561408e-11,9.69621702039872e-09,8.32845456361063e-09,"bsk/chic/eya/Dab/Lar/Fas2/Fas3/FER/Glt/grn/if/Sos/Lim3/sas/LanA/robo2/sens/peb/pk/sm/tup/Pp1-87B/Ptp99A/Ptp10D/Ten-m/mew/pros/zfh1/fru/otk/tok/eIF2beta/robo1/nvy/dac/comm/Rac1/Cdc42/Sdc/trn/Wnt4/tutl/kermit/Sema1a/Moe/Tig/beat-Ia/shot/Cdk5/Rac2/Rho1/cher/gcm/mirr/drl/tap/CadN/Lis-1/NetA/NetB/Rab6/Vang/side/fz2/14-3-3epsilon/ko/Nrk/Dad/Pka-R2/caps/trio/stan/DAAM/Cdk5alpha/jbug/bdl/Rich/beat-Ic/beat-Ib/nerfin-1/SoxN/raptor/pod1/hiw/CG6867/wgn/daw/Oli/Dscam1/Mmp2/Drl-2/ckn/Hr51/unc-5/Toll-7/spz5/RhoGEF64C/beat-Va/beat-Vb/Sra-1/beat-IIb/beat-IIa/RhoGAP93B/AP-1sigma/XNP/beat-VI/DIP-gamma/RhoGAP100F/Vav/Ephrin/Alk/robo3/comm2/dlp/SCAR/CG30456/Unc-115a/Trim9/gogo/beat-IIIb/dpr11/Mical/vvl/psidin/kra/beta-Spec/meigo/mmy/kuz/Mp/Dscam3/conv/haf/NT1/wb/pdm3/Bsg/mid/Ptpmeg/CadN2/Src64B/Acsl/hts/dally/dysc/sli/Sema2b/ab/Nrg/CG44153/beat-IIIa/Sec15/Ten-a/SelR/ap/InR/Sac1/Sema5c/trol",159
