"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme03013","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","59/675","99/3488",3.31646009102074e-19,3.78076450376364e-17,3.31646009102074e-17,"mago/RanGAP/Nup214/Ref1/Mtor/Hel25E/Ran/emb/Nup154/Cse1/Cbp80/Cbp20/Bin1/Dbp80/Kap-alpha1/Tnpo/mbo/msk/Kap-alpha3/Nup93-1/Nxt1/Aladin/Nup35/Ranbp21/Elys/tho2/Tnpo-SR/Nup50/Gle1/Nup54/Nup62/Rae1/Pym/thoc5/thoc7/thoc6/Srrm1/Hpr1/RnpS1/Pnn/Ranbp9/Nup93-2/Nup133/Nup98-96/Nup37/Nup358/CG18787/Arts/Apl/Ranbp16/Nup153/Snup/cdm/Nup160/Nxf3/CG34334/smt3/ebo/Gp210",59
"dme03082","dme03082","ATP-dependent chromatin remodeling - Drosophila melanogaster (fruit fly)","37/675","81/3488",4.51059617170037e-08,2.57103981786921e-06,2.25529808585019e-06,"His2Av/pho/mor/Uch-L5/Iswi/Snr1/HDAC1/Bap60/BCL7-like/CG8677/MRG15/MBD-like/Bap111/CDK2AP1/Arp8/CG31917/CG7154/YL-1/d4/CG10395/MrgBP/CG18004/DMAP1/Eaf6/polybromo/rept/pont/CG12659/Bap170/Chrac-16/Chrac-14/CG33695/Ino80/e(y)3/Mi-2/Rcd5/Caf1-55",37
"dme03022","dme03022","Basal transcription factors - Drosophila melanogaster (fruit fly)","21/675","40/3488",2.48228862235374e-06,9.43269676494421e-05,8.2742954078458e-05,"e(y)1/hay/TfIIB/TfIIFalpha/Trf/Taf1/TfIIFbeta/TfIIA-L/Taf12/Taf11/Taf2/TfIIA-S/Taf8/Taf7/Taf10b/Tfb4/Ssl1/Trf2/Xpd/Cdk7/Tfb5",21
"dme03040","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","48/675","141/3488",1.87904016337309e-05,0.00053552644656133,0.000469760040843272,"crn/SmF/l(1)10Bb/mago/Bx42/Ref1/Hel25E/noi/Spx/U2af38/ytr/Cbp80/Cbp20/CG2685/l(1)G0007/Prp18/CG4119/x16/hfp/Tango4/CG1622/CG6227/Usp39/tho2/CG3542/Phf5a/CG12343/Cypl/CG2021/CG11586/CG6610/Sf3b6/CG6418/U4-U6-60K/CG14641/Hpr1/BCAS2/c12.1/LSm3/pea/Prp19/SmD2/SmE/SNRPG/SmD1/SmB/Cdc5/caz",48
"dme03250","dme03250","Viral life cycle - HIV-1 - Drosophila melanogaster (fruit fly)","17/675","33/3488",3.19684498530959e-05,0.000728880656650587,0.000639368997061918,"BicD/Fur2/Snr1/Cdk9/Ran/Gcn5/emb/ear/fal/Hrs/Tnpo-SR/Cpsf6/Nup358/Jasper/Nup153/ALiX/nej",17
"dme04330","dme04330","Notch signaling pathway - Drosophila melanogaster (fruit fly)","14/675","25/3488",4.84900936364472e-05,0.000921311779092496,0.00080816822727412,"dsh/gro/H/Su(H)/Bx42/HDAC1/Gcn5/Atx-1/aph-1/CG6843/Nct/pen-2/nej/Psn",14
"dme04120","dme04120","Ubiquitin mediated proteolysis - Drosophila melanogaster (fruit fly)","37/675","107/3488",0.000119389195948025,0.0019443383340107,0.00170555994211465,"ben/fzy/mr/sina/Su(var)2-10/shtd/Ubc2/Ubc4/Cul1/Cbl/CG2924/Cdc16/Ubc10/STUB1/Smurf/Uba2/Aos1/APC7/UbcE2H/CG4502/CG7220/Cul6/RhoBTB/Skp2/CG2218/ago/Roc2/Ube3a/Ubi-p5E/lmgA/Nedd4/pic/Prp19/Uba3/Traf6/EloC/Ubc7",37
"dme03420","dme03420","Nucleotide excision repair - Drosophila melanogaster (fruit fly)","21/675","51/3488",0.000248033490822931,0.00328345678151823,0.00288022524694582,"hay/RpII215/Xpc/RpII15/PCNA/RpII33/Rad23/Pol31/Ercc1/RfC38/Tfb4/Rpb11/Ssl1/Chrac-14/Rpb7/pic/Xpd/Rpb12/Cdk7/Rpb4/Tfb5",21
"dme03015","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","29/675","80/3488",0.000259220272225124,0.00328345678151823,0.00288022524694582,"mago/Pp1-13C/Pp1alpha-96A/tws/Ref1/Hel25E/Clp/Cbp80/Cbp20/Bin1/Cpsf160/Dbp80/CstF64/Nxt1/Wdr82/Gle1/cbc/Pym/Cpsf6/Srrm1/Fip1/RnpS1/Pnn/CstF50/Pp2A-29B/Nxf3/CG34334/caz/Rnmt",29
"dme03050","dme03050","Proteasome - Drosophila melanogaster (fruit fly)","20/675","53/3488",0.00130759486917223,0.0149065815085635,0.0130759486917223,"Prosbeta6/Prosalpha4/Prosbeta1/Prosalpha5/Prosbeta2/Prosalpha7/Prosbeta3/Rpt4/Rpn12/Prosbeta5/Prosbeta4/Pomp/Rpt3R/Rpt6R/CG30382/Prosalpha2/Prosbeta7/Prosalpha6/Prosalpha3/Prosalpha1",20
"dme00240","dme00240","Pyrimidine metabolism - Drosophila melanogaster (fruit fly)","15/675","38/3488",0.0031143518884803,0.0322760104806141,0.0283122898952755,"awd/Dhod/r-l/RnrL/dnk/Ts/NTPase/nmdyn-D6/CG11883/CG5757/CG3788/cN-IIIB/CG6951/dUTPase/CTPsyn",15
