"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_biotype","external_gene_name"
"FBgn0000003",277.72069203445,-0.000603510054830056,0.0246867573676006,0.642690027204738,0.999627642880068,"ncRNA","7SLRNA:CR32864"
"FBgn0000008",2202.63720917539,-0.00365927132383449,0.0246448140939777,0.424662555925341,0.999627642880068,"protein_coding","a"
"FBgn0000014",4638.175740528,-0.00305814135508876,0.0247585390371145,0.358854838925161,0.999627642880068,"protein_coding","abd-A"
"FBgn0000015",2851.40104427926,-0.00455250475688793,0.0250380228032176,0.261671941623011,0.999627642880068,"protein_coding","Abd-B"
"FBgn0000017",8384.11009326937,-0.00483587840721751,0.0250308581184342,0.252917539818425,0.999627642880068,"protein_coding","Abl"
"FBgn0000018",264.930393463149,-0.0010464587922596,0.0245356217699923,0.737356261414479,0.999627642880068,"protein_coding","abo"
"FBgn0000022",279.100063742667,0.000353394810819883,0.0246174641870121,0.915563165846448,0.999627642880068,"protein_coding","ac"
"FBgn0000024",405.300217967979,-0.00121019458015133,0.024664116097554,0.561811772856482,0.999627642880068,"protein_coding","Ace"
"FBgn0000028",192.872646850781,-0.000889769309690447,0.0246408065587548,0.680815946575702,0.999627642880068,"protein_coding","acj6"
"FBgn0000032",2340.05958465238,0.001014684423193,0.0246126979350279,0.68554761557288,0.999627642880068,"protein_coding","Acph-1"
"FBgn0000036",338.237629687516,-0.000589128600060321,0.0246359540287452,0.768617276863396,0.999627642880068,"protein_coding","nAChRalpha1"
"FBgn0000037",124.297545575265,-0.00156070048497814,0.0246992777463683,0.441096882465606,0.999627642880068,"protein_coding","mAChR-A"
"FBgn0000038",785.997514315507,-0.00404383260209326,0.0250473547410814,0.194607598961273,0.999627642880068,"protein_coding","nAChRbeta1"
"FBgn0000039",123.490932680534,-0.00104593958404413,0.0246840441121587,0.537513050461935,0.999627642880068,"protein_coding","nAChRalpha2"
"FBgn0000042",116373.965221308,0.00100410834763182,0.0243685475553587,0.812614267985968,0.999627642880068,"protein_coding","Act5C"
"FBgn0000043",23408.2238713627,-0.000808278269330638,0.0243131896727599,0.85377715183059,0.999627642880068,"protein_coding","Act42A"
"FBgn0000044",69634.8488013525,-0.00261001817012957,0.0248195692916014,0.227892670704698,0.999627642880068,"protein_coding","Act57B"
"FBgn0000045",25.9141966258263,-0.000700704280560435,0.024698780885428,0.548800116705104,0.999627642880068,"protein_coding","Act79B"
"FBgn0000046",5910.79712332717,-0.00544906449167691,0.0254683552272744,0.0407473518604519,0.853011961710734,"protein_coding","Act87E"
"FBgn0000052",1251.49301922614,-0.000822055082289646,0.0245144868908645,0.799600767111336,0.999627642880068,"protein_coding","Pfas"
"FBgn0000053",2007.06328476575,-0.00260358003582393,0.0245563959507869,0.525214096918728,0.999627642880068,"protein_coding","Gart"
"FBgn0000055",2930.26643268492,-0.00484000244154161,0.0252890731237874,0.0477215094565764,0.87570539639313,"protein_coding","Adh"
"FBgn0000056",137.637162748111,0.00345301920102776,0.0250186772934774,0.0417485317529797,0.856833568960399,"protein_coding","Adhr"
"FBgn0000057",1347.12858173531,0.00178152033677583,0.0244437657841836,0.592523635266317,0.999627642880068,"protein_coding","adp"
"FBgn0000061",568.221667375039,-0.000391694328934544,0.0246298834631475,0.844195300111922,0.999627642880068,"protein_coding","al"
"FBgn0000063",494.864427215128,0.000821663404569004,0.0246477176802851,0.843278366403035,0.999627642880068,"protein_coding","Mps1"
"FBgn0000064",19161.0122632584,0.0027928727907693,0.0245745304507323,0.259044909892652,0.999627642880068,"protein_coding","Ald1"
"FBgn0000071",17784.6043349295,0.000463138420868172,0.0243533721738003,0.912764476561028,0.999627642880068,"protein_coding","Ama"
"FBgn0000075",2365.5531932976,0.000717587722531139,0.024636093859801,0.736652548389473,0.999627642880068,"protein_coding","amd"
"FBgn0000077",493.74203535128,0.00122904265861846,0.0246162635651629,0.638014122909366,0.999627642880068,"protein_coding","amx"
"FBgn0000078",26.9216073701764,-4.44214511952163e-05,0.0246988892847236,0.946497930069174,0.999627642880068,"protein_coding","Amy-d"
"FBgn0000079",85.4380024455848,-0.00181578020131702,0.0247889035827101,0.0773309730462975,0.954938333725616,"protein_coding","Amy-p"
"FBgn0000083",9631.63596031118,0.00105228540493105,0.0245321746307607,0.744208721046668,0.999627642880068,"protein_coding","AnxB9"
"FBgn0000084",328.319284741995,0.00174899449344146,0.024748750919457,0.259564778985642,0.999627642880068,"protein_coding","AnxB10"
