"","O1OE_vs_Ctrl_baseMean","O1OE_vs_Ctrl_log2fc","O1OE_vs_Ctrl_padj"
"FBgn0000003",277.72069203445,-0.0448076065165012,0.723821577404932
"FBgn0000008",2202.63720917539,-0.11298130169517,0.428199361383257
"FBgn0000014",4638.175740528,-0.140997912664902,0.390853755484989
"FBgn0000015",2851.40104427926,-0.181862869139861,0.295420302945962
"FBgn0000017",8384.11009326937,0.135711137125613,0.372827146161889
"FBgn0000018",264.930393463149,0.127330423251959,0.447130505513779
"FBgn0000022",279.100063742667,0.0854190181305073,0.601735023610733
"FBgn0000024",405.300217967979,-0.259153530222172,0.207134717689045
"FBgn0000028",192.872646850781,-0.184924686197721,0.288402626457295
"FBgn0000032",2340.05958465238,0.494380019837975,0.0696736549138688
"FBgn0000036",338.237629687516,-0.132286827859384,0.42374736640228
"FBgn0000037",124.297545575265,-0.674372561757736,0.052026681848318
"FBgn0000038",785.997514315507,-0.530215335403649,0.0476938754271049
"FBgn0000039",123.490932680534,-0.147585925455489,0.356527120837766
"FBgn0000042",116373.965221308,0.104447673676563,0.464756630711904
"FBgn0000043",23408.2238713627,-0.0665807039343519,0.647680075667191
"FBgn0000044",69634.8488013525,-0.308820734805326,0.170418750323176
"FBgn0000045",25.9141966258263,-0.052175427302069,0.64347745208044
"FBgn0000046",5910.79712332717,-0.282647671290573,0.179657303678738
"FBgn0000052",1251.49301922614,0.11625641632419,0.48741578281403
"FBgn0000053",2007.06328476575,-0.0539034580424074,0.727135940233016
"FBgn0000055",2930.26643268492,-0.283849151708642,0.181796317379617
"FBgn0000056",137.637162748111,-0.167351050395041,0.308246933877156
"FBgn0000057",1347.12858173531,0.177680031891664,0.252918792088675
"FBgn0000061",568.221667375039,-0.109927275859116,0.494503334660521
"FBgn0000063",494.864427215128,0.388277145541859,0.134676861531597
"FBgn0000064",19161.0122632584,-0.107120335789865,0.473123328868353
"FBgn0000071",17784.6043349295,0.0244005107422314,0.911205912038436
"FBgn0000075",2365.5531932976,-0.153825482902365,0.402345698845812
"FBgn0000077",493.74203535128,0.195625768152019,0.289821117596567
"FBgn0000078",26.9216073701764,-0.0561519711690973,0.474979388997385
"FBgn0000079",85.4380024455848,-0.149310799004611,0.226643122594541
"FBgn0000083",9631.63596031118,-0.0754917956976616,0.642116052525631
"FBgn0000084",328.319284741995,0.686225039299602,0.0697825359184176
"FBgn0000092",15.2958948726844,0.0339648673875396,0.774225719111186
"FBgn0000097",11493.6702588107,-0.00521459816527562,0.977077677404478
"FBgn0000100",60386.6601456485,0.0185464106480312,0.911377557543534
"FBgn0000108",3750.98832503071,-0.532429224128535,0.070383388144645
"FBgn0000109",765.900705336857,0.109057673530808,0.495120881813108
"FBgn0000114",5070.37929524735,1.39022772277148,0.023501014598916
"FBgn0000115",2461.58820225427,0.049295026768209,0.738933939918843
"FBgn0000116",18234.5970937102,-0.250472753945655,0.158061419460108
"FBgn0000117",41106.3168118362,0.0483483662478588,0.740946374274785
"FBgn0000119",4437.47694412167,0.125002821055822,0.404296706609937
"FBgn0000120",19.3385354473419,-0.0135843948534483,0.858610884779337
"FBgn0000121",12.4695137264488,-0.0823836751846081,0.292145559396124
"FBgn0000137",959.943884886609,-0.0654130802640008,0.690744527860533
"FBgn0000139",1869.11391046792,0.21196618661588,0.272819104842858
"FBgn0000140",6918.90263284863,0.486479152424599,0.0981087600566042
"FBgn0000146",1386.42079416387,0.694110902433868,0.0412286738700872
"FBgn0000147",1340.73577984555,0.555773420416863,0.0459221937836384
"FBgn0000150",11742.1189691608,0.233330331374514,0.215776922449095
"FBgn0000152",327.351930283227,0.682718668361326,0.0471331246127978
"FBgn0000153",27.651992577417,-1.10778793040565,0.0473407534164383
"FBgn0000157",525.425923683588,-0.275158920350295,0.159727072737912
"FBgn0000158",891.623149890024,0.842988751760735,0.0488448592691286
"FBgn0000163",6508.9972648335,0.161020189029766,0.326801484128256
"FBgn0000166",2778.02277948783,0.613988166667802,0.0863451287886255
"FBgn0000173",6910.78628003112,0.160434299824475,0.369807412330809
"FBgn0000179",893.897875758389,-0.317300263938805,0.128471045545394
"FBgn0000180",4800.40242668418,0.0913098232180019,0.592152045120767
"FBgn0000181",33398.9485432789,0.0139815065103749,0.939843577920391
"FBgn0000182",2043.43936965368,0.113336684871113,0.122087994557132
"FBgn0000183",5787.00618233133,0.303680928165833,0.0996638735224045
"FBgn0000206",117.860717644241,-0.12559387513308,0.453548557557148
"FBgn0000212",14742.5731511589,0.14020592398634,0.406372763852192
"FBgn0000216",2015.93529717687,0.258475019705505,0.209662790982799
"FBgn0000221",593.516645602263,0.175104458292703,0.332387937926737
"FBgn0000227",721.960712870094,0.102959676466029,0.344815475702814
"FBgn0000228",7375.44291126477,0.321536050316447,0.155713029544646
"FBgn0000229",3307.42756835447,-0.289179809496488,0.082315612499502
"FBgn0000233",468.167401629454,0.0396743231353514,0.80298546007219
"FBgn0000239",6430.6529862075,0.417808448077566,0.0961567626951839
"FBgn0000241",883.104503896177,-0.254968162520494,0.201390316692409
"FBgn0000244",1040.32623239278,-0.259736654952064,0.167275649912187
"FBgn0000246",1188.28833864979,0.178566736496941,0.309930566723294
"FBgn0000247",1996.93685743956,-0.0444507633205046,0.782190655855404
"FBgn0000250",12781.4234042839,0.289352940334965,0.147797596409748
"FBgn0000251",3546.57304071108,0.81578047776851,0.0300283978290987
"FBgn0000253",26731.9907633305,0.142722889341944,0.262726592786529
"FBgn0000256",1328.72832407008,-0.0689721800651492,0.648817704138947
"FBgn0000257",1562.30384967105,0.140243819968413,0.34433988533726
"FBgn0000259",4256.06897735705,-0.00204445448222538,0.988629916061199
"FBgn0000261",3803.52769445231,-0.217377750935091,0.162913153345163
"FBgn0000273",8178.63399867357,0.183864904735835,0.211504026826184
"FBgn0000274",19.0374042114664,0.0626728284869881,0.469477832560263
"FBgn0000283",17132.1238356728,0.182715838194359,0.27758455255851
"FBgn0000286",1263.49863170752,0.138876121321824,0.354750893187267
"FBgn0000287",890.787358531161,-0.318557311505266,0.152441941158732
