"","W4OE_vs_Ctrl_baseMean","W4OE_vs_Ctrl_log2fc","W4OE_vs_Ctrl_padj"
"FBgn0000003",277.72069203445,-0.000603510054830056,0.999627642880068
"FBgn0000008",2202.63720917539,-0.00365927132383449,0.999627642880068
"FBgn0000014",4638.175740528,-0.00305814135508876,0.999627642880068
"FBgn0000015",2851.40104427926,-0.00455250475688793,0.999627642880068
"FBgn0000017",8384.11009326937,-0.00483587840721751,0.999627642880068
"FBgn0000018",264.930393463149,-0.0010464587922596,0.999627642880068
"FBgn0000022",279.100063742667,0.000353394810819883,0.999627642880068
"FBgn0000024",405.300217967979,-0.00121019458015133,0.999627642880068
"FBgn0000028",192.872646850781,-0.000889769309690447,0.999627642880068
"FBgn0000032",2340.05958465238,0.001014684423193,0.999627642880068
"FBgn0000036",338.237629687516,-0.000589128600060321,0.999627642880068
"FBgn0000037",124.297545575265,-0.00156070048497814,0.999627642880068
"FBgn0000038",785.997514315507,-0.00404383260209326,0.999627642880068
"FBgn0000039",123.490932680534,-0.00104593958404413,0.999627642880068
"FBgn0000042",116373.965221308,0.00100410834763182,0.999627642880068
"FBgn0000043",23408.2238713627,-0.000808278269330638,0.999627642880068
"FBgn0000044",69634.8488013525,-0.00261001817012957,0.999627642880068
"FBgn0000045",25.9141966258263,-0.000700704280560435,0.999627642880068
"FBgn0000046",5910.79712332717,-0.00544906449167691,0.853011961710734
"FBgn0000052",1251.49301922614,-0.000822055082289646,0.999627642880068
"FBgn0000053",2007.06328476575,-0.00260358003582393,0.999627642880068
"FBgn0000055",2930.26643268492,-0.00484000244154161,0.87570539639313
"FBgn0000056",137.637162748111,0.00345301920102776,0.856833568960399
"FBgn0000057",1347.12858173531,0.00178152033677583,0.999627642880068
"FBgn0000061",568.221667375039,-0.000391694328934544,0.999627642880068
"FBgn0000063",494.864427215128,0.000821663404569004,0.999627642880068
"FBgn0000064",19161.0122632584,0.0027928727907693,0.999627642880068
"FBgn0000071",17784.6043349295,0.000463138420868172,0.999627642880068
"FBgn0000075",2365.5531932976,0.000717587722531139,0.999627642880068
"FBgn0000077",493.74203535128,0.00122904265861846,0.999627642880068
"FBgn0000078",26.9216073701764,-4.44214511952163e-05,0.999627642880068
"FBgn0000079",85.4380024455848,-0.00181578020131702,0.954938333725616
"FBgn0000083",9631.63596031118,0.00105228540493105,0.999627642880068
"FBgn0000084",328.319284741995,0.00174899449344146,0.999627642880068
"FBgn0000092",15.2958948726844,0.000651468035650629,0.999627642880068
"FBgn0000097",11493.6702588107,-0.00198195994379903,0.999627642880068
"FBgn0000100",60386.6601456485,0.00309396036895209,0.999627642880068
"FBgn0000108",3750.98832503071,-0.0019741468966442,0.999627642880068
"FBgn0000109",765.900705336857,0.00337254166626731,0.999627642880068
"FBgn0000114",5070.37929524735,0.00174171180037598,0.999627642880068
"FBgn0000115",2461.58820225427,0.00197798270693759,0.999627642880068
"FBgn0000116",18234.5970937102,-0.00727454901032771,0.954938333725616
"FBgn0000117",41106.3168118362,-0.00265824938552935,0.999627642880068
"FBgn0000119",4437.47694412167,-0.000590691106457298,0.999627642880068
"FBgn0000120",19.3385354473419,-9.39141744160545e-05,0.999627642880068
"FBgn0000121",12.4695137264488,-0.00041203841980873,0.999627642880068
"FBgn0000137",959.943884886609,-0.00104176580978066,0.999627642880068
"FBgn0000139",1869.11391046792,-0.00119267462119702,0.999627642880068
"FBgn0000140",6918.90263284863,0.000685350814633297,0.999627642880068
"FBgn0000146",1386.42079416387,0.00268955149056993,0.999627642880068
"FBgn0000147",1340.73577984555,0.00396511282174297,0.999627642880068
"FBgn0000150",11742.1189691608,0.00205220028959517,0.999627642880068
"FBgn0000152",327.351930283227,0.00272047666337377,0.999627642880068
"FBgn0000153",27.651992577417,-0.00110747812046529,0.999627642880068
"FBgn0000157",525.425923683588,-0.00343506163184454,0.999627642880068
"FBgn0000158",891.623149890024,0.00125559722660723,0.999627642880068
"FBgn0000163",6508.9972648335,-0.00104018273963921,0.999627642880068
"FBgn0000166",2778.02277948783,-0.000437879904961925,0.999627642880068
"FBgn0000173",6910.78628003112,-0.00048512614909412,0.999627642880068
"FBgn0000179",893.897875758389,-0.00415476272697762,0.999627642880068
"FBgn0000180",4800.40242668418,0.00158831854351355,0.999627642880068
"FBgn0000181",33398.9485432789,0.00209564603123624,0.999627642880068
"FBgn0000182",2043.43936965368,0.000899038658549015,0.999627642880068
"FBgn0000183",5787.00618233133,-0.000618770035650148,0.999627642880068
"FBgn0000206",117.860717644241,-0.000291174970580775,0.999627642880068
"FBgn0000212",14742.5731511589,-0.00167633402608774,0.999627642880068
"FBgn0000216",2015.93529717687,0.00291275950460521,0.999627642880068
"FBgn0000221",593.516645602263,0.00172976292056665,0.999627642880068
"FBgn0000227",721.960712870094,0.00150824976274023,0.999627642880068
"FBgn0000228",7375.44291126477,0.000198290787068792,0.999627642880068
"FBgn0000229",3307.42756835447,-0.00515557195231826,0.999627642880068
"FBgn0000233",468.167401629454,6.84928403917808e-05,0.999627642880068
"FBgn0000239",6430.6529862075,2.87955440253503e-05,0.999627642880068
"FBgn0000241",883.104503896177,-0.000213242452926424,0.999627642880068
"FBgn0000244",1040.32623239278,-0.000826116591821302,0.999627642880068
"FBgn0000246",1188.28833864979,0.000315704008292994,0.999627642880068
"FBgn0000247",1996.93685743956,-0.00332220741583884,0.999627642880068
"FBgn0000250",12781.4234042839,-0.0010375617787783,0.999627642880068
"FBgn0000251",3546.57304071108,0.00255191455374642,0.999627642880068
"FBgn0000253",26731.9907633305,0.00205166214947315,0.999627642880068
"FBgn0000256",1328.72832407008,-0.0024095800739522,0.999627642880068
"FBgn0000257",1562.30384967105,0.000397035266695256,0.999627642880068
"FBgn0000259",4256.06897735705,0.00229285614536883,0.999627642880068
"FBgn0000261",3803.52769445231,-0.0113861364198888,0.666995206803979
"FBgn0000273",8178.63399867357,-0.00110142997037081,0.999627642880068
"FBgn0000274",19.0374042114664,0.000248454173667114,0.999627642880068
"FBgn0000283",17132.1238356728,-0.00240464700430358,0.999627642880068
"FBgn0000286",1263.49863170752,-0.000976356745025306,0.999627642880068
"FBgn0000287",890.787358531161,-0.00260938570043305,0.999627642880068
"FBgn0000289",10308.2122113052,-0.00290645454128047,0.999627642880068
