"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme03030","dme03030","DNA replication - Drosophila melanogaster (fruit fly)","11/273","34/3487",3.11043136282053e-05,0.00280340572591352,0.00235508780618241,"PCNA/DNApol-alpha50/Mcm5/Pol31/RfC38/RfC3/PCNA2/Chrac-14/CG30105/RfC4/DNApol-delta",11
"dme03410","dme03410","Base excision repair - Drosophila melanogaster (fruit fly)","10/273","30/3487",5.391164857526e-05,0.00280340572591352,0.00235508780618241,"tam/PCNA/Parp/Pol31/RfC38/RfC3/PCNA2/Chrac-14/RfC4/DNApol-delta",10
"dme00983","dme00983","Drug metabolism - other enzymes - Drosophila melanogaster (fruit fly)","19/273","94/3487",8.45230540960461e-05,0.00293013254199626,0.00246154859297257,"bur/GstD7/RnrL/CRMP/Ugt37C1/Ugt36E1/Ugt49B1/nmdyn-D7/GstT3/CG15117/pyd3/Ugt303A1/Ugt37D1/Ugt37C2/GstD10/GstE5/GstE2/su(r)/dUTPase",19
"dme03430","dme03430","Mismatch repair - Drosophila melanogaster (fruit fly)","7/273","19/3487",0.000370174718698005,0.00962454268614812,0.00808539517156168,"PCNA/Pol31/RfC38/RfC3/PCNA2/RfC4/DNApol-delta",7
"dme01240","dme01240","Biosynthesis of cofactors - Drosophila melanogaster (fruit fly)","21/273","138/3487",0.00206415419167884,0.0429344071869198,0.0360683785072302,"Dhod/Alp4/Ugt37C1/Ugt36E1/Ugt49B1/nmdyn-D7/Nadsyn/CG12237/Naprt/CG15117/Alp7/Alp8/Alp10/Alp9/UGP/Hpd/Ugt303A1/Ugt37D1/Ugt37C2/sgll/Alp1",21
"dme00770","dme00770","Pantothenate and CoA biosynthesis - Drosophila melanogaster (fruit fly)","5/273","14/3487",0.00314831668361322,0.0482229871409035,0.040511213893674,"b/CRMP/CG5618/pyd3/su(r)",5
"dme03013","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","16/273","99/3487",0.00377042877229038,0.0482229871409035,0.040511213893674,"RanGAP/msk/Nup93-1/Ranbp21/Tnpo-SR/Nup54/Rae1/thoc7/thoc6/Nup43/Nup58/Nup133/Ndc1/Arts/Fs(2)Ket/Kr-h2",16
"dme00730","dme00730","Thiamine metabolism - Drosophila melanogaster (fruit fly)","6/273","21/3487",0.00432324536664988,0.0482229871409035,0.040511213893674,"Alp4/Alp7/Alp8/Alp10/Alp9/Alp1",6
"dme00982","dme00982","Drug metabolism - cytochrome P450 - Drosophila melanogaster (fruit fly)","12/273","66/3487",0.00442582823972716,0.0482229871409035,0.040511213893674,"GstD7/Fdh/Ugt37C1/Ugt36E1/Ugt49B1/GstT3/Ugt303A1/Ugt37D1/Ugt37C2/GstD10/GstE5/GstE2",12
"dme00053","dme00053","Ascorbate and aldarate metabolism - Drosophila melanogaster (fruit fly)","8/273","35/3487",0.00463682568662534,0.0482229871409035,0.040511213893674,"Ugt37C1/Ugt36E1/Ugt49B1/CG15117/CG6910/Ugt303A1/Ugt37D1/Ugt37C2",8
"dme03420","dme03420","Nucleotide excision repair - Drosophila melanogaster (fruit fly)","10/273","51/3487",0.00525082925514909,0.0492764965119669,0.0413962470697697,"PCNA/Rad23/Pol31/RfC38/RfC3/PCNA2/Chrac-14/RfC4/Xpd/DNApol-delta",10
"dme00980","dme00980","Metabolism of xenobiotics by cytochrome P450 - Drosophila melanogaster (fruit fly)","12/273","68/3487",0.00568574959753464,0.0492764965119669,0.0413962470697697,"GstD7/Fdh/Ugt37C1/Ugt36E1/Ugt49B1/GstT3/Ugt303A1/Ugt37D1/Ugt37C2/GstD10/GstE5/GstE2",12
"dme00240","dme00240","Pyrimidine metabolism - Drosophila melanogaster (fruit fly)","8/273","38/3487",0.0078465462696602,0.0627723701572816,0.0527338737151252,"Dhod/RnrL/dnk/CRMP/nmdyn-D7/pyd3/su(r)/dUTPase",8
"dme00410","dme00410","beta-Alanine metabolism - Drosophila melanogaster (fruit fly)","6/273","25/3487",0.0108188114410436,0.0803683135620379,0.0675158909478659,"b/CRMP/CG17896/CG5618/pyd3/su(r)",6
"dme00830","dme00830","Retinol metabolism - Drosophila melanogaster (fruit fly)","7/273","33/3487",0.0121390766469912,0.0841642647524722,0.0707047973122995,"Fdh/Ugt37C1/Ugt36E1/Ugt49B1/Ugt303A1/Ugt37D1/Ugt37C2",7
"dme00040","dme00040","Pentose and glucuronate interconversions - Drosophila melanogaster (fruit fly)","9/273","50/3487",0.0139619213331366,0.0907524886653876,0.0762394388585746,"Ugt37C1/Ugt36E1/Ugt49B1/Had2/CG15117/UGP/Ugt303A1/Ugt37D1/Ugt37C2",9
