"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","GO:0040003","chitin-based cuticle development","37/809","147/8880",6.58532669021885e-09,1.48367410330631e-05,1.45362421783041e-05,"Gld/Ccp84Ag/fz2/Gasp/Idgf4/Vajk3/Vajk1/obst-A/TwdlE/Vajk2/Twdlbeta/Cpr49Ae/Cpr49Ag/Cpr50Cb/Cpr51A/Cpr62Bb/Cht7/Cpr64Ab/Cpr64Ad/Cpr67B/Cpr67Fa1/Cpr78Cc/TwdlW/TwdlO/TwdlD/TwdlQ/Vajk4/TwdlH/fred/Cpr66D/TwdlY/TwdlX/dpy/Tb/pot/drd/verm",37
"2","GO:0042335","cuticle development","40/809","185/8880",1.54942732460174e-07,0.000154806780427873,0.000151671370830588,"Gld/Ccp84Ag/Cyp4g1/fz2/Gasp/Idgf4/Vajk3/Vajk1/obst-A/snsl/TwdlE/Vajk2/Twdlbeta/Cpr49Ae/Cpr49Ag/Cpr50Cb/Cpr51A/Cpr62Bb/Cht7/Cpr64Ab/Cpr64Ad/Cpr67B/Cpr67Fa1/Cpr78Cc/TwdlW/TwdlO/TwdlD/TwdlQ/snu/Vajk4/TwdlH/fred/Cpr66D/TwdlY/TwdlX/dpy/Tb/pot/drd/verm",40
"3","GO:0003008","system process","77/809","472/8880",2.06134194977195e-07,0.000154806780427873,0.000151671370830588,"nAChRalpha1/nAChRbeta1/Col4a1/eag/Hn/Mlc2/na/Pkc98E/Rh4/Sh/ss/w/Tm2/5-HT1A/up/ct/Rdl/me31B/Shal/Galphaf/Mdr50/Dop1R1/Drip/H15/nompC/mGluR/ppk/b6/GluClalpha/Scgdelta/CG4928/nAChRalpha5/Nha1/Obp44a/KCNQ/CAP/dpr13/Eglp2/DopEcR/Or71a/CG14636/Nrx-1/Root/robo3/Obp83g/ClC-a/wry/dpr8/dpr11/Nmdar2/Dop2R/Unc-89/dpr12/Nox/sif/futsch/brp/drd/Mp/2mit/stj/rdgA/Npc1b/Shab/cac/Fic/dysc/CG43778/Ca-alpha1T/Mhc/tn/rad/rdgC/Fhos/SclB/Tmc/para",77
"4","GO:0003012","muscle system process","13/809","33/8880",2.76004150178331e-06,0.00155459337587945,0.00152310711295779,"Mlc2/Tm2/up/CG4928/KCNQ/robo3/Unc-89/Nox/Mp/Mhc/tn/Fhos/SclB",13
"5","GO:0099536","synaptic signaling","51/809","296/8880",5.29218611455733e-06,0.00220513447072277,0.00216047234569377,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/Cat/na/Sh/slo/5-HT1A/Rdl/Cbp53E/Shal/Rab3/Dop1R1/nSyb/stnB/mGluR/b6/GluClalpha/unc-13/GABA-B-R2/nAChRalpha5/Rab3-GEF/stas/Nlg2/CG6583/atilla/Dyb/spz5/unc-13-4A/twf/Nrx-1/Tusp/CDase/dj-1beta/kek6/CG31676/scramb1/Rim/Nlg3/brp/Dys/stj/Shab/cac/Ih/nwk/cpo/dysc/Fife/Esyt2",51
"6","GO:0007268","chemical synaptic transmission","50/809","291/8880",7.09419415835141e-06,0.00220513447072277,0.00216047234569377,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/Cat/na/Sh/slo/5-HT1A/Rdl/Cbp53E/Shal/Rab3/Dop1R1/nSyb/stnB/mGluR/b6/GluClalpha/unc-13/GABA-B-R2/nAChRalpha5/Rab3-GEF/stas/Nlg2/CG6583/atilla/Dyb/spz5/unc-13-4A/twf/Nrx-1/CDase/dj-1beta/kek6/CG31676/scramb1/Rim/Nlg3/brp/Dys/stj/Shab/cac/Ih/nwk/cpo/dysc/Fife/Esyt2",50
"7","GO:0098916","anterograde trans-synaptic signaling","50/809","291/8880",7.09419415835141e-06,0.00220513447072277,0.00216047234569377,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/Cat/na/Sh/slo/5-HT1A/Rdl/Cbp53E/Shal/Rab3/Dop1R1/nSyb/stnB/mGluR/b6/GluClalpha/unc-13/GABA-B-R2/nAChRalpha5/Rab3-GEF/stas/Nlg2/CG6583/atilla/Dyb/spz5/unc-13-4A/twf/Nrx-1/CDase/dj-1beta/kek6/CG31676/scramb1/Rim/Nlg3/brp/Dys/stj/Shab/cac/Ih/nwk/cpo/dysc/Fife/Esyt2",50
"8","GO:0099537","trans-synaptic signaling","50/809","292/8880",7.83003806736891e-06,0.00220513447072277,0.00216047234569377,"Ace/nAChRalpha1/mAChR-A/nAChRbeta1/Cat/na/Sh/slo/5-HT1A/Rdl/Cbp53E/Shal/Rab3/Dop1R1/nSyb/stnB/mGluR/b6/GluClalpha/unc-13/GABA-B-R2/nAChRalpha5/Rab3-GEF/stas/Nlg2/CG6583/atilla/Dyb/spz5/unc-13-4A/twf/Nrx-1/CDase/dj-1beta/kek6/CG31676/scramb1/Rim/Nlg3/brp/Dys/stj/Shab/cac/Ih/nwk/cpo/dysc/Fife/Esyt2",50
"9","GO:0050804","modulation of chemical synaptic transmission","29/809","140/8880",1.88767936366907e-05,0.00425294160634641,0.00416680381643583,"Cat/na/Sh/slo/Rdl/Cbp53E/Rab3/mGluR/b6/GABA-B-R2/stas/Nlg2/CG6583/atilla/Dyb/spz5/Nrx-1/dj-1beta/kek6/CG31676/Rim/Nlg3/brp/Dys/Shab/cac/Ih/dysc/Fife",29
"10","GO:0099177","regulation of trans-synaptic signaling","29/809","140/8880",1.88767936366907e-05,0.00425294160634641,0.00416680381643583,"Cat/na/Sh/slo/Rdl/Cbp53E/Rab3/mGluR/b6/GABA-B-R2/stas/Nlg2/CG6583/atilla/Dyb/spz5/Nrx-1/dj-1beta/kek6/CG31676/Rim/Nlg3/brp/Dys/Shab/cac/Ih/dysc/Fife",29
