"ensembl_gene_id","pvalue","padj","gene_biotype","gene_name","cluster"
"FBgn0000017",6.5489589055468e-23,1.90527177902217e-21,"protein_coding","Abl","1"
"FBgn0000032",3.25536892088883e-21,7.84452506487186e-20,"protein_coding","Acph-1","1"
"FBgn0000042",1.89547166092164e-09,1.05257341702234e-08,"protein_coding","Act5C","1"
"FBgn0000057",4.43762333449529e-17,6.63680476447237e-16,"protein_coding","adp","1"
"FBgn0000079",6.86772734707979e-07,2.57038691752329e-06,"protein_coding","Amy-p","1"
"FBgn0000084",0.0247029814701155,0.0390384085357052,"protein_coding","AnxB10","1"
"FBgn0000109",0.0248967396262124,0.0393000741383209,"protein_coding","Aprt","1"
"FBgn0000114",0.0491542893770817,0.0721597903394868,"protein_coding","bru1","1"
"FBgn0000115",0.004265667503704,0.00799329061787462,"protein_coding","Arl1","1"
"FBgn0000117",7.42651368605668e-44,7.816755961824e-42,"protein_coding","arm","1"
"FBgn0000139",1.82243904661919e-14,1.94573707589764e-13,"protein_coding","ash2","1"
"FBgn0000140",0.016654788477334,0.0273703748772449,"protein_coding","asp","1"
"FBgn0000146",0.000611752447374593,0.00136533747856738,"protein_coding","aub","1"
"FBgn0000147",6.85086559693792e-05,0.000182553397337082,"protein_coding","aurA","1"
"FBgn0000150",0.000132186261255712,0.000335487287722925,"protein_coding","awd","1"
"FBgn0000152",0.00713852125023261,0.0127942942311398,"protein_coding","Axs","1"
"FBgn0000158",2.0237818535033e-08,9.77460352360882e-08,"protein_coding","bam","1"
"FBgn0000163",0.00129566637034688,0.00269948640410086,"protein_coding","baz","1"
"FBgn0000166",1.10947779982844e-08,5.53102940691953e-08,"protein_coding","bcd","1"
"FBgn0000173",4.99666142807832e-22,1.28155750696712e-20,"protein_coding","ben","1"
"FBgn0000183",1.00636842527793e-13,9.85781608500954e-13,"protein_coding","BicD","1"
"FBgn0000212",0.000134396867807181,0.000340246393039418,"protein_coding","brm","1"
"FBgn0000216",0.0248090360831244,0.0391727166118623,"protein_coding","Brd","1"
"FBgn0000221",1.51336352973322e-17,2.40521323379396e-16,"protein_coding","brn","1"
"FBgn0000228",1.28480596640481e-06,4.60326916094361e-06,"protein_coding","Nin","1"
"FBgn0000239",2.96652746075261e-14,3.09322868033803e-13,"protein_coding","bur","1"
"FBgn0000250",7.51464478218335e-14,7.45915407783093e-13,"protein_coding","cact","1"
"FBgn0000251",3.29571083662668e-12,2.67225623577354e-11,"protein_coding","cad","1"
"FBgn0000253",1.64158335829044e-56,2.69340375418329e-54,"protein_coding","Cam","1"
"FBgn0000257",0.00198096906627164,0.00397297714765282,"protein_coding","car","1"
"FBgn0000273",2.38525832276777e-20,5.16744215672234e-19,"protein_coding","Pka-C1","1"
"FBgn0000283",8.78523841765867e-07,3.22636290407563e-06,"protein_coding","Cp190","1"
"FBgn0000307",5.05117988548874e-10,3.03806005295945e-09,"protein_coding","chif","1"
"FBgn0000308",0.0204849393308506,0.032979865528759,"protein_coding","chic","1"
"FBgn0000316",1.66960523499811e-15,2.06287769732823e-14,"protein_coding","cin","1"
"FBgn0000317",0.0106635268217231,0.0183176241339437,"protein_coding","ck","1"
"FBgn0000318",6.34847249520713e-08,2.82980054450763e-07,"protein_coding","cl","1"
"FBgn0000326",2.32744245578127e-28,1.18572034151377e-26,"protein_coding","clt","1"
"FBgn0000330",1.0783133194672e-10,7.16299353974571e-10,"protein_coding","cm","1"
"FBgn0000339",0.00129381918512997,0.00269614132396247,"protein_coding","cni","1"
"FBgn0000352",6.34511863469595e-10,3.76956808345595e-09,"protein_coding","cos","1"
"FBgn0000370",7.51142370060503e-08,3.31114003270052e-07,"protein_coding","crc","1"
"FBgn0000376",8.87827329026532e-18,1.46314468389203e-16,"protein_coding","crm","1"
"FBgn0000377",2.76703059305279e-22,7.36796189181145e-21,"protein_coding","crn","1"
"FBgn0000382",8.91123932403596e-19,1.63524172924785e-17,"protein_coding","csw","1"
"FBgn0000384",0.000123317513132225,0.000314408933733143,"protein_coding","cta","1"
"FBgn0000392",0.00169289659470306,0.00344413699983626,"protein_coding","cup","1"
"FBgn0000404",0.000124838585916688,0.000317996370564495,"protein_coding","CycA","1"
"FBgn0000405",7.03562376383771e-08,3.11370306755801e-07,"protein_coding","CycB","1"
"FBgn0000406",0.0327703727675313,0.0503746278544154,"protein_coding","Cyt-b5-r","1"
"FBgn0000412",2.32739439118636e-11,1.69274701580614e-10,"protein_coding","D1","1"
"FBgn0000414",1.62173324576888e-06,5.70778480222188e-06,"protein_coding","Dab","1"
"FBgn0000416",4.86363062186844e-09,2.55357773403229e-08,"protein_coding","Sap-r","1"
"FBgn0000426",9.52161214287976e-23,2.70570929816021e-21,"protein_coding","SmF","1"
"FBgn0000447",4.76372634216786e-40,4.3924706445923e-38,"protein_coding","Dhod","1"
"FBgn0000455",4.31510963302848e-10,2.62793003142461e-09,"protein_coding","Dip-C","1"
"FBgn0000464",1.37706887996378e-07,5.82188612874418e-07,"protein_coding","Lar","1"
"FBgn0000477",5.21253692589725e-19,9.85699567495518e-18,"protein_coding","DNaseII","1"
"FBgn0000479",4.1960131445352e-06,1.38464710599169e-05,"protein_coding","dnc","1"
"FBgn0000482",0.056868299198191,0.081889470076693,"protein_coding","dor","1"
"FBgn0000489",0.0402205130339052,0.0604034219122628,"protein_coding","Pka-C3","1"
"FBgn0000499",1.77587946738664e-15,2.17730628765195e-14,"protein_coding","dsh","1"
"FBgn0000520",1.0867471121745e-22,3.06957912165338e-21,"protein_coding","dwg","1"
"FBgn0000533",2.26543379338576e-20,4.93661031890721e-19,"protein_coding","ea","1"
"FBgn0000541",0.00389908268327168,0.00735826547653283,"protein_coding","E(bx)","1"
"FBgn0000543",1.35915526751008e-22,3.79102382990248e-21,"protein_coding","ecd","1"
"FBgn0000546",4.60390317727305e-06,1.51209148509966e-05,"protein_coding","EcR","1"
"FBgn0000559",8.2600099994507e-06,2.58940521393289e-05,"protein_coding","eEF2","1"
"FBgn0000565",3.47555367751328e-26,1.43617601407465e-24,"protein_coding","MsrA","1"
"FBgn0000566",5.2238424506089e-20,1.09553402671886e-18,"protein_coding","Cth","1"
"FBgn0000581",0.0025893710840215,0.00507013218399927,"protein_coding","E(Pc)","1"
"FBgn0000611",0.0496543990866957,0.0728077448561262,"protein_coding","exd","1"
"FBgn0000617",1.1192241512608e-08,5.57463564982889e-08,"protein_coding","Taf9","1"
"FBgn0000618",0.00580532285168003,0.0105798737432529,"protein_coding","e(y)2","1"
"FBgn0000662",8.70656283363016e-06,2.71641838743881e-05,"protein_coding","fl(2)d","1"
"FBgn0000711",3.35148896215027e-13,3.06245391897711e-12,"protein_coding","flw","1"
"FBgn0000721",7.69883684456799e-27,3.4085683601129e-25,"protein_coding","for","1"
"FBgn0000808",2.6940212680976e-16,3.66551162050792e-15,"protein_coding","gd","1"
"FBgn0000810",4.55556547766656e-14,4.6501778622439e-13,"protein_coding","fs(1)K10","1"
"FBgn0000996",8.45675099957084e-11,5.69070994585114e-10,"protein_coding","dup","1"
"FBgn0001078",1.83574155951071e-25,7.01416732173321e-24,"protein_coding","ftz-f1","1"
"FBgn0001079",1.41457961404799e-09,8.02362214231493e-09,"protein_coding","fu","1"
"FBgn0001086",1.14233918432802e-07,4.89630360336063e-07,"protein_coding","fzy","1"
"FBgn0001087",3.4970378641357e-08,1.62500839026081e-07,"protein_coding","g","1"
"FBgn0001098",1.34916816956493e-14,1.45296035403822e-13,"protein_coding","Gdh","1"
"FBgn0001099",2.25907866678074e-17,3.51527764090275e-16,"protein_coding","gdl","1"
"FBgn0001104",5.55451868897556e-10,3.33002498725956e-09,"protein_coding","Galphai","1"
"FBgn0001105",0.0281902456766395,0.0439640160769174,"protein_coding","Gbeta13F","1"
"FBgn0001124",5.78556702360796e-22,1.48049475418335e-20,"protein_coding","Got1","1"
"FBgn0001128",3.45413777141239e-09,1.85188924150159e-08,"protein_coding","Gpdh1","1"
"FBgn0001133",9.18908178315112e-11,6.15751263991694e-10,"protein_coding","grau","1"
"FBgn0001137",1.09164938226619e-10,7.24540877926463e-10,"protein_coding","grk","1"
"FBgn0001139",1.71238286794602e-22,4.63714943147421e-21,"protein_coding","gro","1"
"FBgn0001149",0.000841533454885133,0.00182168970821758,"protein_coding","GstD1","1"
"FBgn0001169",4.84101851665240e-10,2.92110565658685e-09,"protein_coding","H","1"
"FBgn0001179",1.57474490789874e-08,7.71943274930856e-08,"protein_coding","hay","1"
"FBgn0001180",0.0274495218493094,0.0429107909867935,"protein_coding","hb","1"
"FBgn0001197",9.8502977653195e-10,5.712046370461e-09,"protein_coding","His2Av","1"
"FBgn0001202",2.10219261519512e-08,1.01139124656024e-07,"protein_coding","hook","1"
"FBgn0001206",3.45945818080504e-22,9.12462764142834e-21,"protein_coding","Hmr","1"
"FBgn0001215",3.25470104378595e-06,1.09178290876488e-05,"protein_coding","Hrb98DE","1"
"FBgn0001255",0.018061820138938,0.0293840372251576,"protein_coding","ImpE3","1"
"FBgn0001276",6.20017022822675e-12,4.82393997463918e-11,"protein_coding","ix","1"
"FBgn0001280",4.65708787806199e-17,6.92788392740502e-16,"protein_coding","janA","1"
"FBgn0001301",2.17265030783878e-05,6.30928148999408e-05,"protein_coding","kel","1"
"FBgn0001330",9.70508512129738e-05,0.000252458929117078,"protein_coding","kz","1"
"FBgn0001341",2.2904231599841e-13,2.14022204321128e-12,"protein_coding","Mybbp1A","1"
"FBgn0001404",2.90856636611172e-14,3.03847143695772e-13,"protein_coding","egh","1"
"FBgn0001491",3.31574511655973e-13,3.03476359847883e-12,"protein_coding","l(1)10Bb","1"
"FBgn0001565",1.92486322355971e-20,4.25261366044667e-19,"protein_coding","Hlc","1"
"FBgn0001612",0.0416366826117123,0.0622624940220982,"protein_coding","Grip91","1"
"FBgn0001624",2.76757208235833e-05,7.8904387530865e-05,"protein_coding","dlg1","1"
"FBgn0001941",2.12036303280584e-15,2.56337299881758e-14,"protein_coding","ifc","1"
"FBgn0001942",5.18720264346087e-07,1.982652274515e-06,"protein_coding","eIF4A","1"
"FBgn0001978",4.89923181541458e-15,5.63512673861654e-14,"protein_coding","stc","1"
"FBgn0001986",0.0075236346267309,0.0133920216225968,"protein_coding","Mtr4","1"
"FBgn0001990",1.87002514194523e-19,3.69926782068847e-18,"protein_coding","wek","1"
"FBgn0001994",0.0131189668311226,0.0220733393055097,"protein_coding","crp","1"
"FBgn0001995",2.83481570158801e-06,9.60462762909729e-06,"protein_coding","mRpL4","1"
"FBgn0002022",3.58222236260618e-09,1.91779534067165e-08,"protein_coding","Catsup","1"
"FBgn0002121",2.99778736732575e-11,2.13851110340495e-10,"protein_coding","l(2)gl","1"
"FBgn0002284",5.55903655111933e-17,8.21485705971369e-16,"protein_coding","Prosbeta6","1"
"FBgn0002413",3.09893695770318e-10,1.92189214213977e-09,"protein_coding","dco","1"
"FBgn0002431",8.46421355583539e-05,0.000222409869624247,"protein_coding","hyd","1"
"FBgn0002441",3.35691413941697e-07,1.33237606024458e-06,"protein_coding","l(3)mbt","1"
"FBgn0002466",6.70640118589542e-06,2.13536866526927e-05,"protein_coding","sti","1"
"FBgn0002521",1.63339597445037e-05,4.8367847403407e-05,"protein_coding","pho","1"
"FBgn0002524",1.06079832746917e-10,7.05323417137872e-10,"protein_coding","lace","1"
"FBgn0002535",0.0035736332624952,0.00680625235740167,"protein_coding","Lcp4","1"
"FBgn0002566",0.00213568030975644,0.00425192455673673,"protein_coding","lt","1"
"FBgn0002567",1.00104579904936e-95,4.46746719199747e-93,"protein_coding","Rab32","1"
"FBgn0002579",0.0127528262332586,0.0215156936767679,"protein_coding","RpL36","1"
"FBgn0002593",2.36114208714345e-10,1.48496405108565e-09,"protein_coding","RpLP1","1"
"FBgn0002626",0.0152941961775427,0.0253396713324686,"protein_coding","RpL32","1"
"FBgn0002638",2.82552537337748e-23,8.54319419804135e-22,"protein_coding","Rcc1","1"
"FBgn0002641",6.49908595187022e-25,2.33152096350534e-23,"protein_coding","mal","1"
"FBgn0002645",3.66937033824589e-07,1.44101249080639e-06,"protein_coding","Map205","1"
"FBgn0002673",1.3917574189662e-24,4.79254244549563e-23,"protein_coding","twe","1"
"FBgn0002707",0.0368079181360636,0.0558295975849108,"protein_coding","mei-9","1"
"FBgn0002715",1.42390317686579e-07,6.00169540774143e-07,"protein_coding","mei-S332","1"
"FBgn0002719",0.000296735847517199,0.000701861744911891,"protein_coding","Men","1"
"FBgn0002736",8.31802828981127e-48,1.05459365487982e-45,"protein_coding","mago","1"
"FBgn0002775",8.27299061860964e-08,3.62821369228883e-07,"protein_coding","msl-3","1"
"FBgn0002778",0.000198716656726514,0.000486415475888046,"protein_coding","mnd","1"
