ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006397,mRNA processing,194/3008,308/8890,2.0675000600518166e-26,5.610604575684323e-23,4.507462449809816e-23,bru1/aub/crn/SmF/ecd/fl(2)d/Hrb98DE/l(1)10Bb/eIF4A/Mtr4/mago/mod/snf/su(f)/vir/Pep/B52/Hrb27C/Bx42/orb/U2af50/Rox8/Dbp45A/Ref1/heph/Rsf1/Gem3/Hel25E/noi/Psi/Clp/Spx/U2af38/dom/ytr/ubl/Cbp80/Cbp20/qkr58E-3/qkr58E-2/Es2/sip1/Srp54/Bin1/Neos/Cpsf160/kin17/CG2685/SF1/l(1)G0007/CG7028/Ythdc1/CG5808/Prp18/CstF64/Cpsf100/Nab2/CG4119/x16/hfp/spt4/CG4935/CG16865/icln/asf1/CG3198/CG1677/Tango4/CG1622/CG15747/CG5877/CG6227/CG9213/CG6179/Usp39/cactin/Sf3b1/CG4887/tho2/Cwc25/Tnpo-SR/CG3542/Sf3b2/CG3225/Phf5a/Caper/Mettl14/Bug22/CG6686/CG10333/CG10466/Ars2/Dhx15/PAN2/tsu/Lsm11/CG12343/Prp8/FLASH/cbc/CG11808/CG8435/CG7747/CG15084/CG4266/thoc7/Cypl/Sf3b3/Srrm234/CG7974/CG2021/Mfap1/CG9018/CG13807/PAN3/CG11586/CG6610/Sf3b6/ldbr/Cpsf6/ZC3H3/CG3335/CG10907/CG10418/Sf3a2/Srrm1/Prp31/Smn/U4-U6-60K/CG7564/Gem2/Prp3/CG14641/Suv3/Fip1/CG2926/CG1965/Tailor/CG7483/hyx/beag/RnpS1/Pnn/obe/CG10324/CG5316/mdlc/CG6015/Gld2/tbrd-1/CG5728/Saf-B/PQBP1/CG6066/BCAS2/Moca-cyp/CstF50/CG17454/c12.1/Sf3b5/CG5986/Wdr33/CG30122/Prp38/LSm3/snama/Spf45/ncm/pea/rig/Larp7/Rbp1/LSm7/Prp19/ymp/SmD2/SmE/SNRPG/snRNP-U1-C/SmD1/Ire1/SmB/Acn/sqd/l(3)72Ab/Rpb4/CG44249/Cdc5/Doa/Sf3a1/HnRNP-K/SF2/caz/Rnmt,194
GO:0016071,mRNA metabolic process,234/3008,395/8890,3.9539144296577333e-26,5.610604575684323e-23,4.507462449809816e-23,bru1/aub/crn/SmF/ecd/fl(2)d/Hrb98DE/l(1)10Bb/eIF4A/Mtr4/mago/mod/pum/snf/spn-E/su(f)/vir/Pep/me31B/B52/Hrb27C/RpII15/Bx42/piwi/orb/TfIIB/U2af50/Rox8/Dbp45A/Ref1/heph/Rsf1/Gem3/Tis11/Hel25E/noi/Psi/Clp/Spx/smg/U2af38/Rga/dom/ytr/ubl/Cbp80/Cbp20/qkr58E-3/qkr58E-2/Es2/sip1/Srp54/Bin1/Neos/Cpsf160/kin17/CG2685/SF1/l(1)G0007/CG7028/Ythdc1/CG5808/Prp18/CstF64/Cpsf100/Nab2/CG4119/x16/hfp/spt4/CG4935/CG16865/Spt6/icln/asf1/CG3198/CG1677/Upf2/Tango4/CG1622/CG15747/CG5877/CG6227/CG9213/CG8915/CG7206/CG6179/Usp39/Rcd-1/cactin/Sf3b1/CG4887/tho2/Cwc25/Tnpo-SR/CG3542/Sf3b2/CG3225/Phf5a/Rat1/Caper/Mettl14/Bug22/CG6686/CG10333/CG10466/Ars2/Dhx15/PAN2/tsu/Lsm11/CG12343/Prp8/FLASH/cbc/CG11808/CG8435/CG7747/CG15084/CG4266/CG3045/Pym/DCP1/Upf3/thoc7/Dis3l2/Tudor-SN/Cypl/Sf3b3/Srrm234/CG7974/CG2021/Mfap1/CG9018/CG13807/PAN3/CG11586/CG6610/Sf3b6/ldbr/Cpsf6/ZC3H3/CG3335/CG10907/CG10418/Sf3a2/Srrm1/Prp31/Smn/CG9705/U4-U6-60K/CG7564/Edc3/Gem2/Prp3/CG14641/Suv3/Fip1/CG2926/CG2091/CG1965/Tailor/CG7483/hyx/beag/RnpS1/Pnn/Rrp6/obe/CG10324/CG5316/mdlc/CG6015/Gld2/tbrd-1/CG5728/Saf-B/Smg6/Ythdf/PQBP1/CG6066/BCAS2/Moca-cyp/CstF50/CG17454/c12.1/Sf3b5/armi/CG5986/Wdr33/CG30122/Prp38/Rpb7/LSm3/CG31643/CG31759/gw/CG32533/Not1/snama/Spf45/ncm/pea/AGO3/rig/Larp7/Rbp1/LSm7/Prp19/ymp/SmD2/SmE/SNRPG/snRNP-U1-C/Trf2/SmD1/Ire1/SmB/AGO1/Acn/sqd/l(3)72Ab/Rpb4/CG44249/Cdc5/Doa/Patr-1/Sf3a1/rump/HnRNP-K/SF2/Ge-1/caz/Rnmt,234
GO:0000375,"RNA splicing, via transesterification reactions",164/3008,250/8890,2.661442118488679e-25,1.510634546454174e-22,1.2136176060308375e-22,bru1/aub/crn/SmF/ecd/fl(2)d/Hrb98DE/l(1)10Bb/eIF4A/Mtr4/mago/mod/snf/vir/Pep/B52/Hrb27C/Bx42/U2af50/Rox8/Dbp45A/Ref1/Rsf1/Gem3/Hel25E/noi/Psi/Spx/U2af38/dom/ytr/ubl/Cbp80/Cbp20/qkr58E-3/qkr58E-2/Es2/sip1/Srp54/Bin1/Neos/kin17/CG2685/SF1/l(1)G0007/CG7028/Ythdc1/CG5808/Prp18/CG4119/x16/hfp/CG4935/CG16865/icln/asf1/CG3198/CG1677/Tango4/CG1622/CG15747/CG5877/CG6227/CG9213/CG6179/Usp39/cactin/Sf3b1/CG4887/Cwc25/Tnpo-SR/CG3542/Sf3b2/CG3225/Phf5a/Caper/Mettl14/Bug22/CG6686/CG10333/CG10466/Ars2/Dhx15/tsu/Lsm11/CG12343/Prp8/CG11808/CG8435/CG7747/CG15084/Cypl/Sf3b3/Srrm234/CG7974/CG2021/Mfap1/CG11586/CG6610/Sf3b6/ldbr/Cpsf6/CG3335/CG10907/CG10418/Sf3a2/Srrm1/Prp31/Smn/U4-U6-60K/CG7564/Gem2/Prp3/CG14641/CG2926/CG1965/CG7483/beag/RnpS1/Pnn/obe/CG10324/CG5316/mdlc/CG6015/tbrd-1/CG5728/Saf-B/PQBP1/CG6066/BCAS2/Moca-cyp/CG17454/c12.1/Sf3b5/CG5986/CG30122/Prp38/LSm3/Spf45/ncm/pea/rig/Larp7/Rbp1/LSm7/Prp19/ymp/SmD2/SmE/SNRPG/snRNP-U1-C/SmD1/SmB/Acn/sqd/l(3)72Ab/CG44249/Cdc5/Doa/Sf3a1/HnRNP-K/SF2/caz,164
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",164/3008,250/8890,2.661442118488679e-25,1.510634546454174e-22,1.2136176060308375e-22,bru1/aub/crn/SmF/ecd/fl(2)d/Hrb98DE/l(1)10Bb/eIF4A/Mtr4/mago/mod/snf/vir/Pep/B52/Hrb27C/Bx42/U2af50/Rox8/Dbp45A/Ref1/Rsf1/Gem3/Hel25E/noi/Psi/Spx/U2af38/dom/ytr/ubl/Cbp80/Cbp20/qkr58E-3/qkr58E-2/Es2/sip1/Srp54/Bin1/Neos/kin17/CG2685/SF1/l(1)G0007/CG7028/Ythdc1/CG5808/Prp18/CG4119/x16/hfp/CG4935/CG16865/icln/asf1/CG3198/CG1677/Tango4/CG1622/CG15747/CG5877/CG6227/CG9213/CG6179/Usp39/cactin/Sf3b1/CG4887/Cwc25/Tnpo-SR/CG3542/Sf3b2/CG3225/Phf5a/Caper/Mettl14/Bug22/CG6686/CG10333/CG10466/Ars2/Dhx15/tsu/Lsm11/CG12343/Prp8/CG11808/CG8435/CG7747/CG15084/Cypl/Sf3b3/Srrm234/CG7974/CG2021/Mfap1/CG11586/CG6610/Sf3b6/ldbr/Cpsf6/CG3335/CG10907/CG10418/Sf3a2/Srrm1/Prp31/Smn/U4-U6-60K/CG7564/Gem2/Prp3/CG14641/CG2926/CG1965/CG7483/beag/RnpS1/Pnn/obe/CG10324/CG5316/mdlc/CG6015/tbrd-1/CG5728/Saf-B/PQBP1/CG6066/BCAS2/Moca-cyp/CG17454/c12.1/Sf3b5/CG5986/CG30122/Prp38/LSm3/Spf45/ncm/pea/rig/Larp7/Rbp1/LSm7/Prp19/ymp/SmD2/SmE/SNRPG/snRNP-U1-C/SmD1/SmB/Acn/sqd/l(3)72Ab/CG44249/Cdc5/Doa/Sf3a1/HnRNP-K/SF2/caz,164
GO:0000398,"mRNA splicing, via spliceosome",164/3008,250/8890,2.661442118488679e-25,1.510634546454174e-22,1.2136176060308375e-22,bru1/aub/crn/SmF/ecd/fl(2)d/Hrb98DE/l(1)10Bb/eIF4A/Mtr4/mago/mod/snf/vir/Pep/B52/Hrb27C/Bx42/U2af50/Rox8/Dbp45A/Ref1/Rsf1/Gem3/Hel25E/noi/Psi/Spx/U2af38/dom/ytr/ubl/Cbp80/Cbp20/qkr58E-3/qkr58E-2/Es2/sip1/Srp54/Bin1/Neos/kin17/CG2685/SF1/l(1)G0007/CG7028/Ythdc1/CG5808/Prp18/CG4119/x16/hfp/CG4935/CG16865/icln/asf1/CG3198/CG1677/Tango4/CG1622/CG15747/CG5877/CG6227/CG9213/CG6179/Usp39/cactin/Sf3b1/CG4887/Cwc25/Tnpo-SR/CG3542/Sf3b2/CG3225/Phf5a/Caper/Mettl14/Bug22/CG6686/CG10333/CG10466/Ars2/Dhx15/tsu/Lsm11/CG12343/Prp8/CG11808/CG8435/CG7747/CG15084/Cypl/Sf3b3/Srrm234/CG7974/CG2021/Mfap1/CG11586/CG6610/Sf3b6/ldbr/Cpsf6/CG3335/CG10907/CG10418/Sf3a2/Srrm1/Prp31/Smn/U4-U6-60K/CG7564/Gem2/Prp3/CG14641/CG2926/CG1965/CG7483/beag/RnpS1/Pnn/obe/CG10324/CG5316/mdlc/CG6015/tbrd-1/CG5728/Saf-B/PQBP1/CG6066/BCAS2/Moca-cyp/CG17454/c12.1/Sf3b5/CG5986/CG30122/Prp38/LSm3/Spf45/ncm/pea/rig/Larp7/Rbp1/LSm7/Prp19/ymp/SmD2/SmE/SNRPG/snRNP-U1-C/SmD1/SmB/Acn/sqd/l(3)72Ab/CG44249/Cdc5/Doa/Sf3a1/HnRNP-K/SF2/caz,164
GO:0008380,RNA splicing,171/3008,270/8890,9.131432378787551e-24,4.319167515166512e-21,3.4699443039392694e-21,bru1/aub/crn/SmF/ecd/fl(2)d/Hrb98DE/l(1)10Bb/eIF4A/Mtr4/mago/mod/snf/vir/Pep/B52/Hrb27C/Bx42/U2af50/Rox8/Dbp45A/Parp/Ref1/Rsf1/Gem3/Hel25E/noi/Psi/Spx/U2af38/dom/ytr/ubl/Cbp80/Cbp20/qkr58E-3/qkr58E-2/Parg/Es2/sip1/Srp54/Bin1/Neos/kin17/ssx/CG2685/SF1/l(1)G0007/CG7028/Ythdc1/CG5808/Prp18/CG4119/x16/hfp/CG4935/CG16865/icln/asf1/CG3198/CG1677/Tango4/CG1622/CG15747/CG5877/CG6227/CG9213/CG6179/Usp39/cactin/Sf3b1/CG4887/Cwc25/Tnpo-SR/CG3542/Sf3b2/CG3225/Phf5a/Caper/Mettl14/Bug22/CG6686/CG10333/CG10466/Ars2/Dhx15/tsu/Lsm11/CG12343/Prp8/cbc/CG11808/CG8435/CG7747/CG15084/Cypl/Sf3b3/Srrm234/CG7974/CG2021/Mfap1/CG11586/CG6610/Sf3b6/ldbr/BI-1/Cpsf6/CG3335/CG10907/Tsen54/CG10418/Sf3a2/Srrm1/Prp31/Smn/U4-U6-60K/CG7564/Gem2/Prp3/CG14641/CG2926/CG1965/CG7483/beag/RnpS1/Pnn/obe/CG10324/CG5316/mdlc/CG6015/tbrd-1/CG5728/Saf-B/PQBP1/CG6066/BCAS2/Moca-cyp/CG17454/c12.1/Sf3b5/CG5986/CG30122/Prp38/LSm3/Spf45/ncm/pea/rig/Larp7/Rbp1/LSm7/Prp19/ymp/SmD2/SmE/SNRPG/snRNP-U1-C/SmD1/Ire1/SmB/Acn/sqd/l(3)72Ab/CG44249/Cdc5/Doa/Sf3a1/HnRNP-K/SF2/caz,171
GO:0006259,DNA metabolic process,189/3008,329/8890,3.5733918109952394e-19,1.4487551370863558e-16,1.1639047612955925e-16,aurA/ben/chif/DNaseII/dup/hay/Hmr/hyd/pho/mei-9/mago/ms(3)K81/mu2/mus101/DNApol-zeta/mus304/Blm/mus312/Myb/phr/plu/spn-B/spn-D/spn-E/Btk29A/Su(var)205/Su(var)2-10/Cdk1/tam/Xpc/RpII15/piwi/Gnf1/Top1/PCNA/Parp/CycE/Pms2/Dp/mof/CkIalpha/Nap1/spel1/tos/Dref/smid/Mcm5/lok/mre11/JIL-1/Mcm7/rnh1/Pp4-19C/Orc6/Orc4/Parg/mip130/CG14803/CG14805/flfl/Drep1/kin17/agt/SuUR/SkpA/Rad17/Mcm6/Top3beta/cav/Nipped-B/Hus1-like/Dek/ADD1/CG6171/XRCC1/Rad23/Thd1/CG4325/RecQ5/Tnks/Ogg1/Pol31/Drep4/Ercc1/c(2)M/mei-217/RfC38/CG4078/spidey/Caf1-180/Psf3/cerv/Arp8/CG13690/Tfb4/papi/CG3165/Pif1/HP6/Nse1/Rat1/Mnn1/CG5181/RfC3/Nse4/CG6443/CG10336/RPA2/CG9272/Mcm10/CG8679/geminin/tsu/mms4/CG9062/Dcr-2/nopo/Ntan1/mip40/DMAP1/rad50/pita/CG5543/Psf1/Uev1A/Sse/Cdc6/CG3448/ssp/Msh6/HipHop/Ssl1/Snm1/dgrn/MAGE/CG1234/DNApol-iota/CG9601/RnpS1/Tctp/timeout/BigH1/CG5316/trem/CG5466/CG6985/p53/Sld5/Sid/CycG/mus81/G9a/ago/Ku80/Chrac-14/tefu/Rif1/nenya/pch2/Tengl3/CG31807/SMC5/His1:CG33861/AlkB/Ino80/Spf45/CG42374/pds5/gkt/pic/RfC4/mei-38/vtd/mrn/Prp19/Xpd/Psf2/ver/Nup160/Acn/Gen/Caf1-55/spoon/gpp/koi/Tfb5/RPA3/Sem1/Top2,189
GO:0000278,mitotic cell cycle,244/3008,465/8890,1.6652818864081207e-17,5.9075874920328084e-15,4.746053376263144e-15,Act5C/bru1/asp/aub/aurA/awd/ben/brm/chic/csw/CycA/CycB/dsh/dup/fzy/Hmr/Grip91/dlg1/eIF4A/l(2)gl/l(3)mbt/sti/Rcc1/Map205/twe/mor/mr/mud/mus101/mus304/Myb/ncd/pim/plu/polo/PpV/pum/rl/shi/smo/spn-E/sub/Su(var)205/thr/alphaTub84B/alphaTub84D/Pp1-87B/Cdk1/mts/Klp61F/Klp67A/shtd/B52/wapl/Su(H)/RpII15/tws/Eip63E/PCNA/PpD3/Dsor1/CycD/Arf79F/CycE/dia/fbl/eff/Mad/tsr/Wee1/Arp53D/ctp/Dp/Syx1A/l(2)dtl/pnut/Mtor/Cdk5/Rho1/prod/noi/glu/CycB3/Lis-1/PTP-ER/lok/14-3-3epsilon/Ran/mre11/asun/Pkn/chb/DCTN2-p50/Pp4-19C/Orc6/san/aurB/Dlc90F/Bub3/SkpA/Cdc16/Rad17/Mcm6/JTBR/dgt4/Rok/Mad1/Nipped-B/Hus1-like/Su(var)2-HP2/Grip75/Grip163/Apc2/Eb1/Kmn1/RecQ5/ana2/SMC2/ball/Pol31/ric8a/CG3530/CHORD/Aos1/eIF3g1/Nek2/Aladin/Psf3/PPP4R2r/Klp10A/Aven/Sap30/CG8188/CG8173/Rab35/Wdr62/Fign/Spindly/Mnn1/Nuf2/CG5181/borr/CG6443/BuGZ/CG10336/Grip71/Mcm10/geminin/CG15237/mms4/dgt5/mars/nopo/dgt3/Rae1/Slik/JMJD5/Psf1/Mfap1/Sse/mad2/Cdc6/nudE/Syx13/Cep135/Skp2/PEK/Cks85A/Tctp/Lkb1/Rrp6/Mau2/cal1/CG13599/spas/Dis3/Mink/Sld5/CG5003/dgt6/CycG/CG17493/pont/pins/p115/Kat60/cana/MED22/mus81/ago/Capr/Chro/tefu/Haspin/Rif1/CG30291/Prp38/Nnf1b/Tap42/Claspin/APC4/Synd/CG34025/Zwilch/endos/ALiX/tum/alph/DCTN6-p27/Spc25/alphaSnap/lmgA/cno/pzg/zld/bora/pds5/gwl/mei-38/vtd/Incenp/grp/scra/nej/mi/SmD2/Xpd/aPKC/CG43295/Patronin/Cdk7/l(3)72Ab/BubR1/Caf1-55/Det/smt3/Smr/Sf3a1/sau/Ptp61F/rump/Tlk/Top2/betaTub56D,244
GO:0051276,chromosome organization,171/3008,298/8890,2.2349319544155125e-17,7.047485429590249e-15,5.661827617852632e-15,asp/aub/Cam/chic/CycA/CycB/Hmr/kel/pho/mei-S332/mod(mdg4)/mr/ms(3)K81/mu2/mus301/mus304/Blm/Myb/ncd/pim/polo/spir/spn-B/spn-D/spn-E/Btk29A/sub/Su(var)3-7/Su(var)205/Su(var)2-10/thr/Pp1-87B/Klp61F/Klp67A/shtd/rhi/wapl/hop/piwi/enc/tws/Top1/Parp/eff/Mtor/prod/Nap1/glu/Cul1/spel1/Lis-1/HDAC1/pgc/Stat92E/Mcm5/lok/mre11/JIL-1/Mcm7/chb/Nup154/DCTN2-p50/san/aurB/SuUR/Bub3/Bap60/SkpA/Cdc16/Mcm6/Top3beta/Rok/cav/Mad1/Nipped-B/Hus1-like/Su(var)2-HP2/Eb1/Kmn1/RecQ5/MRG15/Tnks/Nup93-1/Ulp1/SMC2/ball/MBD-like/MTA1-like/RfC38/CG4078/Klp10A/Fign/Pif1/Spindly/HP6/lid/Nuf2/baf/borr/RfC3/BuGZ/Mcm10/CG15237/Nup50/Mos/mars/tej/krimp/Nup62/Panx/Rae1/rad50/Slik/Sse/mad2/nudE/PCID2/Smn/HipHop/Suv3/Snm1/Hat1/Arl8/CG8223/BigH1/Mau2/cal1/Nup133/HP1c/Nup98-96/spas/Mink/XNP/Kat60/cana/Ku80/Chrac-14/SA-2/Chro/tefu/Haspin/Rif1/nenya/Nnf1b/sunn/APC4/His1:CG33861/Zwilch/tum/egg/Spc25/lmgA/pzg/pds5/Su(var)3-3/gwl/RfC4/vtd/Incenp/zuc/CoRest/Xpd/Psf2/Mi-2/ver/Src64B/BubR1/gpp/Topors/solo/Top2,171
GO:0022613,ribonucleoprotein complex biogenesis,162/3008,286/8890,8.299528914666072e-16,2.355406305982231e-13,1.8922925925438644e-13,bru1/crn/SmF/kz/Mybbp1A/Mtr4/mus301/RpS14a/RpS14a/me31B/Dbp45A/bys/ppan/l(3)07882/Gem3/RpL7A/RpS21/smid/RpL14/Ran/dbe/emb/Rtc1/Nnp-1/l(2)09851/CG14805/CG3071/CG11417/RpL10/nop5/mbo/drosha/LTV1/CG8611/Prp18/hfp/CG5033/icln/CG2875/CG3527/Sas10/RpL35/MCTS1/CG3198/CG2260/CG1789/Rbm13/CG7246/RpS28b/CG1463/CG1662/CG9123/CG12608/Rrp47/eIF5/CG8939/DENR/CG5800/Usp39/Sf3b1/CG3008/CG11030/CG9107/r2d2/CG13096/CG13097/CG4364/mRpS7/RluA-2/CG6686/RpL7-like/CG6712/loqs/CG9246/CG12909/Prp8/CG8545/RpS15/CG4866/Dcr-2/CG11180/RpS16/CG3735/CG3594/CG13807/CG9004/CG16753/CG11583/Pop4/CG4022/CG8336/CG18178/RIOK1/RpL10Ab/CG5645/Sf3a2/Prp31/CG7275/CG12301/Smn/CG7728/Pop5/CG7564/CG5589/Nufip/Gem2/CG9666/CG9300/Tsr1/Nopp140/eIF3a/CG10055/mRpL1/hyx/mtTFB2/CG14683/RpL24-like/CG8461/Rrp6/RpS5b/Ns1/Non3/CG11447/Surf6/Nop56/RpS19b/CG5728/CG11920/RpS27/RpL34a/RpS8/RpS7/CG1542/RpL6/CG11563/rept/pont/armi/CG32075/CG32262/CG32409/CG32706/CG33217/Dbp21E2/l(2)k09022/mbm/rig/Mat89Ba/mtTFB1/l(2)34Fd/SmD2/SmE/SNRPG/snRNP-U1-C/SmD1/wcd/AGO1/l(3)72Ab/Rpb4/Snp/pit/l(2)k09848,162
