"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme04080","Neuroactive ligand-receptor interaction - Drosophila melanogaster (fruit fly)","36/538","67/3488",2.24636718724843e-13,2.51593124971824e-11,1.74980180901457e-11,"mAChR-A/alphaTry/5-HT1A/Rdl/5-HT7/GluRIA/TkR99D/Lcch3/betaTry/deltaTry/gammaTry/Nmdar1/epsilonTry/zetaTry/Dop1R1/Try29F/Lgr1/mGluR/AkhR/GABA-B-R2/CCKLR-17D3/GABA-B-R3/CG16957/CCHa2-R/Dh44-R2/CrzR/mAChR-B/lambdaTry/kappaTry/Dh31-R/Nmdar2/Dop2R/GABA-B-R1/5-HT1B/GluRIB/Dop1R2",36
"dme01240","Biosynthesis of cofactors - Drosophila melanogaster (fruit fly)","38/538","138/3488",0.000142036296293002,0.00699263375414307,0.00486329791171604,"Pu/v/l(3)02640/Alp4/Alas/Ugt35A1/Ugt37C1/Ugt37B1/CG12116/CG4407/Naprt/CG15629/Coq6/Nfs1/Ugt301D1/Alp12/CG8080/Alp6/Alp7/Alp8/CG3803/GC/Alp9/Pbgs/Pmm2/CG7430/Hpd/CG12170/CG2767/Alp5/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/sgl/FeCH/Alp1",38
"dme00514","Other types of O-glycan biosynthesis - Drosophila melanogaster (fruit fly)","15/538","38/3488",0.00026817499631449,0.00699263375414307,0.00486329791171604,"rt/fng/tgy/CG3119/CG2975/Pgant2/Pgant5/CG8708/GlcAT-P/Pgant8/Pgant9/CG31915/Pgant4/CG34056/tw",15
"dme00600","Sphingolipid metabolism - Drosophila melanogaster (fruit fly)","13/538","31/3488",0.000341157639154862,0.00699263375414307,0.00486329791171604,"Gal/Sply/wun/Sk1/laza/CG11438/CG11437/CG11426/CDase/Hexo2/bwa/Gba1b/Ect3",13
"dme04146","Peroxisome - Drosophila melanogaster (fruit fly)","27/538","91/3488",0.000362516271277559,0.00699263375414307,0.00486329791171604,"Cat/Idh/ry/ScpX/Pex5/Mfe2/Pex12/CG9527/CG17597/CG17544/CG1441/ADPS/Pex11/CG8306/CG5065/CG10672/Pex7/CG3961/CG17562/CG17560/CG13827/CG12268/wat/CG12355/CG30427/CG33671/Acsl",27
"dme04512","ECM-receptor interaction - Drosophila melanogaster (fruit fly)","7/538","11/3488",0.000374605379686236,0.00699263375414307,0.00486329791171604,"Col4a1/LanA/vkg/CG3168/Tsp/LanB1/LanB2",7
"dme00785","Lipoic acid metabolism - Drosophila melanogaster (fruit fly)","9/538","18/3488",0.0006085317650216,0.0097365082403456,0.00677163167091705,"ppl/Pdha/CG6415/CG33791/CG7430/CG8199/CG3999/Pdhb/CG1544",9
"dme04142","Lysosome - Drosophila melanogaster (fruit fly)","32/538","123/3488",0.00137955756950948,0.0180364780509786,0.0125441670655302,"Gal/Tsp42Ee/Tsp42Ed/Tsp42Ea/MFS10/Bace/LManIII/LManV/LManVI/Tsp29Fa/CG5731/CG17134/Vha100-5/CG4847/CG13510/CG11459/Npc2b/CG17283/Vha100-4/Sgsh/CG6656/CG17119/Npc2g/Npc2h/CG13516/Hexo2/CG30269/Gba1b/CG33128/Ect3/CG42565/Npc1b",32
"dme00520","Amino sugar and nucleotide sugar metabolism - Drosophila melanogaster (fruit fly)","16/538","48/3488",0.0015003500754947,0.0180364780509786,0.0125441670655302,"kkv/Pgm1/Cht2/CG17065/Gale/Cht7/Pmm2/Cht5/CG6218/Gfat2/Gnpnat/Hexo2/mmy/sgl/Cht6/Galk",16
"dme01212","Fatty acid metabolism - Drosophila melanogaster (fruit fly)","17/538","53/3488",0.00174155846807395,0.0180364780509786,0.0125441670655302,"ScpX/Mfe2/CG9527/Hacd1/CG17597/CG17544/ACC/CG18609/CG9149/CG3961/CG3902/CG12170/CG8630/CG9747/CG9743/FASN2/Acsl",17
