"Description","GeneRatio","p.adjust","Count","cluster","geneID"
"tube morphogenesis",0.110410094637224,3.94310109712091e-13,140,"I","ac/Dll/btd/eya/cv-2/D/dpp/Dr/emc/en/fj/fkh/ft/hth/inv/Jra/kto/Sos/lin/mam/odd/opa/ovo/pnt/px/raw/rib/shn/skd/sna/sog/Egfr/trc/tsh/ttk/ptc/vg/vn/hid/oc/Ptp4E/zfh2/hh/otk/C15/bowl/ey/noc/hep/dap/trn/jar/babo/shot/bnl/mirr/sty/CCT3/Shc/mbc/SMC3/Vang/ast/Past1/fz2/pcm/stumps/crol/Tor/RhoGEF2/Rbcn-3A/gbb/foi/brk/stan/p38b/bab2/CG13366/Inx2/Fmr1/gammaCOP/seq/sds22/slpr/mthl1/RhoGAP15B/Uvrag/CNBP/Ppat-Dpck/RhoGAP68F/Mkp3/RhoGAP92B/Usp8/Socs36E/frc/wge/Drak/pan/Myo31DF/frtz/step/dgo/Chd1/grh/crb/Nost/Diap1/tay/Rbsn-5/Ppcs/salm/Dhc64C/Asx/l(2)gd1/d/Sec23/Sec24CD/trh/fzr/S6kII/Rabex-5/Lpin/Lpt/CG43658/garz/Hph/Bx/PDZ-GEF/Mtp/Nsf2/Sec5/stac/btsz/ltl/Sac1/Duox/wg/ds/btl/cv-c"
"sensory organ development",0.103312302839117,3.70347729812239e-12,131,"I","a/ac/aop/eya/dpp/ec/emc/E(spl)m8-HLH/eyg/ft/hth/Jra/kto/Sos/sens/E(spl)m2-BFM/E(spl)mdelta-HLH/peb/pnr/pnt/rst/Scm/skd/sna/so/Egfr/trc/trx/tsh/ttk/ptc/ush/vg/oc/sc/Ten-m/ex/pros/hh/ci/C15/ey/noc/dpn/dap/NAT1/pelo/babo/fra/msi/insc/wts/Hem/Gp150/klu/phyl/bnl/mirr/sty/Shc/chn/Apc/rin/Vang/ast/Past1/edl/sns/gbb/WASp/stan/Optix/siz/Rip11/cindr/Rich/seq/ssh/p47/sano/yki/rno/twf/danr/Vav/Nhe2/boi/BobA/Alk/Socs36E/SCAR/frc/bchs/Liprin-alpha/Asap/Efa6/sav/jeb/Egm/dgo/bun/grh/Mob2/crb/spdo/Ziz/Diap1/Ppcs/didum/salm/Asx/l(2)gd1/d/kibra/fzr/S6kII/Mitf/mib1/spg/ab/rdx/PIG-S/Bx/PDZ-GEF/Kr-h1/Sec6/Frl/da/wg/ds/btl"
"epithelial tube morphogenesis",0.0993690851735016,1.08404526449915e-11,126,"I","ac/Dll/btd/eya/cv-2/dpp/Dr/emc/en/fj/fkh/ft/hth/inv/Jra/kto/Sos/mam/odd/opa/ovo/pnt/px/raw/rib/shn/skd/sna/sog/Egfr/trc/tsh/ttk/ptc/vg/vn/hid/oc/Ptp4E/zfh2/hh/otk/C15/bowl/ey/noc/hep/dap/trn/jar/babo/shot/bnl/mirr/sty/CCT3/Shc/mbc/SMC3/Vang/ast/Past1/fz2/pcm/crol/Tor/RhoGEF2/gbb/foi/brk/stan/p38b/bab2/CG13366/gammaCOP/seq/sds22/slpr/mthl1/RhoGAP15B/Uvrag/CNBP/Ppat-Dpck/RhoGAP68F/Mkp3/RhoGAP92B/Usp8/Socs36E/frc/wge/Drak/pan/Myo31DF/frtz/step/dgo/Chd1/crb/Nost/Diap1/tay/Rbsn-5/Ppcs/salm/Asx/l(2)gd1/d/trh/fzr/S6kII/Rabex-5/Lpin/Lpt/CG43658/Hph/Bx/PDZ-GEF/Nsf2/Sec5/stac/ltl/Duox/wg/ds/btl/cv-c"
"neuron projection development",0.0993690851735016,4.81853134943262e-11,126,"I","eya/D/ems/en/E(spl)m8-HLH/E(z)/grn/Sos/robo2/sens/peb/Poxm/ras/Scm/shn/trc/ttk/ptc/hid/oc/Nrt/Ptp4E/Ten-m/pros/zfh1/sim/otk/ci/Sox14/robo1/comm/hep/Akt1/trn/sqz/TrpRS/Sema1a/babo/fra/wts/Hem/Ret/shot/Rel/gcm/mirr/Shc/chn/drl/Nak/Vang/fz2/gcm2/Rfx/Tor/RhoGEF2/WASp/stan/Optix/TBPH/msps/Rich/Fmr1/seq/nerfin-1/SoxN/ssh/lva/raptor/Nf-YC/CG12717/hiw/HUWE1/rictor/erm/CG14043/beat-IIIc/CdGAPr/Sin1/ckn/unc-5/Toll-7/p130CAS/path/Toll-6/wnd/twf/Dcr-1/Vav/SMC1/boi/Alk/exex/SCAR/bchs/Liprin-alpha/sav/Mical/nub/jeb/vvl/psidin/Mob4/crb/wb/Dbx/Dhc64C/mid/Sec23/cnc/dar1/hts/sli/ab/Mtp/Kr-h1/Ten-a/Frl/S6k/InR/Sac1/Sema5c/Adf1/btl/Imp/cv-c"
"post-embryonic animal morphogenesis",0.0985804416403785,1.08404526449915e-11,125,"I","Dll/btd/eya/cv-2/D/dpp/Dr/egl/emc/en/fj/fkh/ft/hth/inv/Jra/kto/Sos/mam/odd/opa/ovo/pnt/px/shn/skd/sog/Egfr/trc/tsh/ptc/vg/vn/hid/oc/zfh2/hh/otk/C15/bowl/ey/Itpr/hep/dap/trn/jar/babo/shot/mirr/sty/Pi3K59F/Shc/mbc/SMC3/Vang/ast/Past1/fz2/pcm/crol/Tor/RhoGEF2/gbb/brk/stan/p38b/bab2/CG13366/cib/drpr/Fmr1/gammaCOP/deltaCOP/sds22/raptor/slpr/mthl1/RhoGAP15B/Uvrag/Atg9/CNBP/Ppat-Dpck/RhoGAP68F/Mkp3/Atg17/RhoGAP92B/Usp8/Socs36E/frc/Atg2/wge/Drak/pan/Myo31DF/spin/frtz/step/dgo/Chd1/Nost/Diap1/Vps15/tay/Rbsn-5/Ppcs/salm/Asx/l(2)gd1/d/fzr/S6kII/Rabex-5/bel/Lpin/Lpt/CG43658/Atg6/Bx/PDZ-GEF/btsz/ltl/Duox/wg/ds/cv-c"
"regionalization",0.0985804416403785,2.32869321184842e-10,125,"I","abd-A/Abd-B/Dll/btd/capu/CkIIbeta/Cf2/cv-2/D/disco/dpp/Dr/egl/emc/ems/en/E(spl)m8-HLH/E(z)/fj/ft/gsb-n/gsb/Hsp83/hth/inv/kni/kto/robo2/lin/sens/E(spl)m7-HLH/E(spl)mdelta-HLH/E(spl)mgamma-HLH/nkd/odd/ovo/Pc/Pcl/peb/pnr/pnt/Scm/shn/skd/slp1/sog/Egfr/tsh/tud/ptc/vg/vn/oc/CrebA/hh/ci/ph-p/bowl/robo1/dpn/hep/MFS14/fra/klu/phyl/gcm/sty/Shc/Apc/rin/Past1/fz2/sktl/gbb/WASp/Sec13/stan/drpr/Hey/msps/Fmr1/SoxN/Pat1/dmpd/pcs/unc-5/DCP2/Mkp3/Kdm2/Fbxl7/Dcr-1/danr/tara/boi/BobA/frc/btz/Ptip/Lasp/pan/vvl/step/crb/dl/Rbsn-5/didum/salm/Dhc64C/Asx/mid/Sec23/calypso/S6kII/Rabex-5/cnc/Lpin/lost/Lpt/sli/rdx/Bx/ltl/vas/wg/ds"
"anatomical structure formation involved in morphogenesis",0.0985804416403785,2.11551242885168e-09,125,"I","abd-A/Abd-B/Dll/btd/capu/Cf2/eya/cort/dpp/egl/emc/E(spl)m8-HLH/fkh/fliI/ft/hth/Jra/robo2/sens/mam/rst/Scm/shn/slp1/sna/so/sog/srp/Egfr/tsg/tsh/ttk/mei-41/hh/ci/ph-p/robo1/gcl/hep/dap/pelo/jar/scat/fra/Mef2/Hem/Ance/klu/phyl/shot/bnl/mirr/CCT3/Shark/mbc/Apc/Rbf/Past1/stumps/Tor/RhoGEF2/Rbcn-3A/sns/WASp/CG13366/siz/Drp1/tacc/Inx2/Cdc7/Fmr1/gammaCOP/lva/slpr/mthl1/kon/ths/mip120/pcs/unc-5/Duba/RhoGAP68F/Cad74A/Dcr-1/lmd/danr/Vav/RecQ4/BobA/SCAR/Mical/Lasp/pan/del/jeb/bun/C3G/Nost/MCPH1/sing/Ppcs/didum/salm/Dhc64C/mid/RanBPM/Sec23/Sec24CD/trh/nsl1/Fs(2)Ket/hts/nclb/sli/garz/Mtp/Sec5/btsz/Pi4KIIIalpha/vas/Sac1/wg/ds/btl/cv-c"
"cell morphogenesis involved in differentiation",0.0962145110410095,1.1223145896568e-09,122,"I","eya/D/ems/en/E(spl)m8-HLH/E(z)/grn/Sos/robo2/sens/peb/Poxm/ras/Scm/shn/trc/ptc/hid/oc/Nrt/Ptp4E/Ten-m/pros/zfh1/sim/otk/ci/ph-p/Sox14/robo1/comm/hep/trn/sqz/TrpRS/Sema1a/babo/fra/wts/Hem/shot/Rel/gcm/mirr/Shc/chn/drl/Nak/Vang/fz2/gcm2/Rfx/Tor/RhoGEF2/WASp/stan/Optix/msps/Rich/Fmr1/seq/nerfin-1/SoxN/ssh/lva/raptor/pigs/Nf-YC/CG12717/hiw/HUWE1/rictor/erm/CG14043/Megf8/beat-IIIc/CdGAPr/Sin1/ckn/unc-5/Toll-7/path/Toll-6/wnd/Dcr-1/Vav/SMC1/boi/Alk/exex/SCAR/Liprin-alpha/sav/Mical/Patj/Shrm/nub/jeb/vvl/psidin/grh/crb/Ppcs/wb/Dbx/Dhc64C/mid/Sec23/cnc/dar1/hts/sli/ab/Mtp/Ten-a/Frl/S6k/InR/Sac1/Sema5c/btl/cv-c"
"cell part morphogenesis",0.0954258675078864,4.69955870452008e-11,121,"I","eya/D/ems/en/E(spl)m8-HLH/E(z)/grn/Hsc70-5/Sos/robo2/sens/peb/Poxm/ras/Scm/shn/trc/ptc/hid/oc/Nrt/Ptp4E/Ten-m/pros/zfh1/hh/sim/otk/ci/Sox14/robo1/comm/hep/trn/sqz/TrpRS/Sema1a/babo/fra/wts/Hem/shot/Rel/bnl/gcm/mirr/Shc/chn/drl/Nak/Vang/fz2/gcm2/Rfx/Tor/RhoGEF2/WASp/stan/Optix/msps/Rich/Fmr1/seq/nerfin-1/SoxN/ssh/lva/raptor/Nf-YC/Miga/CG12717/hiw/HUWE1/rictor/erm/CG14043/beat-IIIc/CdGAPr/Sin1/ckn/unc-5/Toll-7/path/Toll-6/wnd/Dcr-1/Vav/SMC1/boi/Alk/exex/SCAR/Liprin-alpha/sav/Mical/nub/jeb/vvl/psidin/Mob4/crb/wb/Dbx/Dhc64C/mid/Sec23/cnc/dar1/hts/sli/ab/Mtp/Ten-a/Frl/S6k/InR/Sac1/Sema5c/Letm1/btl/cv-c"
"post-embryonic animal organ development",0.0946372239747634,1.14891132880335e-09,120,"I","Dll/btd/eya/cv-2/dpp/Dr/emc/en/fj/ft/hth/inv/Jra/kto/Sos/mam/odd/opa/ovo/pnt/Poxm/px/shn/skd/sog/srp/Egfr/trc/tsh/ptc/ush/vg/vn/hid/oc/zfh2/hh/otk/C15/bowl/ey/hep/dap/jar/babo/Mef2/shot/mirr/sty/Shc/chn/mbc/SMC3/Vang/ast/Past1/fz2/pcm/crol/Tor/Sin3A/RhoGEF2/sns/gbb/brk/stan/p38b/bab2/CG13366/bip1/Drp1/sds22/slpr/mthl1/RhoGAP15B/Uvrag/ths/CNBP/Ppat-Dpck/RhoGAP68F/Mkp3/nom/Kdm2/RhoGAP92B/Usp8/Socs36E/frc/mRpL53/wge/Drak/pan/Myo31DF/frtz/step/dgo/Chd1/Nost/Diap1/Rrp40/tay/Rbsn-5/Ppcs/salm/Asx/l(2)gd1/d/nsl1/fzr/S6kII/Rabex-5/Lpin/Lpt/CG43658/Bx/PDZ-GEF/ltl/Duox/wg/ds/cv-c"
