Sample	Unique Reads	Duplicate Reads
Ctrl_1_1	14020205.0	28756588.0
Ctrl_1_2	14627432.0	28149361.0
Ctrl_2_1	13182142.0	29869447.0
Ctrl_2_2	16707257.0	26344332.0
O1O2_KO_1_1	12056456.0	28454423.0
O1O2_KO_1_2	14065255.0	26445624.0
O1O2_KO_2_1	13671190.0	33737938.0
O1O2_KO_2_2	15417376.0	31991752.0
O1W4_KO_1_1	11629768.0	29099580.0
O1W4_KO_1_2	12789905.0	27939443.0
O1W4_KO_2_1	11649601.0	31317943.0
O1W4_KO_2_2	13556743.0	29410801.0
O1W4_OE_1_1	12715650.0	29814362.0
O1W4_OE_1_2	14823369.0	27706643.0
O1W4_OE_2_1	13353296.0	32820832.0
O1W4_OE_2_2	14809022.0	31365106.0
O1_KO_1_1	12467767.0	27967515.0
O1_KO_1_2	13792806.0	26642476.0
O1_KO_2_1	12649896.0	29670861.0
O1_KO_2_2	14647563.0	27673194.0
O1_OE_1_1	12994748.0	28819377.0
O1_OE_1_2	14044130.0	27769995.0
O1_OE_2_1	12753514.0	28082820.0
O1_OE_2_2	14175562.0	26660772.0
O2W4_KO_1_1	14187930.0	35055013.0
O2W4_KO_1_2	15751494.0	33491449.0
O2W4_KO_2_1	13934056.0	34783584.0
O2W4_KO_2_2	16227487.0	32490153.0
O2_KO_1_1	13242668.0	28815071.0
O2_KO_1_2	14118318.0	27939421.0
O2_KO_2_1	12200203.0	29577638.0
O2_KO_2_2	14268165.0	27509676.0
W4_KO_1_1	12443693.0	29889204.0
W4_KO_1_2	13824491.0	28508406.0
W4_KO_2_1	12865873.0	29693680.0
W4_KO_2_2	14615757.0	27943796.0
W4_OE_1_1	12105265.0	30101995.0
W4_OE_1_2	13483802.0	28723458.0
W4_OE_2_1	12298774.0	28574395.0
W4_OE_2_2	13959128.0	26914041.0
