Sample	Aligned uniquely to a gene	Aligned to multiple genes	Filtered due to too many alignments	Unalignable reads
Ctrl_1	34775617.0	832133.0	0.0	0.0
Ctrl_2	35275047.0	853531.0	0.0	0.0
O1O2_KO_1	33356598.0	750229.0	0.0	0.0
O1O2_KO_2	39401406.0	913789.0	0.0	0.0
O1W4_KO_1	33812807.0	788933.0	0.0	0.0
O1W4_KO_2	35877579.0	800266.0	0.0	0.0
O1W4_OE_1	34886436.0	779532.0	0.0	0.0
O1W4_OE_2	38060820.0	853131.0	0.0	0.0
O1_KO_1	32997050.0	756055.0	0.0	0.0
O1_KO_2	35046892.0	830018.0	0.0	0.0
O1_OE_1	34242515.0	783181.0	0.0	0.0
O1_OE_2	33955788.0	831251.0	0.0	0.0
O2W4_KO_1	40914796.0	955514.0	0.0	0.0
O2W4_KO_2	40360032.0	947168.0	0.0	0.0
O2_KO_1	34298806.0	779708.0	0.0	0.0
O2_KO_2	34398755.0	753523.0	0.0	0.0
W4_KO_1	35046335.0	801345.0	0.0	0.0
W4_KO_2	35373539.0	818500.0	0.0	0.0
W4_OE_1	34269533.0	755258.0	0.0	0.0
W4_OE_2	33744933.0	805374.0	0.0	0.0
