Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
Ctrl_1	40559187.0	783295.0	146845.0	1146315.0	141151.0
Ctrl_2	40984334.0	763091.0	132734.0	1020695.0	150735.0
O1O2_KO_1	38606827.0	703579.0	122219.0	924218.0	154036.0
O1O2_KO_2	45343697.0	787268.0	116778.0	1004954.0	156431.0
O1W4_KO_1	38979633.0	657389.0	76484.0	922009.0	93833.0
O1W4_KO_2	41266619.0	714893.0	89103.0	785349.0	111580.0
O1W4_OE_1	40659679.0	767447.0	121434.0	840635.0	140817.0
O1W4_OE_2	44057947.0	833392.0	126099.0	981574.0	175116.0
O1_KO_1	38508040.0	712494.0	122383.0	926487.0	165878.0
O1_KO_2	40462578.0	674688.0	101450.0	938332.0	143709.0
O1_OE_1	39758550.0	698631.0	117117.0	1089037.0	150790.0
O1_OE_2	39192516.0	720698.0	95720.0	705124.0	122276.0
O2W4_KO_1	47189167.0	827966.0	109106.0	969122.0	147582.0
O2W4_KO_2	46665038.0	849861.0	110113.0	956657.0	135971.0
O2_KO_1	39944872.0	779899.0	130009.0	1034713.0	168246.0
O2_KO_2	39940213.0	715451.0	116419.0	854894.0	150864.0
W4_KO_1	40537159.0	686362.0	96394.0	882138.0	130844.0
W4_KO_2	40808008.0	659901.0	97166.0	875481.0	118997.0
W4_OE_1	40167706.0	769024.0	149016.0	986595.0	134919.0
W4_OE_2	39084101.0	692049.0	114402.0	872073.0	110544.0
