Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Ctrl_1_1	Ctrl_1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42776793.0	0.0	150.0	49.0	32.77525855458862	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
Ctrl_1_2	Ctrl_1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42776793.0	0.0	150.0	49.0	34.19478255864969	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
Ctrl_2_1	Ctrl_2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43051589.0	0.0	150.0	49.0	30.619407941424505	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
Ctrl_2_2	Ctrl_2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43051589.0	0.0	150.0	49.0	38.80752496479952	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
O1O2_KO_1_1	O1O2_KO_1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40510879.0	0.0	150.0	49.0	29.761031593097986	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
O1O2_KO_1_2	O1O2_KO_1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40510879.0	0.0	150.0	49.0	34.71969706533995	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
O1O2_KO_2_1	O1O2_KO_2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47409128.0	0.0	150.0	49.0	28.836619533000384	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
O1O2_KO_2_2	O1O2_KO_2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47409128.0	0.0	150.0	49.0	32.519845585034865	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
O1W4_KO_1_1	O1W4_KO_1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40729348.0	0.0	150.0	49.0	28.553778414157655	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
O1W4_KO_1_2	O1W4_KO_1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40729348.0	0.0	150.0	49.0	31.402183897490517	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
O1W4_KO_2_1	O1W4_KO_2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42967544.0	0.0	150.0	48.0	27.112559508078142	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
O1W4_KO_2_2	O1W4_KO_2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42967544.0	0.0	150.0	48.0	31.551123768224272	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
O1W4_OE_1_1	O1W4_OE_1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42530012.0	0.0	150.0	48.0	29.898063368674045	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
