Sample	Unalignable	Alignable	Filtered	Total	alignable_percent	Unique	Multi	Uncertain
Ctrl_1	0	35607750	0	35607750	100.0	34775617	832133	24289976
Ctrl_2	0	36128578	0	36128578	100.0	35275047	853531	24571905
O1O2_KO_1	0	34106827	0	34106827	100.0	33356598	750229	22685157
O1O2_KO_2	0	40315195	0	40315195	100.0	39401406	913789	26604240
O1W4_KO_1	0	34601740	0	34601740	100.0	33812807	788933	22858306
O1W4_KO_2	0	36677845	0	36677845	100.0	35877579	800266	23699307
O1W4_OE_1	0	35665968	0	35665968	100.0	34886436	779532	23589565
O1W4_OE_2	0	38913951	0	38913951	100.0	38060820	853131	25532984
O1_KO_1	0	33753105	0	33753105	100.0	32997050	756055	22368946
O1_KO_2	0	35876910	0	35876910	100.0	35046892	830018	23880853
O1_OE_1	0	35025696	0	35025696	100.0	34242515	783181	23410800
O1_OE_2	0	34787039	0	34787039	100.0	33955788	831251	23677275
O2W4_KO_1	0	41870310	0	41870310	100.0	40914796	955514	28368079
O2W4_KO_2	0	41307200	0	41307200	100.0	40360032	947168	27950428
O2_KO_1	0	35078514	0	35078514	100.0	34298806	779708	23660084
O2_KO_2	0	35152278	0	35152278	100.0	34398755	753523	22486488
W4_KO_1	0	35847680	0	35847680	100.0	35046335	801345	23943322
W4_KO_2	0	36192039	0	36192039	100.0	35373539	818500	24378607
W4_OE_1	0	35024791	0	35024791	100.0	34269533	755258	22631171
W4_OE_2	0	34550307	0	34550307	100.0	33744933	805374	22872703
