Module	Section	Sample Name	Source
Rsem	all_sections	W4_KO_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/W4_KO_1.stat/W4_KO_1.cnt
Rsem	all_sections	O2_KO_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O2_KO_2.stat/O2_KO_2.cnt
Rsem	all_sections	O1_KO_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O1_KO_1.stat/O1_KO_1.cnt
Rsem	all_sections	O1W4_OE_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O1W4_OE_1.stat/O1W4_OE_1.cnt
Rsem	all_sections	O2W4_KO_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O2W4_KO_2.stat/O2W4_KO_2.cnt
Rsem	all_sections	O1O2_KO_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O1O2_KO_1.stat/O1O2_KO_1.cnt
Rsem	all_sections	O1_OE_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O1_OE_2.stat/O1_OE_2.cnt
Rsem	all_sections	O1W4_KO_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O1W4_KO_2.stat/O1W4_KO_2.cnt
Rsem	all_sections	W4_OE_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/W4_OE_2.stat/W4_OE_2.cnt
Rsem	all_sections	Ctrl_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/Ctrl_1.stat/Ctrl_1.cnt
Rsem	all_sections	W4_OE_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/W4_OE_1.stat/W4_OE_1.cnt
Rsem	all_sections	Ctrl_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/Ctrl_2.stat/Ctrl_2.cnt
Rsem	all_sections	O1O2_KO_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O1O2_KO_2.stat/O1O2_KO_2.cnt
Rsem	all_sections	O1_OE_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O1_OE_1.stat/O1_OE_1.cnt
