Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
Ctrl_1	42776793.0	300.0	40559187.0	94.82	298.18	20692015.0	20647527.0	20452245.0	160401.0	10869.0	68500.0	0.46	0.03	2.3	0.02	2.56	783295.0	1.83	146845.0	0.34	0.0	2.68	0.33	0	1146315	141151
Ctrl_2	43051589.0	300.0	40984334.0	95.2	298.29	19557123.0	19516378.0	19336734.0	145165.0	8067.0	67157.0	0.47	0.03	2.2	0.02	2.53	763091.0	1.77	132734.0	0.31	0.0	2.37	0.35	0	1020695	150735
O1O2_KO_1	40510879.0	300.0	38606827.0	95.3	298.39	18599570.0	18557919.0	18384282.0	141086.0	7858.0	66344.0	0.42	0.03	2.08	0.02	2.51	703579.0	1.74	122219.0	0.3	0.0	2.28	0.38	0	924218	154036
O1O2_KO_2	47409128.0	300.0	45343697.0	95.64	298.47	22934137.0	22884536.0	22629945.0	171858.0	8883.0	123451.0	0.42	0.03	2.09	0.02	2.44	787268.0	1.66	116778.0	0.25	0.0	2.12	0.33	0	1004954	156431
O1W4_KO_1	40729348.0	300.0	38979633.0	95.7	298.42	18947762.0	18909079.0	18724817.0	157030.0	7886.0	58029.0	0.4	0.03	1.99	0.02	2.38	657389.0	1.61	76484.0	0.19	0.0	2.26	0.23	0	922009	93833
O1W4_KO_2	42967544.0	300.0	41266619.0	96.04	298.63	21104449.0	21059808.0	20813945.0	168532.0	49829.0	72143.0	0.41	0.03	1.88	0.02	2.36	714893.0	1.66	89103.0	0.21	0.0	1.83	0.26	0	785349	111580
O1W4_OE_1	42530012.0	300.0	40659679.0	95.6	298.51	19891771.0	19848386.0	19664617.0	155475.0	7083.0	64596.0	0.44	0.03	2.05	0.02	2.37	767447.0	1.8	121434.0	0.29	0.0	1.97	0.33	0	840635	140817
O1W4_OE_2	46174128.0	300.0	44057947.0	95.42	298.49	22105720.0	22058795.0	21806257.0	166690.0	8391.0	124382.0	0.43	0.03	2.05	0.02	2.33	833392.0	1.8	126099.0	0.27	0.0	2.13	0.38	0	981574	175116
O1_KO_1	40435282.0	300.0	38508040.0	95.23	298.32	18362993.0	18321317.0	18066728.0	143455.0	35715.0	117095.0	0.45	0.03	2.07	0.02	2.44	712494.0	1.76	122383.0	0.3	0.0	2.29	0.41	0	926487	165878
O1_KO_2	42320757.0	300.0	40462578.0	95.61	298.46	19642335.0	19598006.0	19357185.0	156697.0	7981.0	120472.0	0.42	0.03	2.12	0.02	2.51	674688.0	1.59	101450.0	0.24	0.0	2.22	0.34	0	938332	143709
O1_OE_1	41814125.0	300.0	39758550.0	95.08	298.2	19247311.0	19208243.0	19019104.0	154100.0	15067.0	59040.0	0.45	0.03	2.13	0.02	2.46	698631.0	1.67	117117.0	0.28	0.0	2.6	0.36	0	1089037	150790
O1_OE_2	40836334.0	300.0	39192516.0	95.97	298.58	18898813.0	18861178.0	18688936.0	138106.0	7231.0	64540.0	0.42	0.03	2.11	0.02	2.47	720698.0	1.76	95720.0	0.23	0.0	1.73	0.3	0	705124	122276
O2W4_KO_1	49242943.0	300.0	47189167.0	95.83	298.51	23520002.0	23468943.0	23191321.0	181594.0	17220.0	129867.0	0.41	0.03	2.09	0.02	2.46	827966.0	1.68	109106.0	0.22	0.0	1.97	0.3	0	969122	147582
O2W4_KO_2	48717640.0	300.0	46665038.0	95.79	298.46	23022891.0	22968305.0	22713004.0	176878.0	8242.0	124767.0	0.43	0.03	2.09	0.02	2.48	849861.0	1.74	110113.0	0.23	0.0	1.97	0.28	0	956657	135971
O2_KO_1	42057739.0	300.0	39944872.0	94.98	298.24	19550574.0	19506291.0	19285237.0	151698.0	7357.0	106282.0	0.45	0.03	2.17	0.02	2.49	779899.0	1.85	130009.0	0.31	0.0	2.46	0.4	0	1034713	168246
O2_KO_2	41777841.0	300.0	39940213.0	95.6	298.48	19580755.0	19539273.0	19365621.0	147068.0	7038.0	61028.0	0.44	0.03	1.92	0.02	2.41	715451.0	1.71	116419.0	0.28	0.0	2.04	0.36	0	854894	150864
W4_KO_1	42332897.0	300.0	40537159.0	95.76	298.48	20134325.0	20090796.0	19878678.0	154729.0	42563.0	58355.0	0.42	0.03	2.01	0.02	2.4	686362.0	1.62	96394.0	0.23	0.0	2.09	0.31	0	882138	130844
W4_KO_2	42559553.0	300.0	40808008.0	95.88	298.47	19702854.0	19657149.0	19394445.0	154640.0	43975.0	109794.0	0.42	0.03	2.07	0.02	2.45	659901.0	1.55	97166.0	0.23	0.0	2.06	0.28	0	875481	118997
W4_OE_1	42207260.0	300.0	40167706.0	95.17	298.37	19087090.0	19046050.0	18864160.0	152109.0	6633.0	64188.0	0.42	0.03	1.98	0.02	2.48	769024.0	1.82	149016.0	0.35	0.0	2.34	0.32	0	986595	134919
W4_OE_2	40873169.0	300.0	39084101.0	95.62	298.44	18484029.0	18444988.0	18269215.0	140659.0	6733.0	67422.0	0.43	0.03	2.05	0.02	2.41	692049.0	1.69	114402.0	0.28	0.0	2.13	0.27	0	872073	110544
