sample_id,condition,batch,description
Ctrl_1,Ctrl,1,Embryos from wild-type flies.
Ctrl_2,Ctrl,2,Embryos from wild-type flies.
,,,
W4_OE_1,W4_OE,1,Embryos in which Wnt4 is over-expressed.
W4_OE_2,W4_OE,2,Embryos in which Wnt4 is over-expressed.
,,,
O1_OE_1,O1_OE,1,Embryos in which Otk1 is over-expressed.
O1_OE_2,O1_OE,2,Embryos in which Otk1 is over-expressed.
,,,
O1W4_OE_1,O1W4_OE,1,Embryos in which Otk1 and Wnt4 are both over-expressed.
O1W4_OE_2,O1W4_OE,2,Embryos in which Otk1 and Wnt4 are both over-expressed.
,,,
O2_KO_1,O2_KO,1,Embryos in which Otk2 is downregulated.
O2_KO_2,O2_KO,2,Embryos in which Otk2 is downregulated.
,,,
W4_KO_1,W4_KO,1,Embryos in which Wnt4 is downregulated.
W4_KO_2,W4_KO,2,Embryos in which Wnt4 is downregulated.
,,,
O1_KO_1,O1_KO,1,Embryos in which Otk1 is downregulated.
O1_KO_2,O1_KO,2,Embryos in which Otk1 is downregulated.
,,,
O1W4_KO_1,O1W4_KO,1,Embryos in which Otk1 and Wnt4 are both downregulated.
O1W4_KO_2,O1W4_KO,2,Embryos in which Otk1 and Wnt4 are both downregulated.
,,,
O2W4_KO_1,O2W4_KO,1,Embryos in which Otk2 and Wnt4 are both downregulated.
O2W4_KO_2,O2W4_KO,2,Embryos in which Otk2 and Wnt4 are both downregulated.
,,,
O1O2_KO_1,O1O2_KO,1,Embryos in which Otk1 and Otk2 are both downregulated.
O1O2_KO_2,O1O2_KO,2,Embryos in which Otk1 and Otk2 are both downregulated.
